"Qu'est-ce que les SRP ?","Software Restriction Policies : mécanisme historique de restrictions logicielles (depuis Windows XP), s'applique à tous les utilisateurs indifféremment."
"AppLocker vs SRP ?","AppLocker cible un utilisateur/groupe précis ; réservé aux éditions Entreprise. Si les deux coexistent, seul AppLocker s'applique."
"Ordre d'évaluation AppLocker ?","D'abord Refuser, puis Autoriser ; sans règle Autoriser applicable → refus implicite."
"Type de règle à privilégier ?","Autoriser (avec exceptions si besoin), pour la lisibilité."
"3 types de règles AppLocker ?","Chemin d'accès (souple mais exige maîtrise des droits) ; Éditeur (signature) ; Empreinte SHA-256 (le + sûr, maintenance lourde)."
"À quoi sert le mode audit ?","Simuler l'application des règles sans bloquer, pour inventorier les applications (journal AppLocker)."
"Service requis pour AppLocker ?","AppIdSvc (Identité de l'application), en démarrage automatique."
"Compte utilisateur recommandé sur postes AppLocker ?","Compte non privilégié, jamais de droits d'administration locaux ou distants."
"Problème de la règle par défaut C:\\Windows ?","Autorise de fait l'exécution depuis des sous-dossiers accessibles en écriture (ex: \\temp) → contournement trivial."
"Recommandation pour C:\\Program Files ?","Remplacer la règle par défaut par des règles explicites par application (ou signature/empreinte)."
"Scripts depuis C:\\Windows ?","Refuser leur exécution ; n'autoriser que scripts signés ou par empreinte."
"Pourquoi activer les règles DLL malgré l'impact perf ?","Plusieurs contournements d'AppLocker passent par le chargement de DLL malveillantes (ex: rundll32.exe)."
"Type de règle unique pour les applications universelles ?","Éditeur uniquement (obligatoirement signées) ; sans règle définie, tout est bloqué."
"Stratégie pour les apps universelles Microsoft du système ?","2 règles Éditeur (CN=Microsoft Corporation + CN=Microsoft Windows) + exceptions pour bloquer celles non désirées."
"Pourquoi bloquer regsvr32.exe explicitement ?","Détournable pour exécuter du code arbitraire local/distant → contourne trivialement AppLocker."
"Autre exécutable de contournement à bloquer ?","InstallUtil.exe (Microsoft Framework 4.0)."
"Contournement via ActiveX ?","Peut instancier des programmes bloqués (ex: client RDP via Word) → seules des règles DLL le bloquent."
"Limite fondamentale d'AppLocker ?","Contrôle le lancement des programmes, pas leur comportement une fois lancés (ex: LoadLibraryEx avec drapeau spécial ignore les règles)."
"Codes interprétés non contrôlés par AppLocker ?","Scripts Perl, macros → restreindre via paramétrage logiciel (macros signées/de confiance uniquement)."
"Recommandation NTVDM ?","Désactiver si aucune app 16 bits utilisée (non contrôlées par AppLocker)."
