Qui a confié à Cédric Villani la mission sur la stratégie française et européenne en intelligence artificielle ?,Le Premier Ministre Édouard Philippe.
Quels sont les quatre secteurs stratégiques prioritaires pour le développement de l'IA identifiés dans le rapport Villani ?,"La santé, les transports-mobilités, l'environnement, et la défense-sécurité."
Quelle est la principale matière première de l'IA contemporaine selon le rapport ?,Les données.
Le rapport propose la création d'un réseau d'instituts spécifiques pour renforcer la recherche française en IA. Comment sont-ils nommés ?,Les Instituts Interdisciplinaires d’Intelligence Artificielle (3IA).
Quel objectif chiffré le rapport fixe-t-il pour le nombre de personnes formées en IA en France à un horizon de trois ans ?,Multiplier par trois le nombre de personnes formées en IA.
"Que signifie le concept de ""complémentarité capacitante"" dans le contexte du travail et de l'IA ?",Une complémentarité entre l'humain et la machine qui permet de désautomatiser les tâches humaines et de développer les capacités individuelles.
Quel est l'objectif en pourcentage de femmes dans les filières du numérique proposé par le rapport pour 2020 ?,Un objectif de 40 % d'étudiantes dans les filières du numérique.
Quelle est l'une des raisons principales de l'essor récent du deep learning mentionnée dans le rapport ?,La démocratisation de l'usage des GPU (Graphical Processing Unit).
"Selon le rapport, la domination californienne dans le domaine de l'IA nourrit l'idée d'une voie unique, qualifiée de _____.",déterminisme technologique
"Pour faire face au manque de visibilité de l'écosystème français de l'IA, que recommande le rapport pour aider les acheteurs potentiels ?",La création d'un guichet unique d’information sur l’IA.
Comment le rapport suggère-t-il de dynamiser l'achat public innovant ?,En utilisant des procédures comme le partenariat d’innovation et le dialogue compétitif.
Quelle agence américaine est citée comme un modèle inspirant pour le soutien à l'innovation de rupture ?,La DARPA (Defense Advanced Research Projects Agency).
Le rapport recommande la mise en place de plateformes sectorielles de mutualisation. Que doivent-elles offrir aux acteurs ?,"Un accès à des données pertinentes, des ressources logicielles et des infrastructures de calcul."
"Qu'est-ce qu'un ""bac à sable d'innovation"" préconisé par le rapport ?",Un espace d'expérimentation avec un allègement temporaire de certaines contraintes réglementaires pour laisser le champ libre à l'innovation.
"Pour la recherche en IA, le rapport propose la mise en place d'un supercalculateur et d'un autre outil d'accès aux ressources de calcul. Lequel ?","Un forfait d'accès à un cloud privé, développé au niveau européen."
"Quelle mesure salariale est jugée comme un ""point de départ minimal indispensable"" pour les chercheurs en début de carrière ?",Un doublement des salaires en début de carrière.
"Pour anticiper les impacts de l'IA sur l'emploi, le rapport propose la création d'une structure spécifique. Laquelle ?",Un lab public de la transformation du travail.
"Outre la transparence, que faut-il accroître pour les systèmes d'IA afin de pouvoir les contrôler ?",L'auditabilité des systèmes d'IA.
"Sur le modèle du PIA (Privacy Impact Assessment), le rapport suggère d'instituer une autre étude d'impact. Laquelle ?",Une étude d’impact sur les risques de discrimination (Discrimination Impact Assessment - DIA).
Quelle instance le rapport recommande-t-il de créer pour organiser le débat public sur les enjeux éthiques de l'IA ?,Un comité d’éthique des technologies numériques et de l’IA.
"Selon le rapport, la fouille de textes et de données (TDM) est porteuse de potentiels énormes pour _____.",la découverte scientifique et le développement de nouvelles connaissances
"Quel droit, consacré par le RGPD, pourrait être décliné pour des applications d'IA ""citoyenne"" ?",Le droit à la portabilité des données.
"En matière de commande publique, le rapport suggère d'ajuster les seuils financiers d'application de la réglementation française à quel niveau ?","Aux niveaux européens, qui sont plus élevés."
Quel axe de coopération est préconisé dans un premier temps pour amorcer une politique industrielle européenne de l'IA ?,Un axe franco-allemand.
"Quelle technologie de puces informatiques, inspirée du cerveau humain, est mentionnée comme une piste d'innovation pour l'Europe ?",La technologie neuromorphique.
Quelle direction ministérielle est jugée tout indiquée pour coordonner la stratégie numérique de l'État incluant l'IA ?,La DINSIC (Direction interministérielle du numérique et du système d'information et de communication de l'État).
"Selon le rapport, pourquoi la recherche française en IA peine-t-elle à transformer ses avancées scientifiques en applications industrielles ?","Elle pâtit d'une ""fuite des cerveaux"" vers les géants américains et de faiblesses au niveau des interfaces entre disciplines et avec l'industrie."
"Dans les instituts 3IA, quel équilibre est recherché concernant les thèmes de recherche ?","Un équilibre entre les sujets ""stars"" du moment (comme l'apprentissage) et des domaines moins visibles mais porteurs de diversité."
"Quel est l'un des principaux obstacles à l'attractivité de la recherche publique en France, en dehors des salaires ?",L'augmentation continue des lourdeurs administratives.
"Le rapport met en garde contre un risque écologique majeur lié à l'IA : d'ici 2040, l'énergie requise pour les besoins en _____ pourrait dépasser la production mondiale.",calcul
Quel phénomène économique risque de compenser les gains d'efficacité énergétique obtenus grâce à l'IA ?,L'effet rebond.
"En 2016, quelle entreprise a utilisé l'apprentissage machine pour optimiser la consommation énergétique de ses centres de données de 15 % ?",DeepMind.
Le problème de la _____ fait référence à l'opacité des systèmes algorithmiques dont on ne comprend pas le fonctionnement interne.,boîte noire
Quelle est la position française affichée concernant les Systèmes d'Armes Létales Autonomes (SALA) ?,La responsabilité d’engager la force létale appartient toujours à l’humain.
"Quel principe, posé dès 1978 par la loi Informatique et Libertés, encadre les décisions automatisées ?",Aucune décision impliquant une appréciation sur un comportement humain ne peut avoir pour seul fondement un traitement automatisé.
"Dans le secteur de l'éducation, l'IA pourrait permettre de proposer des parcours d'apprentissage mieux adaptés aux profils des élèves. Comment appelle-t-on cette approche ?",La personnalisation des apprentissages.
Quel système est considéré comme unique au monde et précieux pour la recherche en santé en France ?,Le Système National des Données de Santé (SNDS).
"Dans le secteur agricole, l'ouverture de la donnée publique doit catalyser le partage de données dans le privé. Cependant, quel risque cette ouverture soulève-t-elle ?",Le risque d'une captation par les acteurs dominants ou d'une spéculation sur les marchés agricoles.
"Pour le véhicule autonome, la mission propose d'autoriser des fonctions d'autonomie de niveau 3 dès quelle année ?",À compter de 2022.
"En matière de défense, pourquoi la collaboration entre public et privé est-elle jugée impérative ?",Car les ministères ont des ressources humaines et financières limitées malgré des données et des cas d'usage très riches.
Terme : RGPD,"Définition : Le Règlement Général sur la Protection des Données, une législation européenne qui régule l'utilisation des données à caractère personnel."
"Quel est l'un des principaux défis pour l'IA dans l'agriculture, au-delà de la productivité ?",Continuer à nourrir l'humanité tout en préservant l'environnement et la biodiversité (agroécologie).
"Le rapport suggère de mettre l'achat public au service du soutien à la base industrielle _____, en s'inspirant de pratiques comme le 'Buy American Act'.",européenne
"Pour attirer les talents étrangers en recherche, quelles sont les deux principales mesures non salariales proposées ?",Des aides financières d'installation ('package d'accueil') et une aide à la recherche de logement et aux démarches administratives.
Pourquoi le développement de l'IA peut-il renforcer la polarisation du marché du travail ?,"Il conduirait à créer principalement des emplois très qualifiés et des emplois de services peu sophistiqués, détruisant les emplois intermédiaires."
Quel est le principal risque lié à la standardisation de facto par des technologies comme TensorFlow de Google ?,"Que les GAFAM, qui en restent les bénéficiaires, décident de récupérer l'ensemble des développements en IA qu'elles permettent."
Quelle est la principale difficulté de l'actuel Système National des Données de Santé (SNDS) pour le développement de l'IA ?,"Il a été conçu à des fins administratives et non pour la recherche, limitant l'accès et l'exploration des données."
"Quel type de recherche le programme ""Explainable AI"" de la DARPA vise-t-il à financer ?","La recherche sur l'explicabilité de l'IA, pour produire des modèles plus transparents et des interfaces plus intelligibles."
"Selon le rapport, pourquoi l'enseignement de l'éthique aux ingénieurs et informaticiens est-il crucial ?",Pour leur transmettre les outils conceptuels afin d'identifier et confronter de manière responsable les problèmes éthiques dans leur activité.
Comment l'IA peut-elle aider à activer l'accès aux droits fondamentaux pour les citoyens ?,En créant un système automatisé d'aide à la gestion des démarches administratives pour réduire le non-recours aux droits.
Le rapport propose d'élaborer une grille de _____ pour les services publics dématérialisés afin de garantir l'intervention humaine.,niveaux de médiation nécessaire
"Quelle est la part des femmes dans le secteur du numérique en France, si l'on écarte les fonctions transversales et supports ?",À peine 12 %.
Quelle mesure est proposée pour mieux quantifier les inégalités professionnelles entre femmes et hommes ?,Mettre en place une base de données nationale obligatoire sur les inégalités entre les femmes et les hommes au travail.
"Dans les transports, quel est le double enjeu écologique que l'IA peut aider à résoudre ?",Faciliter le développement d'une mobilité neutre en carbone et réduire le nombre de déplacements.
"Quel type d'accord international, organisant le transfert de données entre l'UE et les États-Unis, est jugé comme un dispositif transitoire à améliorer ?","L'accord ""Privacy Shield""."
"En plus de la ""fuite des cerveaux"", de quelle faiblesse la recherche française souffre-t-elle au niveau des interfaces ?",Les interfaces entre les disciplines et entre la recherche académique et le monde industriel.
Quel est l'objectif du 'lab public de la transformation du travail' en plus de l'anticipation ?,Son rôle est double : anticiper et expérimenter.
Comment le rapport propose-t-il de rendre l'action de groupe en matière de données plus effective ?,"En intégrant la réparation du préjudice subi, et pas seulement la cessation de l'infraction."
Quel est le principal risque de la police prédictive identifié dans le rapport ?,Elle peut se révéler attentatoire aux libertés fondamentales et reproduire des biais discriminatoires.
"Dans le domaine de la santé, que signifie l'acronyme DMP ?",Dossier Médical Partagé.
Quel est l'un des principaux freins au développement des initiatives edtech en France et en Europe ?,"La fragmentation des systèmes éducatifs nationaux (programmes, cultures) et la complexité des procédures de marché public."
"Dans les instituts 3IA, les entreprises partenaires pourront détacher certains de leurs ingénieurs. Comment est-il proposé de moduler leur contribution financière ?","En fonction de l'importance financière du cotisant, pour ne pas exclure les PME et startups."
Quelle proposition est faite pour encourager les allers-retours des chercheurs entre le monde académique et l'industrie ?,"Prendre en compte les périodes de travail dans l'industrie dans la reconstitution de carrière (avancement, retraite)."
"Selon le rapport, pourquoi le principe du ""libre flux des données"" (free flow of data) demandé par les acteurs américains marquerait-il un recul pour l'Europe ?","Il marquerait un recul en termes de souveraineté, de compétitivité et de protection des consommateurs, étant donné l'asymétrie actuelle des flux de données."
Quel est l'objectif de la proposition de créer un 'pôle de compétences mutualisées en IA' au sein de la DINSIC ?,Conduire des missions de conseil auprès des administrations et accompagner le passage à l'échelle des innovations réussies dans l'État.
"En matière d'éducation, le rapport souligne que l'acquisition des savoirs fondamentaux doit être complétée par le développement de trois types de compétences. Lesquelles ?","Les compétences créatives, sociales et situationnelles."
Le rapport préconise la mise en place d'une plateforme dédiée à la mesure de l'impact _____ des solutions numériques intelligentes.,environnemental
Quelle est la principale critique adressée aux procédures actuelles de certification des innovations en santé à l'ère de l'IA ?,"Elles sont basées sur un produit immuable, alors que les technologies d'IA sont par nature évolutives et apprenantes."
"Pour l'agriculture, que signifie le fait de faire de l'agriculteur un acteur du pan ""aval"" de la chaîne de valeur ?",L'intégrer dans la transformation et la distribution alimentaire pour mieux l'associer au bénéfice fourni au consommateur.
Quelle est la principale difficulté pour les exploitants agricoles à se saisir de l'innovation numérique ?,"Le manque de temps disponible, souvent saturé par des enjeux de maintien de l'exploitation à très court terme."
"En matière de défense et sécurité, que signifie le fait que la composante civile de l'IA ""tire"" la composante militaire ?","Les avancées technologiques proviennent majoritairement du secteur civil et doivent être adaptées pour les usages militaires, posant un problème de prolifération."
"Quel est l'un des principaux biais reproduits par les algorithmes de recherche d'images pour le mot-clé ""CEO"" (PDG) ?","Les résultats affichent très majoritairement des photos d'hommes, sous-représentant fortement les femmes PDG."
Que recommande le rapport pour aider les petites entreprises et startups à répondre aux appels d'offres publics ?,Inciter à la constitution de groupements d'entreprises et créer un dispositif d'information pour trouver des partenaires.
"Quel est le risque de l'utilisation d'outils d'IA dans les décisions judiciaires, comme l'algorithme COMPAS aux États-Unis ?","Le risque de reproduire et d'amplifier des biais systémiques, comme des biais racistes dans l'évaluation du risque de récidive."
Le rapport suggère de généraliser l'emploi des _____ à l'ordonnance sur les marchés publics pour favoriser l'innovation et la souveraineté.,"exceptions (R&D, intérêts essentiels de l'État, défense)"
"Quel est l'objectif de la création d'une ""réserve de l'IA"" autour de la DINSIC ?","S'appuyer sur une communauté de citoyens experts volontaires (chercheurs, entrepreneurs) pour éclairer les choix technologiques de l'État."
"Quelle est la mission de la structure canadienne IVADO, citée en exemple dans le rapport ?","L'Institut de valorisation des données (IVADO) est spécialisé dans les données massives et l'IA, et a reçu un soutien financier important."
En quoi consiste la phase d'inférence dans le cycle de vie d'un modèle d'apprentissage automatique ?,"C'est la phase où le modèle, une fois entraîné, effectue la tâche pour laquelle il a été conçu, avec des paramètres fixés."
Quelle action est proposée pour les entreprises du numérique afin de contribuer au financement de la formation professionnelle ?,"Instaurer un mécanisme de transfert de valeur pour la formation, où les entreprises captant la valeur par l'automatisation contribuent."
Le rapport met en garde contre une vision trop utilitariste de l'éducation. Pourquoi une adaptation trop précise des formations aux postes vacants est-elle risquée ?,"Elle conduirait à une ""inadaptation"" globale des individus à un marché du travail en constante évolution, car les postes peuvent être rapidement automatisés."
