"SGDSN ?","Secrétariat général de la défense et de la sécurité nationale : assiste le Premier ministre, secrétariat du CDSN."
"CDSN ?","Conseil de défense et de sécurité nationale présidé par le Président ; secret-défense."
"Bras opérationnels du SGDSN ?","ANSSI (cyber), OSIIC (réseaux classifiés), Viginum (manipulations de l'information)."
"Effectifs 2025 ?","ANSSI 678, GIC 296, OSIIC 294, Viginum 64 ; secrétaire général Nicolas Roche."
"RNS 2025 ?","Publiée le 14/07/2025, préparée en moins de 6 mois ; 11 objectifs ; scénario central."
"Scénario central ?","Guerre de haute intensité dans le voisinage de l'Europe + actions hybrides sur notre sol ; pas de guerre sur le territoire hexagonal."
"Pourquoi central ?","Dimensionnement, pas probabilité : y être prêt, c'est être prêt à presque tout."
"1er et 11e objectifs RNS ?","Dissuasion nucléaire crédible et souveraine ; excellence académique, scientifique et technologique."
"Champs hybrides ?","Cyberespace, information, économie, droit (lawfare), opérations militaires."
"Stratégie hybride ?","Combinaison ambiguë d'actions militaires et non militaires, légales ou non, difficilement attribuables."
"Résilience ?","Résister à une agression ou catastrophe puis rétablir un fonctionnement normal ou acceptable."
"SNR recentrée (23/06/2025) ?","2 priorités : continuité économique, mobilisation des citoyens ; 11 actions."
"Guide Tous responsables ?","20/11/2025 : gestes en cas de crise, kit d'urgence, engagement."
"DGI n°320 ?","5 menaces (extérieure, attentats, troubles sociétaux, cyber, hybrides) et 3 risques (naturels, technologiques, sanitaires)."
"PDSN ?","Plan de défense et de sécurité nationale : 5 niveaux de défense et de sécurité nationale."
"EASN ?","État d'alerte de sécurité nationale (LPM 2026) : dérogations temporaires, protection renforcée."
"Réserves ?","Réserve de sécurité nationale, missions de continuité de la Nation, volontariats du quotidien."
"Vigipirate ?","Vigilance, prévention, protection ; 3 niveaux ; rénové en 2026."
"Paquet résilience UE ?","Directive REC 2022/2557, NIS 2, DORA."
"HFDS ?","Haut fonctionnaire de défense et de sécurité de chaque ministère."
"Zones de défense et de sécurité ?","7 en métropole, 5 en outre-mer."
"CIEEMG / CIBDU ?","Commissions présidées par le SGDSN : matériels de guerre (≈ 8 000 demandes) / biens à double usage (≈ 3 200)."
"Régimes multilatéraux ?","MTCR (missiles), Wassenaar (conventionnel et BDU), NSG (nucléaire), groupe Australie (chimique et biologique)."
"APT28 ?","Attribué au GRU le 29/04/2025 via le C4 ; sabotage de TV5 Monde en 2015."
"REMPAR25 ?","Exercice cyber : 1 263 organisations, 5 600 professionnels."
"ANSSI 2025 ?","1 366 incidents ; NIS 2 : plus de 20 000 entités ; CRA dès juin 2026."
"GABAT / GABIN ?","Gels d'avoirs antiterroristes (476 mesures) / liés à l'ingérence étrangère (loi du 25/07/2024)."
"Contre-vérités du Mémento ?","Pas de guerre sur le territoire métropolitain, pas de service militaire rétabli, pas de bombardements massifs prévus."
