"Cybermalveillance.gouv.fr ?","Dispositif national d'assistance aux victimes (2017), piloté par le GIP ACYMA ; assistance, prévention, observation."
"Licence du kit ?","Licence ouverte Etalab 2.0 : réutilisation libre en citant la source."
"Contenu du kit ?","6 fiches bonnes pratiques, 3 fiches risques, vidéos, quiz, BD, mémos."
"Mot de passe solide ?","12 signes minimum, 4 types de caractères, unique par service, non devinable."
"Gestionnaire de mots de passe ?","KeePass, libre et certifié ANSSI ; stocke et génère."
"Double authentification ?","Mot de passe + code, application, clé ou biométrie."
"Messagerie ?","Compte le plus critique : reçoit les réinitialisations des autres."
"Méthode des premières lettres ?","Une phrase devient un mot de passe (1tvmQ2tl'A)."
"Réseaux sociaux : 10 pratiques ?","Accès protégé, confidentialité, publications maîtrisées, prudence, applis tierces, pas de Wi-Fi public, connexions vérifiées, discernement, compte supprimé si inutile."
"3018 ?","Numéro gratuit contre le cyberharcèlement."
"Mobiles ?","Code + PIN, chiffrement, mises à jour, sauvegardes, magasins officiels, autorisations, pas de Wi-Fi public, IMEI (*#06#)."
"Types de sauvegardes ?","Complète ; incrémentale (depuis la dernière) ; différentielle (depuis la dernière complète)."
"Règles de sauvegarde ?","Régulière, planifiée, support déconnecté, plusieurs supports dont un hors site, restauration testée."
"Mises à jour ?","Sans tarder, sites officiels, automatiques ; se méfier des fausses alertes ; isoler les appareils non maintenus."
"Pro-perso ?","Mots de passe et messageries distincts, pas de cloud perso pour le travail, une clé USB par usage."
"Clé USB trouvée ?","Ne jamais la brancher : la considérer piégée."
"Hameçonnage : prévenir ?","Rien de sensible par message ; survoler les liens ; vérifier l'adresse ; contacter l'organisme."
"Hameçonnage : victime ?","Opposition, changer le mot de passe, preuves, Signal Spam, Phishing Initiative, plainte, 0 805 805 817."
"Rançongiciel : victime ?","Débrancher, alerter, ne pas payer, preuves, plainte, CNIL si données personnelles, No More Ransom."
"Rançongiciel en droit ?","Extorsion (7 ans, 100 000 €) + atteinte à un STAD."
"Faux support technique ?","Ne pas appeler, redémarrer, purger le navigateur, désinstaller la prise en main, changer les mots de passe."
"Escroquerie ?","Art. 313-1 code pénal : 5 ans et 375 000 €."
"Aquarium du casino ?","Thermomètre connecté exploité pour voler les données d'un casino."
