"Quels sont les trois types d'attaques DDoS ?","Volumétrique, protocolaire, applicative."
"Que vise une attaque volumétrique ?","Épuiser la bande passante réseau disponible (ex. UDP/ICMP flood)."
"Qu'est-ce qu'une attaque protocolaire ?","Épuiser les ressources CPU/RAM en détournant un protocole (ex. inondation SYN, Smurf)."
"Qu'illustre l'attaque DNS water torture ?","Une attaque applicative DDoS qui requête massivement des entrées DNS existantes."
"Pourquoi les DDoS sont-ils difficiles à contrer durablement ?","Les attaquants adaptent/combinent leurs techniques rapidement."
"Que recommande l'ANSSI sur les services exposés à Internet ?","Les restreindre au strict besoin opérationnel."
"Contre quels niveaux OSI un anti-DDoS doit-il protéger ?","3, 4, 5 et 7 (contrôle de débit, anti-robot, IP malveillantes...)."
"Comment configurer les pare-feux en coupure d'Internet contre les DDoS ?","Filtrage réseau/transport (3-4) actif, filtrage applicatif désactivé, flux UDP réduits."
"Comment garder un service administrable pendant une attaque DDoS ?","Un réseau d'administration physiquement dédié."
"Quel risque de confidentialité pose un CDN anti-DDoS ?","Une partie de ses ressources peut être hébergée à l'étranger."
"Que faire des autres alertes générées pendant un DDoS bruyant ?","Les contrôler a posteriori — signe possible d'une attaque plus discrète."
"Que peut imposer un FAI en cas de DDoS sur sa propre infrastructure ?","Un mode dégradé à ses clients, même non ciblés directement."
