Qu'est-ce qu'une AC publique ACME ?;Une AC qui ne délivre que des certificats wildcard;Une AC qui n'utilise pas le protocole ACME;Une AC interne à l'entreprise;Une AC dont l'AC racine est présente dans les magasins de confiance des navigateurs;5;Let's Encrypt en est l'exemple typique.
À quoi sert le compte externe d'administration ACME ?;À chiffrer le trafic web;À limiter et contrôler les actions des comptes ACME associés, comme la liste des domaines autorisés;À stocker les certificats émis;À remplacer le compte ACME;3;Il correspond à l'external account de la RFC 8555.
Quels sont les éléments de binding d'un compte externe ?;Le login et le mot de passe;La MAC key et le KeyID;Le certificat et sa clé publique;L'adresse IP du serveur ACME;3;Ils permettent l'association EAB avec un ou plusieurs comptes ACME.
Combien de types de défi ACME sont définis par ce guide ?;Trois, HTTP-01, DNS-01 et TLS-ALPN-01;Un seul, HTTP-01;Deux, DNS-01 et TLS-ALPN-01;Quatre, incluant UDP-01;2;Chacun a ses avantages et inconvénients propres.
Quel est le principal défaut du défi HTTP-01 ?;Une durée de validation trop longue;Un coût élevé;L'absence de support par les clients ACME;Une preuve de possession de domaine faible, vulnérable aux attaques de téléversement de fichiers;5;Une vulnérabilité d'upload arbitraire sur le serveur web permet de le détourner.
Quel est l'avantage principal du défi DNS-01 ?;Une preuve forte de possession du nom de domaine via la maîtrise du DNS;Sa simplicité d'installation sur tout serveur web;L'absence de besoin de droits DNS;Sa compatibilité universelle avec tous les clients ACME;2;Il nécessite en contrepartie une bonne maîtrise du DNS.
Quelle est la durée de validité maximale recommandée pour un compte externe d'administration ACME ?;Trois ans;Dix ans;Aucune limite;Un mois;2;Au-delà, un renouvellement est obligatoire.
Quelle est la période de validité recommandée pour les certificats émis via ACME ?;Au plus quatre-vingt-dix jours;Indéfinie;Un an;Cinq ans;2;Un renouvellement anticipé est recommandé, par exemple tous les soixante jours.
Quel algorithme de MAC est cité en exemple conforme pour le binding ?;HMAC-SHA256;DES;RSA-1024;MD5;2;Il doit être conforme au guide des mécanismes cryptographiques de l'ANSSI.
Que doit vérifier l'AC lors de l'alimentation de la liste des domaines autorisés ?;La couleur du site web;L'existence d'un enregistrement DNS CAA pour le domaine;Le poids du certificat en kilo-octets;Le fournisseur d'accès Internet du demandeur;3;Elle doit vérifier qu'elle figure parmi les AC autorisées si un tel enregistrement existe.
Les certificats dits wildcard sont-ils autorisés par ce guide ?;Oui, au-delà de cent domaines;Oui, uniquement pour les AC internes;Oui, sans restriction;Non, ils sont proscrits;5;L'AC ne doit pas délivrer de certificats wildcard.
Avec quels privilèges le client ACME ne doit-il jamais s'exécuter ?;Les privilèges d'un compte de service dédié;Les privilèges en lecture seule;Les privilèges de super-utilisateur, root;Les privilèges réseau uniquement;4;C'est contraire au principe de moindre privilège, malgré une pratique de documentation courante.
Quel dossier standard est utilisé pour le défi HTTP-01 ?;Le dossier var-log-acme;Le dossier etc-acme;Le dossier home-acme;Le dossier point-bien-connu-acme-challenge;5;Le client ACME doit y avoir des droits d'écriture limités à ce seul périmètre.
Quel sous-domaine est utilisé pour le défi DNS-01 ?;Le sous-domaine souligné-acme-challenge;Le sous-domaine ftp;Le sous-domaine mail;Le sous-domaine www;2;Un enregistrement CNAME peut pointer vers un domaine tiers dédié moins sensible.
Que doit faire le serveur ACME après validation d'un défi ?;Désactiver le compte ACME;Envoyer la clé privée au demandeur;Publier le défi sur Internet;Supprimer les fichiers et enregistrements déposés pour la résolution du défi;5;Cela évite de laisser des traces exploitables inutilement.
À quoi sert le programme Certificate Transparency ?;À remplacer le protocole ACME;À créer des registres publics de certificats X509 émis, permettant de détecter les émissions illégitimes;À chiffrer les échanges ACME;À générer les bi-clés des comptes ACME;3;L'AC doit y enregistrer ses certificats et surveiller les émissions concurrentes.
Qu'est-ce qu'un service de staging chez un fournisseur ACME ?;Un service de test proposé au demandeur, aux certificats facilement identifiables comme certificats de test;Le service de production principal;Un service de sauvegarde des clés;Un serveur DNS secondaire;2;Les certificats de test ne doivent pas être émis par une racine de confiance.
À chaque émission ou renouvellement de certificat, que doit-on faire concernant les clés ?;Supprimer la clé privée du compte ACME;Publier la clé privée sur un registre public;Générer un nouveau bi-clé, la réutilisation étant proscrite;Réutiliser systématiquement le même bi-clé;4;C'est une exigence explicite du guide.
Que recommande le guide concernant la diversité des clients ACME sur un même SI ?;Ne fixer aucune recommandation;La limiter à un seul type de client développé par un éditeur;La maximiser pour la résilience;L'interdire totalement;3;Cela facilite le maintien en conditions opérationnelles et de sécurité.
Quelle architecture côté demandeur est jugée la moins sûre ?;Un compte ACME dédié par client ACME;Plusieurs clients ACME cloisonnés par domaine avec des comptes distincts;Un compte externe par client ACME;Un unique client, un unique compte externe et un unique compte ACME pour tous les domaines;5;Toute compromission y impacte l'ensemble des domaines du demandeur.
Que doit produire le client ACME selon le guide ?;Des journaux d'évènements, notamment les créations de comptes et de certificats;Des rapports financiers;Des certificats wildcard;Des sauvegardes chiffrées de la base de données de l'AC;2;Ces journaux permettent l'investigation en cas d'incident.
Quelle est la limite d'échec de validation recommandée en exemple ?;Un seul échec autorisé à vie;Cinq échecs par compte ACME, par nom de domaine et par heure;Aucune limite;Cent échecs par minute;3;Cela protège contre les tentatives abusives de validation de défi.
