Quelle est la définition de l'accès local dans le contexte de la cybersécurité ?;Une attaque effectuée à distance via internet;Une attaque nécessitant un accès physique au réseau ou à l'équipement;Une attaque ciblant uniquement le cloud;Une attaque par ingénierie sociale téléphonique;3;L'accès local ou accès de proximité désigne les attaques perpétrées avec un accès physique direct aux infrastructures.
Quel est l'objectif principal d'un Adware ?;Chiffrer les données de l'utilisateur;Afficher des bandeaux publicitaires via le navigateur;Voler les mots de passe bancaires;Miner de la cryptomonnaie;3;Un Adware ou logiciel publicitaire est un code conçu pour afficher de la publicité souvent perçue comme envahissante.
En quoi consiste le Swatting (alerte malveillante) ?;À envoyer des spams massifs;À saturer un serveur web;À provoquer une intervention inutile des forces de police par un faux appel d'urgence;À voler des données de carte bleue;4;Le swatting est un canular téléphonique anonyme faisant croire à une infraction grave pour déclencher l'intervention des secours ou de la police.
Quel outil permet d'analyser un texte structuré en cybersécurité ?;Un pare-feu;Un antivirus;Un analyseur syntaxique (parseur);Un routeur;4;L'analyseur syntaxique ou parseur est l'outil dédié à l'analyse de textes structurés.
Sur quoi repose une attaque par canal auxiliaire ?;L'observation de signaux physiques comme la consommation électrique;L'envoi de mails de phishing;L'injection de code SQL;Le devinement de mots de passe par dictionnaire;2;Ce type d'attaque déduit des informations en observant les signaux émis par le système (électricité, ondes électromagnétiques).
Qu'est-ce que le Credential Stuffing ?;Le bourrage de papier dans une imprimante;L'exploitation d'authentifiants précédemment volés pour accéder à d'autres comptes;La création de faux comptes administrateur;L'effacement des journaux d'événements;3;C'est une attaque par force brute qui utilise des listes d'identifiants et mots de passe déjà exposés lors de fuites précédentes.
Quelle est la différence entre identification et authentification ?;L'identification prouve l'identité, l'authentification donne le nom;L'identification donne un identifiant présumé, l'authentification en apporte la preuve;Il n'y a aucune différence;L'identification est pour les machines, l'authentification pour les humains;3;S'identifier c'est dire qui on est (identifiant), s'authentifier c'est prouver que l'on est bien cette entité (mot de passe, clé).
Sur quel principe repose généralement une authentification forte ?;Un mot de passe très long uniquement;Un protocole de type défi-réponse;La reconnaissance vocale seule;L'adresse IP de l'utilisateur;3;L'authentification forte utilise souvent des protocoles cryptographiques robustes comme le mécanisme de défi-réponse.
Quel est le but d'une attaque par déni de service (DoS) ?;Voler des données confidentielles;Prendre le contrôle administratif du serveur;Empêcher un système de fournir le service attendu en saturant ses ressources;Modifier l'apparence d'un site web;4;Le déni de service vise à rendre un service indisponible, soit par malveillance, soit par mauvais dimensionnement.
Qu'est-ce qu'une porte dérobée (Backdoor) ?;Une faille physique dans un bâtiment;Un accès dissimulé permettant une connexion furtive à une machine;Un mot de passe oublié;Un logiciel de sauvegarde automatique;3;La backdoor est un accès secret (logiciel ou matériel) permettant de contourner les contrôles de sécurité habituels.
