"Nombre minimal de pare-feux d'une passerelle Internet sécurisée ?","Deux, en cascade (externe + interne) : un seul crée un point de défaillance unique."
"Pourquoi préférer une approche multi-éditeurs ?","Évite qu'une vulnérabilité/erreur de config soit rejouée sur les deux pare-feux (défense en profondeur)."
"Condition pour que la diversification technologique soit pertinente ?","Que les équipes d'exploitation maîtrisent réellement chaque technologie déployée."
"Les pare-feux externe/interne peuvent-ils porter d'autres fonctions (VPN, IDS) ?","Non, dédiés exclusivement au filtrage réseau - autres fonctions dans la DMZ."
"Virtualisation des pare-feux recommandée ?","Non, déconseillée en général (isolation hyperviseur jamais garantie), a fortiori pour SI DR/sensibles."
"Si pare-feux externe/interne virtualisés malgré tout ?","Socles physiquement séparés, jamais mutualisés entre eux."
"Différence pare-feu qualifié / certifié ?","Qualifié = certifié + analyse organisationnelle ANSSI de l'éditeur (recommandation de l'État). Certifié = cible de sécurité définie par l'éditeur seul."
"3 niveaux de qualification ?","Élémentaire (CSPN), Standard (EAL 3+), Renforcée (EAL 4+)."
"Niveau de pare-feu obligatoire pour un SI Diffusion Restreinte ?","Au moins un pare-feu qualifié niveau standard, en coupure des flux vers/depuis le réseau de classe 0."
"Ordre de préférence du 2e pare-feu pour un SI DR ?","Qualifié standard > qualifié élémentaire > certifié (critères communs/CSPN)."
"Position préférentielle du pare-feu qualifié standard unique ?","En externe, au contact du réseau de moindre confiance (classe 0)."
"Si position différente choisie pour ce pare-feu ?","Justification + acceptation formelle du risque résiduel (ex. dossier d'homologation)."
"Recommandations pour les SI sensibles ?","Globalement identiques aux SI DR ; pare-feux qualifiés ANSSI obligatoires pour l'État/PPST."
"Recommandations pour les SI non protégés (NP) ?","Diversification + solutions qualifiées recommandées, mais sans obligation réglementaire."
"Passerelle à plus de 2 pare-feux en cascade ?","Généraliser diversification, dédicace au filtrage, et qualification/certification."
"Réseau de classe 0 = toujours Internet ?","Non, des équipements de moindre criticité peuvent s'intercaler entre Internet et le pare-feu qualifié."
"Pourquoi la virtualisation peut affaiblir la crypto d'un pare-feu ?","Générateurs d'aléa des systèmes invités potentiellement émulés/déterministes."
"Risque de séparation des rôles avec un hyperviseur compromis ?","Un compte admin hyperviseur suffit à modifier serveurs ET pare-feux invités."
"Exemple justifiant un pare-feu non qualifié en frontal ?","Fonction anti-DDoS absente des pare-feux qualifiés disponibles."
"Multiplier les pare-feux est-il toujours bénéfique ?","Non : ne doit pas se faire au détriment de la maîtrise réelle par les exploitants."
