"Cyber guide famille ?","10 bonnes pratiques de Cybermalveillance.gouv.fr pour les usages numériques de la famille."
"Contexte ?","Plus de 6 écrans par foyer, 2 h 30 par jour, usage x5 en 10 ans ; 90 % des demandes = grand public."
"1. Mots de passe ?","Longs, complexes, différents ; 2FA ; gestionnaire (KeePass)."
"2. Sauvegardes ?","Régulières ; support externe débranché ou cloud."
"3. Mises à jour ?","Sans tarder, automatiques, sites officiels ; objets connectés compris."
"4. Antivirus ?","Sur tous les appareils, comme une alarme ; scans réguliers."
"5. Achats en ligne ?","Site FR ou UE, notoriété, adresse exacte, prix comparés, Paylib ou e-Carte Bleue."
"6. Messages suspects ?","Peur, gain, urgence ; ne pas cliquer ; contacter l'organisme autrement."
"7. Réseaux sociaux ?","Accès protégé, confidentialité, pas d'infos sensibles ; 28 % des 9-11 ans inscrits."
"Âges légaux ?","13 ans en général pour s'inscrire ; autorisation parentale jusqu'à 15 ans."
"8. Wi-Fi public ?","Préférer la 4G/5G ; jamais d'opération sensible."
"9. Objets connectés ?","Mot de passe par défaut changé, mises à jour, fonctions inutiles désactivées, éteints."
"10. Cyberharcèlement ?","Répétitif et durable ; 12 % des 8-18 ans ; en parler ; prévenir l'école."
"Numéros d'aide ?","3018 violences numériques, 3020 harcèlement, 116 006 France Victimes."
"Enfants victimes ou auteurs ?","Contenus illicites à signaler (Pharos) ; pas d'anonymat absolu."
"Ressources par âge ?","7-11 ans : Incollables, cahier de vacances ; 11 ans et + : Cyber réflexes, Hack Academy."
"Contrôle parental ?","Espace sécurisé expliqué à l'enfant pour limiter son exposition."
"Arnaque sentimentale ?","Faux profil amoureux pour soutirer de l'argent ; jamais d'argent à un inconnu."
"UNAF ?","Union nationale des associations familiales : accompagne parents, aidants, seniors."
"Signaler ?","Courriel : Signal Spam ; SMS : 33700 ; contenu illicite : internet-signalement.gouv.fr."
