Pourquoi utiliser des comptes nominatifs pour les administrateurs SNS ?;Parce que le compte admin local est interdit par défaut;Pour permettre un accès SSH permanent;Pour simplifier la configuration réseau;Pour assurer la traçabilité des actions réalisées sur le pare-feu;5;Le compte administrateur local non nominatif est réservé aux opérations exceptionnelles.
Quand l'accès SSH au pare-feu doit-il être activé ?;À titre exceptionnel uniquement, avec un mot de passe changé à chaque utilisation;En permanence pour tous les administrateurs;Jamais, il est totalement interdit;Uniquement le week-end;2;Le service SSH est limité au seul compte administrateur local.
Que recommande le guide pour l'authentification locale à l'interface web ?;Utiliser des certificats utilisateurs nominatifs plutôt que des mots de passe stockés localement;Utiliser uniquement des mots de passe sans expiration;Toujours utiliser un compte générique partagé;Désactiver totalement l'authentification locale;2;Cela évite de stocker des secrets dérivés de mots de passe sur l'équipement.
Quel type de compte doit être utilisé pour accéder à un annuaire externe d'administration ?;Un compte disposant de droits d'écriture pour la maintenance;Le compte administrateur de l'annuaire complet;Un compte dédié, restreint en lecture seule;Un compte partagé avec le service de mise à jour;4;Cela évite toute modification des données de l'annuaire depuis l'équipement SNS.
Comment gérer les droits d'accès de plusieurs administrateurs sur un équipement SNS ?;En modifiant un attribut individuel de chaque utilisateur;En créant un compte nominatif unique partagé;En utilisant des groupes d'utilisateurs déclarés dans l'annuaire;En attribuant les mêmes droits complets à tous;4;Chaque groupe doit correspondre à un besoin fonctionnel avec des droits adaptés.
Sur quel type d'interface l'administration d'un équipement SNS doit-elle s'effectuer ?;Une interface partagée avec le trafic utilisateur classique;Uniquement l'interface connectée à Internet;N'importe quelle interface de production;Une interface Ethernet dédiée, raccordée à un réseau d'administration dédié;5;Mutualiser augmente le risque d'attaque et la charge de trafic sur l'interface.
Que recommande le guide concernant les suites cryptographiques TLS par défaut de l'interface d'administration ?;Les conserver, voire les durcir en ne gardant que celles avec ECDHE;Utiliser uniquement des suites sans échange de clé éphémère;Les désactiver totalement au profit de HTTP;Revenir à SSL 3.0 pour la compatibilité;2;Le mode sslparanoiac impose par défaut TLS 1.2 et des suites robustes.
Que faut-il faire du certificat par défaut de l'interface web d'administration ?;Le remplacer par un certificat issu d'une IGC maîtrisée;Le conserver, il est suffisamment sécurisé;Le supprimer sans le remplacer;L'exporter vers tous les postes clients sans vérification;2;La clé privée du certificat par défaut signé par l'AC NetAsq n'est pas maîtrisée par l'entité.
Pourquoi privilégier l'usage de NSRPC depuis la console de l'interface web plutôt qu'en connexion directe ?;Une connexion directe nécessite l'accès en lecture à l'empreinte du mot de passe utilisateur;La console web est plus rapide techniquement;La connexion directe est totalement interdite par la norme OIDC;Cela permet d'éviter tout usage du protocole TCP;2;Un détournement de cet accès à l'annuaire peut compromettre l'ensemble des empreintes stockées.
Pourquoi désactiver les interfaces réseau non utilisées d'un pare-feu SNS ?;Parce qu'elles ralentissent le pare-feu;Pour économiser de la bande passante réseau;Cela n'a aucun impact sur la sécurité;Pour réduire la surface d'attaque et le risque d'erreur de configuration;5;Une interface active inutilisée reste utilisable dans les menus, augmentant le risque d'erreur.
Que permet de faire l'antispoofing IP sur un pare-feu SNS ?;Chiffrer automatiquement tous les flux entrants;Remplacer entièrement la politique de filtrage réseau;Bloquer uniquement les flux ICMP;Vérifier la légitimité de l'adresse IP source d'un paquet selon la topologie réseau déclarée;5;Cette vérification est appliquée avant même l'évaluation de la politique de filtrage.
Pourquoi faut-il définir des routes statiques pour les réseaux internes distants ?;Ce n'est nécessaire que pour les interfaces externes;Pour compléter les mécanismes d'antispoofing par la table de routage;Pour accélérer le débit réseau du pare-feu;Pour désactiver automatiquement les règles implicites;3;Sans cela, les paquets provenant de ces réseaux via une interface interne seront rejetés.
Quel est l'intérêt d'un miroir interne pour les mises à jour d'un équipement SNS ?;Chiffrer automatiquement les journaux du pare-feu;Limiter le nombre d'équipements accédant directement à Internet et la consommation de bande passante;Accélérer le chiffrement des flux VPN;Remplacer entièrement le besoin de mises à jour régulières;3;En son absence, un proxy authentifiant dédié doit être utilisé pour les mises à jour en ligne.
