"Opération de repérage ?","Identification des failles d'un site avant vol, dégradation ou espionnage."
"Vecteurs de repérage ?","Piéton, véhicule stationné, drone ; congés d'été, nuit, pause méridienne."
"Prévenir les repérages ?","Sécurité adaptée, sensibilisation, chaîne de sûreté avec référents, visiteurs accompagnés."
"Incident de repérage ?","Consigner (drone : date, heure, durée, photo), intercepter et identifier, signaler, plainte."
"Sûreté bâtimentaire ?","Dissuader, bloquer, ralentir, détecter ; tous les accès ; réévaluation périodique."
"Offre gratuite de la DGSI ?","Conseil en sûreté bâtimentaire et conférences de sensibilisation."
"Mesures organisationnelles simples ?","Badges à codes couleur, visiteurs accompagnés, bureaux verrouillés et contrôlés."
"Protections extérieures et intérieures ?","Clôtures, barrières, signalétique, vitrages renforcés ; détecteurs d'ouverture, choc, présence."
"Matériels sensibles volés ?","Ordinateurs, tablettes, supports, téléphones, prototypes, maquettes."
"Prévenir le vol de matériel ?","Badges rangés en lieu sûr, matériels sous clé ou armoire forte, chiffrement."
"Après un vol de matériel ?","Évaluer les données, RSSI, désactivation à distance, RETEX, veille de revente, plainte, DGSI."
"Sabotage : conséquences ?","Arrêt de production, réparations coûteuses, chômage partiel, atteinte à la réputation."
"Prévenir un sabotage ?","Cartographie, barrières, vidéosurveillance, détection des sites isolés, secours, stock de pièces, PCA."
"Visites d'entreprises 2022 ?","20 millions de visiteurs, 3 500 entreprises, +25 % en 3 ans (DGE)."
"Préparer une visite publique ?","Accord pour une ZRR, parcours balisé, pas de photos, identités à l'avance, PC déconnectés, USB désactivés."
"Pendant la visite ?","Énoncer les consignes, jamais de visiteur seul, couper court aux questions intrusives."
"Salon : avant ?","Analyser l'emplacement, éléments de langage, matériels rendus inutilisables, vitrines, appareils dédiés."
"Salon : pendant ?","Wi-Fi et Bluetooth coupés, messagerie chiffrée, stand jamais seul, carte de visite, vigilance le dernier jour."
"Salon : après ?","Démontage méticuleux, analyse des appareils, changement des mots de passe, veille."
"Coffre de chambre d'hôtel ?","Jamais considéré comme un espace sécurisé."
"Visioconférence sécurisée ?","Mot de passe et lien uniques, audit, RSSI, chiffrement de bout en bout (Tixeo)."
"Réunion à distance avec des étrangers ?","Liste complète des participants, méfiance envers les ajouts tardifs, fermeté."
"BYOD ?","Bring your own device : appareils personnels à usage professionnel."
"Règles BYOD ?","Cloisonner les sessions, pas de transfert entre messageries, stocker le minimum, charte dès l'embauche."
"Incident sur appareil personnel ?","Prévenir le RSSI, lui confier l'appareil, plainte en précisant l'usage mixte."
"Drone et hangar ?","Trois survols en une semaine, photos de machines en cours d'assemblage."
"Badge falsifié ?","Accès repérés lors de trois visites guidées ; séparation des flux visiteurs et salariés."
"Vidéo terroriste en visio ?","Inscription libre et mot de passe faible : intrus devenus animateurs."
