Quels sont les trois types d'attaques DDoS présentés par l'ANSSI ?;Interne, externe, mixte;Physique, logique, humaine;Aucune typologie n'existe;Volumétrique, protocolaire, applicative;5;Ces types ne sont pas exclusifs et peuvent être combinés par les attaquants.
Que vise une attaque DDoS volumétrique ?;Chiffrer les fichiers de la victime;Modifier le contenu d'une base de données;Voler des mots de passe utilisateurs;Épuiser la bande passante réseau disponible;5;L'UDP flood ou l'ICMP flood en sont des exemples typiques.
Qu'est-ce qu'une attaque protocolaire de type DDoS ?;Une attaque qui épuise les ressources CPU/RAM en détournant un protocole (ex. inondation SYN);Une attaque qui ne cible que les imprimantes réseau;Une attaque qui modifie le DNS local uniquement;Une attaque qui vole les certificats SSL;2;L'attaque Smurf est un autre exemple d'attaque protocolaire.
Qu'illustre l'attaque DNS water torture ?;Une attaque applicative DDoS qui requête massivement des entrées DNS existantes;Une simple erreur de configuration DNS sans attaquant;Une attaque sur les mots de passe des administrateurs DNS;Une attaque physique sur les câbles sous-marins;2;Elle vise à épuiser les ressources d'un serveur DNS en détournant son fonctionnement normal.
Pourquoi les attaquants DDoS peuvent-ils être difficiles à contrer durablement ?;Ils peuvent adapter et combiner leurs techniques rapidement au cours du temps;Ils sont toujours détectés immédiatement sans exception;Ils utilisent toujours exactement la même technique sans jamais varier;Ils ne ciblent jamais deux fois la même victime;2;Une réponse spécifique avec l'aide d'experts est recommandée pour les attaques évolutives.
Que recommande l'ANSSI concernant les services exposés à Internet ?;Exposer tous les services possibles par précaution;Ne jamais exposer aucun service, même nécessaire;Dupliquer chaque service sur cent serveurs différents;Les restreindre au strict besoin opérationnel;5;Cela réduit la surface d'attaque disponible pour un DDoS.
Contre quels niveaux du modèle OSI un service anti-DDoS doit-il protéger ?;Uniquement le niveau 2 (liaison);Les niveaux 3, 4, 5 et 7;Uniquement le niveau 1 (physique);Aucun niveau OSI n'est pertinent ici;3;Cela inclut un contrôle de débit, une limitation des requêtes et une protection anti-robot.
Comment configurer les pare-feux en coupure d'Internet contre les DDoS ?;Bloquer tout le trafic entrant sans exception;Activer uniquement le filtrage réseau et transport (niveaux 3-4), désactiver le filtrage applicatif;Désactiver totalement le pare-feu pour ne pas ralentir le trafic;Activer uniquement le filtrage applicatif (niveaux 5+);3;Il faut aussi réduire les flux UDP entrants au strict nécessaire.
Que faut-il prévoir pour qu'un service administré reste gérable pendant une attaque DDoS ?;Un accès administrateur partagé avec le public;La suppression totale de toute administration à distance;Un réseau d'administration physiquement dédié;Aucune précaution particulière n'est nécessaire;4;Cela permet de conserver le contrôle du service même sous attaque.
Quel risque de confidentialité est associé à l'usage d'un CDN pour se protéger des DDoS ?;Le CDN n'a aucun impact sur la confidentialité;Une partie des ressources du CDN peut être hébergée à l'étranger;Le CDN empêche toute protection DDoS de fonctionner;Le CDN supprime automatiquement toutes les données du client;3;C'est un point d'attention explicite du guide malgré les bénéfices du CDN contre les DDoS.
Que faut-il faire des autres alertes de sécurité générées pendant une attaque DDoS bruyante ?;Les traiter uniquement après un an;Les ignorer totalement car elles sont sans intérêt;Les contrôler a posteriori, potentiels signes d'une attaque plus discrète;Les supprimer immédiatement des journaux;4;Une attaque DDoS visible peut servir à masquer une attaque plus grave et discrète.
Que peut imposer un fournisseur d'accès à Internet à ses clients en cas d'attaque DDoS sur sa propre infrastructure ?;Rien, cela ne concerne jamais les autres clients;La coupure définitive et permanente du contrat;Un mode dégradé, même si l'attaque ne cible pas directement le client;Une hausse immédiate et systématique des prix;4;Ce risque doit être anticipé dans le plan de gestion de crise DDoS de l'entité.
