"Qu'est-ce que le DevSecOps ?","Une méthodologie incluant les pratiques de sécurité dans le développement et la mise en production."
"Que doit contenir la cartographie des applications ?","Droits système, secrets, matrices de flux, rôles des développeurs, référents techniques/métier."
"Que doit couvrir l'analyse de risque globale DevSecOps ?","Les chemins de compromission : postes développeurs, sous-traitance, CI/CD, technologies (ex. cloud)."
"Comment considérer les actions de la CI/CD de production ?","Comme des actions d'administration (poste dédié, moindre privilège, journalisation)."
"Comment générer les jetons (tokens) pour la CI/CD de production ?","À la demande, plutôt que des jetons statiques de longue durée."
"Comment gérer les secrets en DevSecOps ?","Un gestionnaire de secrets distinct par environnement, sans secrets en dur dans le code ou les logs."
"Que faire des dépendances logicielles ?","Les minimiser, les évaluer, appliquer les correctifs avant déploiement."
"Quels tests de sécurité automatiser dans la CI/CD ?","Non-régression, étanchéité entre profils, analyse statique/dynamique, conformité IaC."
"Comment sécuriser le déploiement en production ?","Intégrité du code source de bout en bout ; signature et vérification des artefacts."
"Où implémenter une authentification multifacteur en DevSecOps ?","Accès aux dépôts et signature des commits."
"Comment séparer les infrastructures CI/CD ?","Développement et production séparées, non exposées directement sur Internet."
"Pourquoi réinstancier régulièrement l'infrastructure CI/CD ?","Pour limiter l'impact d'une compromission durable (pas de données persistantes)."
