"Qui sensibiliser à la protection des données ?","La direction et les salariés, aux impacts d'une compromission."
"Que faire concernant le partage de données avec des sous-traitants ?","Évaluer les risques et contractualiser la sécurisation des données."
"Quel principe RGPD guide le développement d'applications ?","La protection des données dès la conception et par défaut (ex. limiter l'export massif)."
"Que faire des données obsolètes ?","Les archiver ou les effacer de manière sécurisée."
"Que préparer en amont pour une crise de fuite de données ?","Des procédures de gestion de crise et une communication de crise, avec liste des contacts (CNIL, ANSSI, cybermalveillance...)."
"Quelles mesures assurent la sécurité des données et traitements ?","Mesures physiques (accès locaux) et informatiques (défense en profondeur, chiffrement, EDR)."
"Comment gérer les accès d'administration des sous-traitants ?","Des accès sécurisés et dédiés, avec MCO/MCS du SI assuré."
"Selon quels critères minimiser les accès aux données ?","Par rôle, par zone du SI (dev/prod/préprod) et par créneaux horaires."
"Quelles mesures de nomadisme numérique limitent les fuites ?","Filtres écran de confidentialité (R7) et verrouillage automatique des sessions (R16)."
"Qu'est-ce qu'un logiciel DLP ?","Un outil de Data Loss Protection, pour prévenir la fuite de données."
"Quel outil de veille en réaction citer pour les fuites de données ?","haveibeenpwned.com (+ veille CTI en anticipation)."
"Que comprendre en cas de fuite avérée ?","Sa source, pour une remédiation adéquate évitant une nouvelle compromission (ex. infostealer)."
