"Cyber-hygiène ?","Bonnes pratiques simples et peu coûteuses des collaborateurs pour limiter les risques."
"Ingénierie sociale ?","Manipulation par la peur, la confiance, la curiosité, l'appât du gain, la hiérarchie."
"Bruit cyber ?","Cybercriminalité de masse non ciblée."
"Pourquoi les PME ?","Informations monnayables, maillon faible des grands groupes, protection faible."
"3 freins des dirigeants ?","Connaissance superficielle, offre inadaptée, coût perçu."
"4 valeurs à protéger ?","Financière, réputationnelle, intangible, humaine."
"Cyber comme valeur ?","Argument commercial, critère des donneurs d'ordres, exigence des financeurs."
"Fréquence des attaques ?","Rançongiciel 22 %, intrusion 20 %, piratage de compte 14 %, usurpation 10 %, hameçonnage 8 %, DDoS 5 %, FOVI 4 %, défiguration 2 %."
"Parade au piratage de compte ?","Authentification multifacteur."
"Parade au faux RIB ?","Appeler le fournisseur avec des coordonnées fiables ; jamais de RIB pris sur facture."
"Fraude au président ?","Faux dirigeant, urgence et confidentialité, souvent un vendredi soir ; vérifier par l'annuaire interne."
"6 règles de cyber-hygiène ?","Mots de passe, sensibilisation, mises à jour, comportements, sauvegardes, garde-fous."
"Garde-fous ?","Filtrage web, droits d'accès recertifiés, Wi-Fi sécurisé, VPN, USB bloqués, MFA."
"Référent cybersécurité ?","Au comité de direction ; analyse de risques, plan d'action et d'investissement."
"Préparation en 3 étapes ?","Diagnostic, plan d'action, plan de continuité d'activité."
"Offres Bpifrance ?","Diag Cybersécurité (4 jours), Autodiag gratuit, Diagnostic Cyber Défense avec la DGA."
"Piloter en 10 étapes ?","État des lieux, criticité, protection, plan d'action, accompagnement, sensibilisation, préparation, implication, contrôle, itération."
"80 % ?","Part des cyberattaques évitables par des mesures simples."
"Réagir : sécuriser ?","Personnes d'abord, déconnecter, ne pas éteindre, ne pas contacter les attaquants, ne pas payer."
"Réagir : alerter ?","Collaborateurs, informatique, banque, assureur, plainte avant remédiation, CNIL 72 h, ANSSI si OIV/OSE."
"Réagir : remédier ?","PCA, origine certaine, remise en service progressive, retour d'expérience, soutien psychologique."
"Consignes collaborateurs ?","Débrancher, ne pas éteindre, alerter, ne plus toucher, prévenir les collègues."
"ExpertCyber ?","Label des prestataires en sécurité numérique (Cybermalveillance, AFNOR, FFA)."
