"Fait inhabituel ?","Tout événement qui étonne (question intrusive, photos du site, drone, véhicule stationné) : le signaler immédiatement au responsable sûreté."
"Qui signale ?","Moi : ne jamais penser qu'une autre personne le fera."
"Numéros d'urgence ?","112 européen, 15 SAMU, 17 police, 18 pompiers, 114 par SMS."
"Badge ?","Porté de manière apparente sur le site, retiré en sortant, perte ou vol signalé immédiatement."
"Discrétion ?","Pas de sujets sensibles dans les transports, couloirs, machine à café ni réseaux sociaux."
"Téléphone en réunion sensible ?","Hors de la salle : les murs ont des oreilles, les téléphones aussi."
"Question intrusive ?","Réponse évasive, puis signalement."
"Session ouverte ?","À verrouiller à chaque absence (affiche « une viennoiserie offerte pour une session ouverte »)."
"Bureau propre ?","Documents sous clé en fin de journée, écran vide, tableaux effacés."
"Documents sensibles à jeter ?","Broyeur ou coffre, jamais la poubelle."
"Impression sécurisée ?","Libération du document par code PIN ou badge ; récupérer immédiatement."
"Portes ?","Jamais bloquées ouvertes, même par un extincteur."
"Mot de passe ?","12 caractères minimum, unique, gestionnaire certifié ANSSI, double authentification."
"En déplacement ?","Filtre de confidentialité, pas de Wi-Fi public (VPN), Wi-Fi et Bluetooth coupés, prises secteur plutôt qu'USB."
"La voiture n'est pas un coffre-fort ?","Jamais d'ordinateur ni de documents sensibles dans un véhicule stationné."
"Voiture de location ?","Ne pas connecter ses appareils ; sinon effacer les données Bluetooth du véhicule."
"Risques en salon ?","Espionnage, terrorisme/sabotage, cyber, atteinte réputationnelle, vols."
"Approches humaines en salon ?","Faux journaliste, faux stagiaire, ancien élève ou ancien collaborateur."
"Attaques cyber en salon ?","Faux point d'accès, détournement du Wi-Fi, supports amovibles piégés."
"Stand : exposition ?","Maquettes simples et brevetées ; argumentaire préparé pour les sujets sensibles."
"Stand : pendant le salon ?","Toujours une personne présente, carte de visite annotée, pas de photos des prototypes, câbles antivol."
"Remonter un doute à la DRSD ?","Qui, quoi, où, quand, comment."
"Moment critique du salon ?","Le démontage : vigilance en baisse, vérifier les inventaires."
"Après le salon ?","Inventaire, rapport d'étonnement (sûreté séparée du commercial), supports vérifiés par le RSSI."
"Diffusion Restreinte ?","Mention de sensibilité (annexe 1 IGI 1300), pas une classification de défense."
"Timbre DR ?","En haut et au milieu de chaque page."
"Accès à un document DR ?","Pas d'habilitation mais besoin d'en connaître ; jamais sans surveillance."
"Spécial France ?","Réservé aux personnes morales et physiques françaises, binationaux compris."
"Mention [NP] ?","Signale une phrase ou un paragraphe non protégé dans un document DR."
"Agrégat ?","Réunion de documents DR pouvant justifier une classification."
"Conservation et copie DR ?","Meuble fermant à clé, copies limitées, copieur de niveau DR."
"Engagement de non-divulgation ?","Modèle en annexe 14 de l'IM 900 du 27 août 2025."
"Transmission DR ?","Double enveloppe : intérieure avec mention, extérieure avec acheminement seulement."
"Destruction DR ?","Irréversible (broyeur), jamais à la poubelle."
"Scanner un DR ?","Interdit sur un SI non homologué, sauf chiffrement agréé ANSSI (ACID, ZED!) ; II 901 du 28/01/2015."
"Parcours de notoriété ?","Circuit de visite préétabli excluant les zones sensibles ; obligatoire pour la PPST."
"Salle d'accueil des visiteurs ?","Insonorisée, sans vue sensible ni prise réseau, Wi-Fi visiteurs séparé, casiers pour téléphones."
"Badge visiteur ?","Mention VISITEUR seule, tour de cou de couleur différente, droits très restreints."
"Biodatas ?","Photo, identité, naissance, nationalité, fonction : reçues plusieurs jours avant ; référent DRSD informé."
"Veille de la visite ?","Contrôler le circuit, effacer paperboards, vider poubelles, PC en mode présentateur."
"Jour de la visite ?","Vérifier les identités, registre rempli par le personnel, accompagnement permanent, pas de photos, USB ni QR codes."
"Après la visite ?","Refaire le circuit, recueillir les étonnements, contrôler les supports offerts ou utilisés."
"Anecdote de la cravate ?","Trempée dans des liquides pour prélever des échantillons."
"Devise du parcours de notoriété ?","Improvisation ne rime jamais avec visiteurs."
