Qu'est-ce que le WPS et que recommande l'ANSSI à son sujet ?;Le Wi-Fi Protected Setup, à désactiver systématiquement;Une norme de câblage Ethernet;Un protocole de chiffrement à activer partout;Un antivirus pour point d'accès;2;Le WPS est une fonction de configuration simplifiée des points d'accès, source de vulnérabilités.
Que recommande l'ANSSI concernant les points d'accès Wi-Fi personnels en environnement professionnel ?;Ils doivent être utilisés en priorité;Aucune recommandation à ce sujet;Leur utilisation est à proscrire;Ils sont recommandés pour le télétravail;4;Seuls les points d'accès maîtrisés par l'entité doivent être autorisés sur le réseau.
Quels modes de sécurité Wi-Fi l'ANSSI recommande-t-elle ?;WPA3-Enterprise, WPA2-Enterprise sous condition, ou WPA3-Personal;Aucune authentification;WPA1 uniquement;WEP uniquement;2;Le mode mixte WPA3/WPA2 est à éviter car il peut dégrader la sécurité.
Que faut-il activer en mode WPA2-Enterprise selon l'ANSSI ?;Le mode WEP de secours;La désactivation du pare-feu;Le partage de connexion automatique;La protection des trames de gestion (PMF);5;Cette protection renforce la sécurité du mode WPA2-Enterprise.
Pourquoi l'ANSSI déconseille-t-elle le mode mixte WPA3/WPA2 ?;Il empêche toute connexion Wi-Fi;Il est incompatible avec le WPS;Il peut entraîner un partage des secrets et une dégradation de sécurité;Il consomme trop de bande passante;4;Cela peut affecter les terminaux supportant WPA3 en réduisant leur niveau de sécurité effectif.
Est-il utile de cacher le SSID d'un réseau Wi-Fi selon l'ANSSI ?;Oui, mais seulement pour le réseau invité;Non, un terminal déjà connecté révélera le nom du réseau caché;Cela dépend du fournisseur d'accès;Oui, c'est la mesure la plus efficace;3;Masquer le SSID donne une fausse impression de sécurité.
Comment l'ANSSI recommande-t-elle de cloisonner les réseaux Wi-Fi ?;Un cloisonnement uniquement pour les invités;Aucun cloisonnement n'est nécessaire;Un VLAN distinct par usage, avec des SSID distincts par mode de sécurité;Un seul VLAN pour tous les usages;4;Exemple donné : un réseau Postes de travail en WPA3-Enterprise et un réseau IoT séparé.
Que doit-on faire des terminaux non maîtrisés comme les téléphones personnels ?;Bloquer leur connexion par défaut, avec un réseau invité dédié;Aucune règle particulière;Leur donner un accès administrateur;Les laisser se connecter librement;2;Le réseau invité doit être dédié et cloisonné des autres réseaux.
Que recommande l'ANSSI pour les secrets d'authentification Wi-Fi ?;Les diffuser au seul personnel autorisé et les changer régulièrement;Les afficher dans les locaux d'accueil;Ne jamais les changer une fois définis;Les partager publiquement pour simplifier l'accès;2;Les secrets doivent aussi être changés sans délai après une suspicion de compromission.
Que doit permettre la configuration des points d'accès et contrôleurs Wi-Fi en matière de journalisation ?;Uniquement la journalisation des pannes matérielles;Aucune journalisation n'est nécessaire;La collecte des événements de sécurité, idéalement vers une supervision centrale;La suppression automatique des journaux;4;Cette collecte s'inscrit dans les recommandations sur l'architecture d'un système de journalisation.
Que permet l'auto-enrôlement des certificats par GPO lorsqu'une IGC existe ?;De partager les certificats publiquement;Aux postes de recevoir automatiquement le certificat nécessaire à l'authentification Wi-Fi;De désactiver le chiffrement du réseau;De supprimer le besoin de mot de passe;3;L'accès au SSID concerné est ensuite restreint aux seules connexions authentifiées par certificat.
Quels protocoles l'ANSSI recommande-t-elle pour administrer les points d'accès Wi-Fi ?;FTP anonyme;Des protocoles sécurisés comme TLS ou SSH;HTTP sans chiffrement;Telnet en clair;3;L'interface d'administration doit aussi être connectée à un réseau dédié et cloisonné.
Que recommande l'ANSSI concernant les éléments de connexion par défaut des points d'accès ?;Les conserver pour faciliter la maintenance;Aucune action nécessaire;Les partager avec tous les utilisateurs;Les modifier systématiquement, secrets et mots de passe compris;5;Cela inclut les mots de passe Wi-Fi et les mots de passe d'administration.
Pourquoi faut-il désactiver l'UPnP sur les points d'accès si non utilisé ?;Car elle consomme trop de batterie;Car elle est incompatible avec le Wi-Fi;Car cette fonction de découverte automatique présente des risques de sécurité;Car elle ralentit le réseau;4;Le WPS doit également être désactivé systématiquement pour la même raison.
Que recommande l'ANSSI avant reconditionnement, cession ou mise au rebut d'un terminal ?;Supprimer les réseaux connus et les secrets associés;Conserver les mots de passe Wi-Fi pour le prochain utilisateur;Ne rien faire de particulier;Réinstaller uniquement le système d'exploitation;2;Cela évite qu'un ancien secret de connexion Wi-Fi ne soit exploité par un tiers.
