Qu'est-ce qu'une opération de repérage ?;Une visite officielle;Un audit comptable;Une action visant à identifier les failles de sécurité d'un site;Une campagne publicitaire;4;Elle prépare un vol, une dégradation ou un espionnage.
Quel outil a multiplié les opérations de repérage ?;Le minitel;Le drone;Le fax;La radio;3;Son coût a fortement baissé.
À quels moments les repérages sont-ils souvent réalisés ?;Uniquement le lundi matin;Pendant les réunions du conseil;Congés d'été, nuit ou pause méridienne;À l'heure de pointe;4;Ce sont des moments de vigilance réduite.
Que consigner lors du survol d'un drone ?;Uniquement la météo;La date, l'heure, la durée et si possible une photo de l'appareil;Le nom du pilote supposé;Rien;3;Utile en cas de survols multiples.
Que faire d'un individu présent sans motif légitime dans les locaux ?;Le laisser partir;Lui faire visiter les locaux;L'intercepter, l'accompagner à l'accueil et relever son identité;Lui prêter un badge;4;Le chef de site avait laissé partir un militant sans vérification.
Quelles sont les fonctions de la sûreté bâtimentaire ?;Nettoyer, ranger, peindre;Vendre, louer, acheter;Chauffer, éclairer, ventiler;Dissuader, bloquer, ralentir et détecter;5;Pour permettre l'intervention des forces de l'ordre.
Que propose gratuitement la DGSI en matière bâtimentaire ?;Des missions de conseil en sûreté bâtimentaire;Des agents de gardiennage;Des travaux de rénovation;Des caméras;2;Sur simple demande pour les entités sensibles.
À quoi servent les badges à codes couleur ?;À décorer;À payer la cantine;À distinguer visiteurs, prestataires et salariés;À ouvrir tous les accès;4;Ils développent une culture interne de sûreté.
Pourquoi une signalétique claire est-elle utile ?;Pour mettre en tort l'intrus qui prétend ignorer l'interdiction;Elle est inutile;Pour le tourisme;Par obligation fiscale;2;L'intrus nocturne avait dit s'être perdu.
Comment l'individu masqué a-t-il volé des ordinateurs avant un déménagement ?;Par colis postal;En récupérant des badges laissés à l'accueil;En se faisant embaucher;En piratant le réseau;3;La porte principale était ouverte pour le ménage.
Qu'est-il arrivé au prototype confié à un transporteur ?;Il a été volé dans le véhicule stationné la nuit sur un parking d'hôtel;Il a été livré en avance;Il a été détruit par la douane;Il a été perdu en mer;2;Le site d'essai était fermé à son arrivée.
Quelle mesure numérique limite les conséquences d'un vol d'ordinateur ?;Une housse de couleur;Un autocollant;Un fond d'écran neutre;Le chiffrement des supports;5;Sans chiffrement, les données sont immédiatement exploitables.
Quel réflexe a eu l'ingénieur volé dans un parc ?;Racheter un ordinateur;Ne rien dire;Attendre une semaine;Faire désactiver à distance l'ordinateur et sa carte d'accès;5;Il a aussi déposé plainte le jour même.
Pourquoi surveiller Internet après un vol de matériel ?;C'est inutile;Par curiosité;Pour détecter une éventuelle mise en vente;Pour trouver un remplaçant moins cher;4;Les plateformes entre particuliers sont à surveiller.
Qu'est-ce qu'un sabotage ?;Une grève légale;Une détérioration ou destruction intentionnelle de matériel, installations, informations ou image;Une panne accidentelle;Un contrôle qualité;3;Il peut être idéologique, concurrentiel ou malveillant.
Qu'est-ce qu'un sabotage subi indirectement ?;Un sabotage visant un tiers dont on dépend, comme le réseau électrique;Un sabotage imaginaire;Un sabotage chez un concurrent sans effet;Un exercice;2;Plusieurs milliers d'entités ont été privées de courant.
Pourquoi prévoir un stock de pièces de rechange ?;Pour les revendre;Pour décorer;Pour limiter les délais de réparation après un sabotage;Par obligation légale;4;Avec des équipements de secours et un PCA.
