Combien de pare-feux au minimum une passerelle Internet sécurisée doit-elle mettre en œuvre ?;Aucun minimum n'est fixé;Quatre, quel que soit le contexte;Un seul suffit s'il est qualifié;Deux, en cascade;5;Une architecture à un seul pare-feu crée un point de défaillance unique.
Pourquoi préférer une approche multi-éditeurs à une approche mono-éditeur pour les pare-feux ?;Elle est obligatoire pour tous les systèmes non protégés;Elle évite qu'une vulnérabilité ou erreur de configuration soit trivialement rejouée sur les deux pare-feux;Elle réduit systématiquement les coûts de licence;Elle simplifie l'administration centralisée;3;Cela correspond au principe de défense en profondeur.
À quelle condition la diversification technologique des pare-feux est-elle réellement pertinente ?;Elle n'a aucune condition, elle est toujours bénéfique;Si les deux pare-feux proviennent du même éditeur;Si les équipes d'exploitation maîtrisent réellement chacune des technologies déployées;Uniquement pour les systèmes non protégés;4;À défaut de maîtrise, il vaut mieux rationaliser le nombre de technologies utilisées.
Les pare-feux externe et interne doivent-ils porter d'autres fonctions de sécurité comme la terminaison VPN ?;Non, ils doivent être dédiés exclusivement à la fonction de filtrage réseau;Oui, uniquement pour le pare-feu interne;Oui, mais seulement pour les petites structures;Oui, cela optimise l'usage du matériel;2;Ces autres fonctions doivent être mises en œuvre au sein de la DMZ.
Que recommande le guide concernant la virtualisation des pare-feux d'une passerelle Internet sécurisée ?;Elle est équivalente en sécurité à une solution physique;Elle est obligatoire pour tous les nouveaux déploiements;Elle est déconseillée de façon générale, a fortiori pour les SI Diffusion Restreinte ou sensibles;Elle est fortement recommandée pour réduire les coûts;4;La confiance dans l'isolation d'un hyperviseur est difficile à démontrer.
Si des pare-feux externe et interne virtualisés sont malgré tout utilisés, que faut-il faire ?;Fusionner leurs politiques de sécurité en une seule instance;Les porter par des socles physiquement séparés, jamais mutualisés entre eux;Les héberger sur le même hyperviseur pour simplifier l'administration;Utiliser un hyperviseur de type 2 uniquement;3;Cela évite qu'une compromission de l'hyperviseur affecte les deux pare-feux simultanément.
Qu'est-ce qui distingue un pare-feu qualifié d'un pare-feu simplement certifié ?;Il n'existe aucune différence, ce sont des synonymes;La certification est délivrée uniquement à l'étranger;La qualification va au-delà de la certification technique en intégrant une analyse organisationnelle de l'éditeur par l'ANSSI;Un pare-feu certifié est toujours plus robuste qu'un pare-feu qualifié;4;La qualification traduit une recommandation de l'État envers le produit.
Qui définit la cible de sécurité d'un pare-feu certifié ?;Le CESTI indépendant systématiquement;Toujours l'ANSSI elle-même;Le client final qui achète le produit;L'éditeur du produit, sans intervention de l'ANSSI sauf en cas de cible mensongère;5;C'est une différence majeure avec le processus de qualification.
Que doit-on impérativement examiner avant d'acquérir un pare-feu certifié plutôt que qualifié ?;Le nombre d'employés de l'éditeur;Sa cible de sécurité et son rapport de certification;Uniquement son prix d'achat;Sa date de sortie commerciale;3;Il faut aussi être vigilant aux versions logicielles couvertes et aux restrictions d'emploi associées.
Pour un système d'information Diffusion Restreinte, quel niveau de qualification est obligatoire pour au moins un des deux pare-feux ?;Le niveau renforcé uniquement, jamais standard;Aucun niveau n'est obligatoire, seule la certification suffit;Le niveau standard (ou supérieur);Le niveau élémentaire uniquement;4;Ce pare-feu doit être en coupure de tous les flux vers et depuis le réseau de classe 0.
Si un seul pare-feu qualifié au niveau standard est déployé dans une passerelle protégeant un SI DR, où doit-il préférentiellement être positionné ?;Peu importe, la position n'a aucune incidence;Toujours au centre de la DMZ, entre les deux autres pare-feux;En position de pare-feu interne, au contact du SI à protéger;En position de pare-feu externe, au contact du réseau de moindre confiance;5;Un positionnement différent doit être justifié et le risque résiduel formellement accepté.
Que faut-il faire si le pare-feu qualifié au niveau standard n'est finalement pas positionné en externe ?;Rien de particulier, ce choix est indifférent;Demander une nouvelle qualification ANSSI;Remplacer immédiatement le second pare-feu;Formaliser une justification et une acceptation du risque résiduel, par exemple dans le dossier d'homologation;5;Un SI DR étant soumis à homologation, ce risque résiduel doit y être documenté.
Quelles recommandations s'appliquent aux systèmes d'information sensibles selon ce guide ?;Uniquement la recommandation de diversification technologique;Aucune recommandation spécifique n'existe pour eux;Les mêmes que pour les SI non protégés uniquement;Globalement les mêmes que pour les SI Diffusion Restreinte;5;La mise en œuvre de pare-feux qualifiés par l'ANSSI y est obligatoire pour l'État et les entités PPST.
Que recommande le guide pour les systèmes d'information non protégés (NP) ?;Aucune recommandation ne s'applique à ces systèmes;Un seul pare-feu suffit toujours pour un SI NP;L'usage de pare-feux qualifiés y est strictement interdit;La diversification technologique et le recours à des solutions qualifiées restent recommandés, sans obligation réglementaire;5;Contrairement aux SI DR ou sensibles, il n'y a pas d'obligation réglementaire stricte ici.
Dans une passerelle à plus de deux pare-feux en cascade, que doit-on faire des recommandations du guide ?;Seule la recommandation de diversification technologique reste valable;Elles ne s'appliquent plus dès qu'il y a plus de deux pare-feux;Il faut alors utiliser exclusivement des pare-feux virtualisés;Les généraliser : diversification technologique, dédicace au filtrage, pare-feux qualifiés ou certifiés;5;Cela concerne notamment la diversification (R2), la dédicace au filtrage (R4) et la qualification (R6/R7).
Le réseau de classe 0 au sens de l'II 901 correspond-il toujours directement à Internet ?;Non, des équipements de moindre criticité peuvent s'intercaler entre Internet et le pare-feu qualifié;Oui, c'est systématiquement synonyme d'Internet;Non, il s'agit toujours du réseau interne de l'entité;Oui, cette notion n'existe que pour les SI non protégés;2;Une telle zone intermédiaire peut elle-même être protégée par un pare-feu non qualifié.
