"Quel est l'objectif principal du modèle Zero Trust ?","Réduire la confiance implicite accordée à un sujet accédant au système d'information."
"Le Zero Trust est-il une technologie à acheter ?","Non, c'est un modèle de sécurité réutilisant des principes de défense en profondeur (auth. systématique, moindre privilège, micro-segmentation)."
"Sur quoi repose le contrôle d'accès logique dans le ZT ?","L'évaluation dynamique du sujet, du contexte d'accès, et de la criticité de la ressource."
"Que risque une adoption non maîtrisée du Zero Trust ?","D'affaiblir le SI tout en donnant un faux sentiment de sécurité."
"Le Zero Trust remplace-t-il la défense périmétrique ?","Non, il est complémentaire, intégré dans une démarche de défense en profondeur."
"Sur quoi doit reposer la politique de contrôle d'accès de chaque cas d'usage ?","Uniquement des attributs maîtrisés, dont l'entité connaît la couverture et la qualité."
"Que faut-il cartographier pour des contrôles d'accès granulaires ?","Les applicatifs, données, utilisateurs, équipements et les flux entre eux."
"Pourquoi centraliser avec prudence les fonctions de contrôle d'accès ?","Une atteinte à leur disponibilité/intégrité impacterait tout le SI."
"Sur quel modèle s'appuie l'infrastructure de contrôle des autorisations ?","Le modèle ABAC (Attribute-Based Access Control)."
"Quels attributs évalue le modèle ABAC ?","Attributs du sujet, de la ressource, et attributs environnementaux (conformité du moyen d'accès, heure, lieu)."
"Que doit permettre l'infrastructure de gestion des actifs et vulnérabilités ?","Identifier les écarts à la politique de sécurité et automatiser la mise en conformité (ex. correctifs)."
"Quel prérequis pour utiliser la supervision de sécurité dans les décisions d'accès ?","Un faible taux de faux positifs et de faux négatifs."
"Quel type d'authentification est essentiel dans le modèle ZT ?","L'authentification multifacteur forte."
"Pourquoi les équipements personnels sont-ils insuffisants pour le ZT ?","Visibilité sur leur état de sécurité et confiance dans leurs informations jugées insuffisantes."
