"Qu'est-ce que la VBS ?","Virtualization Based Security : fonctionnalités de sécurité Windows 10 reposant sur la virtualisation (éditions Entreprise/Éducation)."
"Qu'est-ce que le VSM ?","Virtual Secure Mode : environnement virtualisé isolé par un hyperviseur, exécute les processus critiques (Trustlets)."
"Qu'est-ce qu'un Trustlet ?","Processus de confiance du VSM, édité uniquement par Microsoft, signé numériquement, communique par RPC."
"Prérequis matériel de base du VSM ?","Intel-VT ou AMD-V + SLAT (Second Level Address Translation)."
"Si la chaîne de démarrage est compromise ?","L'hyperviseur et tout ce qu'il exécute (VSM inclus) peuvent l'être aussi → protéger l'UEFI par mot de passe."
"Recommandation sur le démarrage sécurisé UEFI ?","L'activer systématiquement, VBS ou non : sans lui, la VBS apporte un gain de sécurité bien moindre."
"Qu'est-ce que Device Guard ?","Regroupe HVCI (intégrité du code protégée par l'hyperviseur) et CCI (intégrité du code configurable)."
"CCI vs Applocker ?","CCI offre une granularité supérieure, contrôle le code en mode noyau (KMCI+UMCI), plus profond qu'Applocker."
"Déploiement recommandé du mode CCI audit ?","Avant le mode enforced : journalise les codes qui auraient été bloqués, sans impact utilisateur."
"Que fait HVCI ?","Déporte des vérifications KMCI/UMCI dans un Trustlet protégé par le VSM ; vérifier compat. pilotes avant déploiement."
"Rôle du verrouillage UEFI (HVCI/Credential Guard) ?","Empêche la désactivation logicielle ; nécessite une intervention physique au démarrage."
"Que fait Credential Guard ?","Déporte les secrets d'authentification dans le Trustlet LSAIso.exe ; LSASS.exe ne garde que des blobs chiffrés éphémères."
"Pass-the-Hash / Pass-the-Ticket ?","Réutilisation d'un condensat NTLM ou d'un ticket Kerberos extrait de mémoire, à la place du mot de passe."
"Périmètre prioritaire de Credential Guard ?","Postes manipulant des comptes à privilèges AD (Tiers 0, éventuellement Tiers 1)."
"Limites de Credential Guard ?","Ne protège pas comptes locaux, programmes hors LSASS.exe, keyloggers, attaques physiques."
"Mesure complémentaire pour comptes admin locaux ?","Solution de gestion dédiée (ex. Microsoft LAPS) : mot de passe unique par système."
"Activation recommandée de Credential Guard ?","Avec verrouillage UEFI + sensibilisation des utilisateurs à refuser toute demande de désactivation."
"Outil de vérification pilotes avant HVCI ?","Device Guard and Credential Guard hardware readiness tool (Microsoft)."
"Option HvciOptions à éviter ?","Le mode Strict : non supporté par Microsoft, risque fort d'empêcher le démarrage."
"Exemples de solutions de virtualisation tierces parfois incompatibles avec la VBS ?","VMWare Workstation et VirtualBox."
