Pourquoi les hyperviseurs sont-ils des cibles privilégiées pour les attaquants ?;Ils sont toujours moins bien protégés que les postes utilisateurs;Ils ne contiennent jamais de données sensibles;Ils sont invisibles depuis le réseau interne;Leur compromission permet l'accès à l'ensemble des données et traitements hébergés;5;Il faut considérer à la fois la menace étatique et la menace cybercriminelle.
Comment se nomme, dans la terminologie VMware, le cluster d'administration ?;Le Datacenter Zero;Le Workload domain;Le Management domain;Le vSAN Cluster;4;Le Workload domain désigne à l'inverse un cluster de production.
Qu'est-ce qu'un rôle dans la gestion des privilèges vSphere ?;Un simple nom d'utilisateur;Un type de machine virtuelle particulier;Une adresse IP réservée;Un ensemble de privilèges spécifiant les actions autorisées sur un objet VMware;5;VMware associe un utilisateur à un rôle sur un objet comme une VM ou un datastore.
Qu'apportent en plus les dvSwitch par rapport aux vSwitch classiques ?;Une compatibilité exclusive avec Windows;Une gestion centralisée et des fonctions avancées comme les PVLAN;Rien de particulier, ils sont strictement identiques;Une consommation électrique réduite;3;Ils permettent aussi la capture du trafic entre autres fonctionnalités.
Qu'est-ce qu'un adaptateur VMKernel ?;Un antivirus intégré à l'hyperviseur;Un protocole de chiffrement propriétaire;Le composant portant une adresse IP assurant la connectivité entre l'ESXi et les autres composants de l'infrastructure;Un type de licence VMware;4;Un hyperviseur ESXi peut disposer de plusieurs adaptateurs VMKernel.
Quel niveau de sécurité offre une solution de micro-segmentation utilisant un agent interne à la VM, par rapport à une solution au niveau de l'hyperviseur ?;Un niveau de sécurité toujours supérieur;Exactement le même niveau de sécurité dans tous les cas;Aucune différence n'existe entre les deux approches;Un niveau de sécurité inférieur;5;L'agent interne est lui-même exposé à une compromission de la VM qu'il protège.
Quelle solution apporte la micro-segmentation dans l'écosystème VMware vSphere ?;vSAN;Horizon;vRealize;NSX;5;NSX contient aussi d'autres fonctionnalités de sécurité au-delà de la micro-segmentation.
Pourquoi les infrastructures de virtualisation sont-elles fréquemment ciblées par des rançongiciels ?;Car elles sont toujours exposées publiquement sur Internet;En raison de la concentration de machines virtuelles qu'elles hébergent;Car elles ne disposent jamais de sauvegarde;Car elles sont toujours moins chères à attaquer;3;Une seule compromission peut ainsi affecter un grand nombre de VM simultanément.
Le port d'administration d'une machine virtuelle peut-il être mutualisé avec le plan de contrôle du socle ?;Cela n'a aucune importance particulière;Oui, c'est même recommandé pour simplifier l'administration;Oui, mais uniquement pour les VM de test;Non, il doit être cloisonné, au minimum par un VLAN dédié;5;Cette mutualisation casserait la séparation censée protéger le socle d'une VM compromise.
Où doivent être hébergés les clusters ou serveurs de production selon la sensibilité des données ?;Directement sur le poste de l'administrateur;Sur un simple support USB externe;Tous mélangés dans un unique cluster générique;Dans des clusters dédiés par zone de sensibilité ou de confiance;5;Chaque zone doit être gérée par un vCenter dédié hébergé dans la zone d'administration.
L'annuaire d'administration de l'infrastructure VMware doit-il être le même que l'annuaire de production (ex. Active Directory) ?;Non, il doit être indépendant, avec vérification régulière des chemins de contrôle;Oui, mais uniquement pour les petites infrastructures;Cela n'a aucune importance particulière;Oui, systématiquement pour simplifier la gestion des comptes;2;Cela évite toute élévation de privilège possible dans les deux sens.
Pourquoi éviter de configurer l'hyperviseur comme source de synchronisation horaire pour un contrôleur de domaine Active Directory virtualisé ?;Car l'hyperviseur ne connaît jamais l'heure exacte;Cela n'a en réalité aucune importance;Pour éviter une désynchronisation horaire lors d'un redémarrage ou d'un snapshot;Car cela est interdit par la licence VMware;4;Cela pourrait avoir un impact sur les réplications Active Directory.
Que doit filtrer le proxy dédié au SI d'administration pour les mises à jour VMware sur Internet ?;Uniquement les images publicitaires;Les URLs VMware par liste d'autorisations;Aucun filtrage n'est nécessaire pour les mises à jour officielles;Uniquement le trafic vidéo;3;Cela limite la surface d'exposition du proxy aux seules sources légitimes de mise à jour.
Quel type d'authentification est recommandé pour la connexion des administrateurs sur vSphere/vCenter ?;Aucune authentification, l'accès doit être libre pour les administrateurs;Un simple mot de passe sans complexité particulière;Une authentification biométrique uniquement, sans autre facteur;L'authentification multifacteur;5;Le principe du moindre privilège doit aussi s'appliquer à tous les comptes d'administration.
Que faut-il désactiver sur les ESXi dans le cadre de leur durcissement, sauf accès d'urgence configuré ?;Le secure boot, pour accélérer le démarrage;La supervision de sécurité, jugée inutile;Le pare-feu local, pour simplifier l'administration;Les accès SSH, en activant le lockdown mode;5;Un compte de type bris de glace doit être configuré pour l'accès d'urgence.
Où doit être configuré le tagging VLAN des machines virtuelles ?;Cela n'a aucune importance, les deux méthodes sont équivalentes;Au niveau de l'hyperviseur ESX, jamais au sein de la VM;Uniquement à l'intérieur du système d'exploitation de la VM;Sur un serveur DNS externe;3;Cela évite qu'une VM compromise ne puisse altérer son propre étiquetage réseau.
Un arrêt massif de machines virtuelles observé en supervision peut être le signe de quoi ?;Une déconnexion réseau normale et anodine;Une simple mise à jour planifiée sans aucun risque;Une suspicion de chiffrement des fichiers vmdk par un rançongiciel;Un test de performance habituel sans conséquence;4;Une suspension de VM, elle, peut indiquer une suspicion de dump mémoire.
Où doivent être déployés le NSX manager et les NSX controllers ?;Uniquement sur le poste de l'administrateur principal;Exclusivement sur un cluster d'administration, jamais sur un cluster de production;Sur un cloud public tiers non maîtrisé;Indifféremment sur n'importe quel cluster disponible;3;Leur non-compromission est essentielle à la sécurité de toute la micro-segmentation.
Sur quels critères ne doivent jamais reposer les règles de filtrage de micro-segmentation ?;Des critères basés sur le port réseau;Des critères basés sur l'adresse IP source et destination;Des critères basés sur des tags définis par l'administrateur;Des critères modifiables par la machine virtuelle elle-même, comme le hostname ou l'adresse MAC;5;Une VM compromise pourrait sinon modifier ces critères pour contourner le filtrage.
Que doit contenir au minimum la sauvegarde de l'infrastructure de virtualisation elle-même ?;Rien, seule la sauvegarde des VM hébergées compte;Les binaires pour une installation minimaliste et les procédures d'import des configurations;Uniquement les données métier des utilisateurs finaux;Uniquement les mots de passe des administrateurs;3;Les procédures de restauration des VM doivent aussi être testées régulièrement.
