"Structure d'une fiche réflexe ?","Définition, but recherché, si vous êtes victime, mesures préventives, infractions."
"STAD ?","Système de traitement automatisé de données (art. 323-1 à 323-7 code pénal)."
"Piratage d'un système : réagir ?","Isoler, identifier la source, évaluer, preuves, plainte, scan, réinstaller, changer les mots de passe, CNIL si besoin."
"Virus : symptômes ?","Alerte antivirus, ralentissement, blocage, fenêtres ou erreurs inexpliquées."
"Défiguration ?","Altération d'un site par un pirate ; notoriété, revendication, atteinte à l'image."
"DDoS : réagir ?","Ne pas payer, filtrer, logs, copie de la machine, évaluer, changer les mots de passe, hébergeur."
"Usurpation de site pro : prévenir ?","Réserver les domaines voisins, gérer les échéances, comptes officiels, veille."
"Usurpation de site pro : réagir ?","Preuves, Whois/RDAP, abuse, Phishing Initiative, déréférencement, THESEE pour les clients."
"Piratage de compte : réagir ?","Contacter le service, vérifier la récupération, changer partout, 2FA, prévenir ses contacts."
"Usurpation d'identité : réagir ?","Preuves, signalement, plainte, banques, pièces renouvelées, attestation, Banque de France."
"Fuite de données : réagir ?","Lire le communiqué, méfiance, mots de passe, surveiller les comptes, CNIL après un mois."
"Cyberharcèlement : réagir ?","Ne pas répondre, tiers de confiance, preuves, verrouiller, signaler, plainte, 3018."
"FOVI ?","Faux ordres de virement : arnaque au président, faux RIB fournisseur ou salarié."
"FOVI : prévenir ?","Validation hiérarchique non dérogeable, messageries protégées (2FA), discrétion sur les habilités."
"Carte bancaire : réagir ?","Opposition, remboursement, Perceval, plainte, scan, vérifier les comptes."
"Arnaques à l'emploi ?","Ne jamais payer, pas de RIB ni n° sécu avant rencontre, vérifier le SIRET, pas de chèque d'inconnu."
"Chantage webcam ?","Ne pas paniquer, répondre ni payer ; preuves ; plainte pour extorsion."
"Spam électronique ?","Ne pas répondre, désinscription si légitime, Signal Spam, indésirable, CNIL."
"Spam téléphonique ?","STOP, 33700, Bloctel, pas de rappel surtaxé, infosva.org."
"Peines STAD ?","Accès : 3 ans/100 000 € ; avec altération : 5 ans/150 000 € ; État : 7 ans/300 000 €."
"Peines principales ?","Escroquerie 5 ans/375 000 € ; extorsion 7 ans/100 000 € ; usurpation 1 an/15 000 €."
"Cyberharcèlement : peines ?","2 ans/30 000 € ; 3 ans/45 000 € si victime mineure."
"Plateformes utiles ?","Pharos, THESEE, Perceval, Signal Spam, Phishing Initiative, 33700, 3018."
