Sur quel protocole OpenID Connect repose-t-il pour l'autorisation d'accès aux ressources ?;Kerberos;SAML;OAuth2.0;RADIUS;4;OIDC ajoute l'ID Token et normalise la récupération d'informations utilisateur.
Quelle cinématique est recommandée en priorité pour les applications Web ?;La cinématique implicit;La cinématique hybrid uniquement;Aucune cinématique particulière n'est recommandée;La cinématique authorization code;5;Elle protège la confidentialité de l'access token et permet l'authentification du client auprès du Token Endpoint.
Quelle est la différence principale entre un client OIDC confidentiel et un client public ?;Le client public dispose toujours d'un certificat serveur;Le client confidentiel n'utilise jamais TLS;Le client confidentiel opère dans un environnement maîtrisé permettant de protéger ses secrets;Le client public est toujours plus sécurisé;4;Un client public, comme une application mobile, ne peut pas authentifier ses requêtes de manière fiable.
Que doit vérifier le fournisseur de service concernant le certificat TLS du fournisseur d'identité ?;Uniquement la date d'expiration du certificat;La correspondance entre le nom de domaine et le SubjectAltName du certificat;Rien, TLS suffit sans vérification supplémentaire;La taille de la clé RSA uniquement;3;Le certificate pinning est également recommandé en complément.
À quoi sert le paramètre state dans une demande d'authentification ?;Se protéger contre les attaques CSRF;Identifier la version du protocole utilisée;Définir la durée de vie du token;Chiffrer l'access token;2;Il doit être généré aléatoirement avec une entropie minimale de 128 bits.
À quoi sert le paramètre nonce ?;Se protéger contre les attaques par rejeu;Chiffrer le canal HTTP;Authentifier le serveur TLS;Remplacer le certificate pinning;2;Il est renvoyé dans les paramètres de l'ID Token pour vérification.
Comment un fournisseur d'identité doit-il vérifier l'URL de redirection (redirect_uri) ?;En ne vérifiant que le protocole HTTPS;En redirigeant systématiquement vers une page par défaut;En acceptant toute URL fournie dans la requête;En s'assurant qu'elle appartient à une liste blanche associée au client OIDC;5;Cela protège contre les attaques de redirection ouverte.
Quelle est la durée de vie recommandée pour un authorization code ?;Plusieurs jours;Un an;Indéfinie, tant qu'il n'est pas révoqué manuellement;Quelques minutes, le temps de récupérer les jetons associés;5;Une fois utilisé pour obtenir les jetons, il doit être désactivé ou supprimé.
Sous quelle forme est-il recommandé de stocker les authorization code et access token en base de données ?;Dans un cookie côté client uniquement;Chiffrés avec le client_secret;Sous forme d'empreinte, par exemple SHA256;En clair pour faciliter le débogage;4;Cela limite les risques en cas de fuite via une injection SQL ou un accès administrateur malveillant.
Par quel canal l'access token doit-il être transmis au UserInfo Endpoint ?;Le corps d'une requête GET;Un cookie de session;L'entête Authorization;Un paramètre de l'URL;4;Les serveurs mandataires et serveurs Web n'écrivent pas cet entête dans leurs journaux.
L'access token doit-il apparaître dans les journaux applicatifs ?;Oui, systématiquement pour l'audit;Oui, mais uniquement chiffré;Oui, uniquement en environnement de test;Non, il est sensible et ne doit jamais y être écrit;5;Un access token volé permet d'accéder aux informations utilisateur sans authentification supplémentaire.
Pourquoi utiliser un secret différent du client_secret pour générer le HMAC de l'ID Token ?;Pour préserver la possibilité de stocker le client_secret haché et salé;Pour réduire la taille des échanges réseau;Pour accélérer la vérification côté client;Parce que la norme OIDC l'interdit formellement;2;Une implémentation strictement conforme à la norme peut cependant ne pas permettre cette recommandation.
Que doit comparer un fournisseur de service ayant exigé un niveau d'authentification minimal ?;Le champ iat avec l'heure système locale;Le champ sub avec le client_id;Le champ acr de l'ID Token avec la valeur demandée dans acr_values;La taille de la clé RSA du certificat serveur;4;Cela permet de vérifier que le mécanisme d'authentification utilisé respecte le niveau exigé.
Quelle entropie minimale est recommandée pour le state, le nonce, l'authorization code et les access token ?;128 bits;1024 bits;Aucune entropie minimale n'est précisée;8 bits;2;Cela correspond par exemple à une chaîne aléatoire de 22 caractères ASCII imprimables.
Pourquoi ne pas se fier au champ alg d'un JWS pour déterminer l'algorithme de vérification ?;Il n'est utilisé que pour les JWE, jamais pour les JWS;Il ralentit systématiquement les performances;Ce champ n'existe pas dans la norme OIDC;Un attaquant peut le manipuler, y compris avec la valeur none supprimant l'intégrité;5;L'algorithme doit être fixé hors bande lors de l'enrôlement du client OIDC.
Que doit vérifier le client OIDC entre le UserInfo et l'ID Token ?;Rien, ces deux éléments sont indépendants;Que la date d'expiration soit identique;Que le nom de domaine du serveur soit identique;Que l'identifiant unique sub soit identique dans les deux;5;Cela permet de détecter une incohérence ou une usurpation potentielle.
Pourquoi la découverte automatisée et l'enrôlement automatisé des clients OIDC sont-ils déconseillés ?;Ils consomment trop de ressources serveur;Ils sont incompatibles avec TLS;Leur combinaison facilite l'attaque IdP Mix-Up qui usurpe un fournisseur d'identité;Ils ne sont pas supportés par la norme OIDC;4;Cette attaque est documentée sur le site officiel de la fondation OpenID.
Quel guide de l'ANSSI doit être appliqué pour sécuriser l'application Web OIDC elle-même ?;Le guide sur la sécurisation d'un poste de travail multi-environnements;Le guide sur la sécurisation d'un CMS uniquement;Le guide sur la sécurité des applications Web;Le guide sur la sécurisation d'IPsec;4;Ces applications sont vulnérables aux failles classiques du Top Ten OWASP.
Quel type d'authentification du client OIDC offre le plus haut niveau de sécurité auprès du Token Endpoint ?;Un JWS protégé par une signature électronique;Aucune authentification n'est nécessaire;Un cookie de session partagé;Un mot de passe envoyé en HTTP Basic;2;La signature apporte en plus la propriété de non-répudiation par rapport à un simple HMAC.
Que doit faire le fournisseur d'identité lors de l'enrôlement d'un fournisseur de service ?;Accepter automatiquement toute demande d'enrôlement;Ne demander aucune information technique;Générer un client_secret identique pour tous les clients;Vérifier son identité avec un niveau adapté à la sensibilité des informations accessibles;5;Cela limite l'utilisation du système aux seuls services légitimes.
