"4 niveaux de priorité des recommandations ?","P1 : protection contre compromission AD. P2 : accès non autorisés. P3 : intégrité/non-divulgation. P4 : périmètre moins critique."
"Qu'est-ce qu'un catalogue global (GC) ?","DC détenant toutes les infos de son domaine + une partie de celles des autres domaines de la forêt."
"Que faire si la sécurité physique d'un DC n'est pas garantie ?","Le configurer en RODC + chiffrement des disques ; cache d'identifiants limité aux comptes sans privilège du site."
"Taille max journal de sécurité recommandée (noyau ≥6) ?","1 Go (175 Mo pour noyau 5.x)."
"Format de conservation des journaux collectés ?","Format natif Microsoft (pas de transformation en syslog) pour éviter toute perte d'info."
"Antivirus sur un contrôleur de domaine ?","Déconseillé : augmente la surface d'attaque (composant logiciel supplémentaire)."
"Accès distant recommandé aux DC ?","Filtrage par pare-feu local, postes d'administration dédiés, WinRM en HTTPS privilégié."
"Vraie frontière de sécurité administrative AD ?","La forêt (pas le domaine) : élévation entre domaines d'une même forêt techniquement possible par conception."
"Relation d'approbation entre deux forêts ?","Privilégier l'authentification sélective (refus par défaut, autorisations explicites par groupe de domaine local)."
"Durée d'usage du SIDHistory ?","Temporaire, uniquement pendant la migration - à supprimer ensuite."
"Pourquoi garder le filtrage des SIDs actif entre forêts ?","Éviter tout risque de rebond entre les forêts (désactivable temporairement en migration seulement)."
"Piège de conception des OU ?","Éviter de calquer l'organigramme de l'entreprise (trop instable) ; privilégier simplicité + besoins de délégation."
"Objet à surveiller pour la protection des comptes admin ?","AdminSDHolder - surveiller ses ACL fréquemment."
"État recommandé des groupes Opérateurs prédéfinis ?","Toujours vides - créer des groupes de sécurité dédiés à la place."
"Rôle de l'attribut adminCount=1 ?","Marque un compte comme membre d'un groupe d'administration protégé (protection ACL automatique)."
"Niveau d'authentification LAN Manager cible ?","Minimum niveau 3, puis viser niveau 5 (protection contre cryptanalyse LM/NTLM)."
"Taille de cache de domaine : serveurs vs postes de travail ?","0 pour les serveurs (jamais déconnectés) ; 1 pour les postes de travail."
"Mots de passe dans les scripts d'administration ?","Jamais en clair - préférer Kerberos ou un compte de service."
"Que faire d'un compte désactivé ?","Retirer tous ses droits/privilèges, déplacer en OU dédiée, mais NE PAS le supprimer (traçabilité historique)."
"Pourquoi un roulement des tâches d'administration AD ?","Détecter toute négligence ou malveillance qui passerait autrement inaperçue."
