"Qui a développé Mythos ?","Anthropic."
"Capacité principale de Mythos ?","Détecter et exploiter des failles de sécurité (logiciels, navigateurs, OS)."
"Date de la note ?","Avril 2026."
"Équilibre attaque/défense durée ?","Depuis plus de 30 ans."
"Exemple d'attaque des années 2000 ?","Explosion des virus informatiques."
"Exemple de défense des années 1990 ?","Adoption massive du chiffrement des communications."
"Triple impact de l'IA selon l'ANSSI ?","Cybersécurité de l'IA, par l'IA, et face à l'IA."
"Exemple d'attaque spécifique à l'IA ?","Prompt injection ou empoisonnement des données d'apprentissage."
"Avantage de l'IA pour les défenseurs ?","Automatisation et détection d'anomalies via de grandes quantités de données."
"Usage de l'IA par les attaquants ?","Automatisation des attaques pour plus d'efficacité et de rapidité."
"Nombre d'acteurs ayant reçu Mythos ?","40 acteurs, quasi-exclusivement américains."
"Date de lancement de GPT 5.4 Cyber ?","14 avril 2026."
"Levée de fonds OpenAI en mars 2026 ?","122 milliards de dollars."
"Annonce GPT 2.0 par OpenAI ?","Février 2019 (jugé trop dangereux)."
"Risque du 'shadow AI' ?","Fuites massives de données et de propriété intellectuelle."
"Définition du 'lock-in' ?","Coût de la dépendance technologique par des solutions propriétaires."
"Organisme britannique d'audit ?","AI Security Institute (créé en 2023)."
"Résultat de l'audit de Mythos ?","Exploite les systèmes avec une posture de sécurité faible."
"Problème de l'informatique industrielle ?","Mécanismes de patching pas encore systématisés."
"Risque lié aux correctifs (patchs) ?","Révèlent la vulnérabilité aux attaquants dopés à l'IA."
"Dilemme de souveraineté ?","Arbitrage entre performance de l'IA et autonomie nationale."
"Rôle du Stanford Data Science Institute ?","Évaluation des modèles d'IA."
"Directive européenne mentionnée ?","NIS2."
"Institut national au cœur de l'évaluation européenne proposée ?","INESIA (Institut national pour l'évaluation et la sécurité de l'IA)."
"DevSecOps ?","Développement, sécurité et exploitation logicielle réunis ; l'IA agentique qui y est appliquée est utile mais risquée sans encadrement."
