"Périmètre du guide 03-510 ?","Journalisation locale Windows + centralisation dans l'enclave de collecte interne (hors systèmes sans connectivité régulière)."
"Niveaux de recommandations du guide ?","État de l'art (préparation réponse à incident) → renforcé (min. 2 ingénieurs détection dédiés)."
"Synchronisation d'horloge par défaut en environnement AD ?","Sur les contrôleurs de domaine, eux-mêmes synchronisés sur des serveurs NTP de référence (prérequis Kerberos)."
"Applications tierces et journalisation ?","Privilégier celles écrivant dans des journaux gérés par Windows au format structuré, plutôt que le journal Application générique."
"Rotation des journaux locaux par défaut ?","Effacement automatique des événements les plus anciens, avec taille dimensionnée pour rétention suffisante."
"Config d'audit avancée Windows par défaut ?","Insuffisante pour détecter/analyser des incidents ; à adapter selon l'analyse de risque."
"Qu'est-ce que sysmon ?","Utilitaire gratuit Sysinternals (Microsoft), sans support officiel, journalisation avancée via règles XML."
"Limite de configuration sysmon à éviter ?","Au-delà d'environ 2000 lignes : risques de stabilité ; tester avant déploiement large."
"WECSvc vs WEF ?","WECSvc = service de collecte (serveur) ; WEF = transfert d'événements côté client vers un abonnement."
"Que précise un abonnement (subscription) ?","Journaux/sévérités/fournisseurs/ID ciblés + ordinateurs concernés + paramètres de transfert."
"Pourquoi déployer plusieurs serveurs de collecte ?","Haute dispo, répartition de charge, chaînage (ex. vers zone de collecte d'un prestataire), durées de conservation différenciées."
"Format de centralisation des événements ?","Format brut ; surveiller dimensionnement et disponibilité du stockage centralisé."
"Mode Push vs Pull pour les abonnements ?","Push (client initie l'envoi) à privilégier ; Pull présente des risques à surveiller."
"Cloisonnement des serveurs de collecte ?","Au sein d'une architecture dédiée."
"Solutions tierces de collecte sur ressources sensibles de l'annuaire ?","À proscrire, ou protéger spécifiquement ces ressources ; MCS de la solution à assurer."
"Exemple d'événement pour abonnement restreint ?","4625 (échec d'ouverture de session)."
"Configurations sysmon publiques citées ?","sysmon-config (SwiftOnSecurity) et sysmon-modular (Olaf Hartong), à adapter au contexte."
"Source NTP française citée ?","Le site Web de RENATER."
"Solution exploitée en aval des collecteurs par les centres opérationnels ?","Un SIEM (Security Information and Event Management)."
"La journalisation seule suffit-elle à protéger un SI ?","Non, complémentaire des analyses de risque, de l'architecture et des audits de sécurité."
