"Que signifie VUCA ?","Volatility, Uncertainty, Complexity, Ambiguity : un monde volatil, incertain, complexe et ambigu."
"Qui a développé le concept VUCA, et quand ?","L'US Army War College, en 1991, pour décrire le monde de l'après-guerre froide."
"Pourquoi le concept VUCA revient-il depuis 2020 ?","La pandémie de COVID l'a remis au goût du jour dans le monde de l'entreprise (dirigeants, administrateurs, théoriciens du management)."
"Face à un monde VUCA, que doivent faire les organisations selon la préface ?","Penser l'impensable et manager l'incertitude pour garantir la continuité de leur activité."
"Qui a préfacé le guide ?","Stéphane Volant, président du CDSE (Club des directeurs de sécurité et de sûreté des entreprises)."
"Qui a conçu le guide pratique d'analyse de risques de septembre 2023 ?","La DPID et la DRSD, conjointement."
"Que signifie DRSD ?","Direction du renseignement et de la sécurité de la défense."
"Par quel indicateur mesurer la rentabilité de la prévention ?","Le coût évité."
"Que traite la partie 1 du guide ?","Une démarche « tous risques », applicable à toutes les menaces et à tous les aléas."
"Que traite la partie 2 du guide ?","Le risque malveillance visant le secret de la défense nationale, pour le dossier d'ATAP."
"Définition du management des risques (ISO 31000) ?","Les activités coordonnées pour diriger et piloter une organisation vis-à-vis d'un risque."
"Rôle de la norme ISO 31010 ?","Décliner les techniques d'appréciation du risque."
"La méthode du guide remplace-t-elle EBIOS RM ?","Non : EBIOS Risk Manager reste la référence pour homologuer les systèmes numériques."
"Quelles sont les 4 phases du processus ?","Appréciation des valeurs et de l'environnement, évaluation, maîtrise et traitement, surveillance, contrôle et réexamen."
"Combien d'étapes compte la démarche ?","Onze étapes."
"Étape 1 ?","Analyser l'environnement (contexte interne et externe) de l'organisation."
"Étape 2 ?","Identifier les valeurs de l'organisation et estimer leur attractivité."
"Étape 3 ?","Étudier les scénarios crédibles en confrontant les valeurs au catalogue des menaces et des aléas."
"Étape 4 ?","Déterminer la probabilité et la gravité des scénarios."
"Étape 5 ?","Déterminer la criticité du risque brut."
"Étape 6 ?","Identifier les vulnérabilités et les mesures de sécurité existantes."
"Étape 7 ?","Déterminer la criticité du risque net."
"Étape 8 ?","Définir le seuil d'acceptation du risque."
"Étape 9 ?","Hiérarchiser les risques et établir les priorités de traitement."
"Étape 10 ?","Déterminer les mesures de traitement."
"Étape 11 ?","Surveiller, contrôler et réexaminer les risques."
"Menace ou aléa : quelle différence ?","La menace traduit une intention hostile ; l'aléa est un phénomène naturel ou anthropique sans intention malveillante."
"Qu'est-ce qu'une valeur ?","Un bien, une personne, une information ou un savoir-faire précieux et vulnérable pour l'organisme."
"Qu'est-ce qu'une cible ?","Une valeur attractive pour un auteur de malveillance."
"Échelle d'attractivité ?","De 1 (non attractive) à 4 (très attractive ou connue de nombreuses personnes)."
"Échelle de probabilité ?","P1 improbable, P2 peu probable, P3 probable, P4 très probable, P5 quasi-certain."
"Échelle de gravité ?","G1 mineure, G2 peu significative, G3 significative, G4 grave, G5 critique."
"Formule de la criticité ?","Probabilité × Gravité² (valeurs de 1 à 125)."
"Pourquoi la gravité est-elle au carré ?","Parce que l'impact prévaut sur la probabilité, critère plus incertain."
"Niveaux de criticité ?","Faible 1-11, moyen 12-24, élevé 25-49, critique 50-125."
"Risque brut ?","Risque évalué avant la prise en compte des moyens de maîtrise."
"Risque net ?","Risque évalué après la prise en compte des moyens de maîtrise : criticité brute × coefficient des mesures."
"Coefficients des mesures de sûreté ?","Absentes 1, partielles 0,8, substitution 0,6, performantes 0,4, excellentes 0,2."
"Seuil d'acceptation du risque ?","Limite sous laquelle le risque est maîtrisé ; au-dessus, il faut un plan de traitement. Fixé par le propriétaire du risque."
"Risque significatif confirmé ?","Risque net au-dessus du seuil d'acceptabilité (non maîtrisé)."
"Risque significatif maîtrisé ?","Risque net en dessous du seuil d'acceptabilité."
"Risque résiduel ?","Risque subsistant après traitement, aussi appelé « risque pris »."
"Vulnérabilité ?","Faiblesse exploitable par une menace ; sans menace, elle ne cause pas de dommage."
"Les 3 stratégies de traitement ?","Accepter (risques maîtrisés faibles), éliminer (risques confirmés élevés), diminuer (prévention et protection)."
"Prévention ou protection ?","La prévention diminue la probabilité ; la protection réduit les effets après la survenue."
"Mesures permanentes ou additionnelles ?","Permanentes : posture de défense et de sécurité. Additionnelles : temporaires, activées notamment selon Vigipirate."
"Défense en profondeur ?","Superposition de barrières périphériques, périmétriques et intérieures."
"Les 3 catégories du catalogue ministériel ?","Menaces directes, menaces indirectes, aléas."
"Qu'est-ce que l'ATAP ?","L'Avis technique d'aptitude physique, délivré par la DRSD pour un local destiné aux ISC."
"Que signifie DICT ?","Disponibilité, intégrité, confidentialité, traçabilité des ISC."
"Quel changement a apporté l'IGI 1300 de 2021 ?","Le passage d'une obligation de moyens à une logique d'effets à obtenir, par une analyse de risques."
"Qualités des barrières successives protégeant les ISC ?","Multifonctions, homogènes, dissuasives, contrôlées, traçables."
"Dangerosité d'un acteur de la menace ?","Le croisement de ses ressources et de sa motivation (note de 1 à 9)."
"Objectifs possibles des acteurs de la menace ?","Espionnage, pré-positionnement stratégique, influence, entrave au fonctionnement, lucratif, défi ou amusement."
"Matrice de PROUTY ?","La matrice de criticité qui permet de privilégier le facteur gravité quand les statistiques manquent."
"Les 5 domaines de l'autodiagnostic de sûreté ?","Organisation de la protection, sécurité des personnes, sécurité des ISC, sécurité physique du site, sécurité des SI."
"Scénario A de la base navale fictive ?","Drone terroriste contre une frégate : P4 × G4² = 64 (critique), ramené à 26 avec des mesures performantes."
