"À quelle couche OSI opère IPsec ?","La couche 3, réseau, par encapsulation des paquets IP."
"Différence AH / ESP ?","AH : intégrité et authentification, sans chiffrement. ESP : confidentialité + intégrité + authentification."
"AH est-il recommandé ?","Non, considéré obsolète face à ESP ; son usage est déconseillé."
"ESP peut-il être utilisé sans contrôle d'intégrité ?","Non, jamais : le service de confidentialité seul expose à des attaques connues."
"Mode transport vs mode tunnel ?","Transport : greffe sur le paquet IP initial. Tunnel : nouveau paquet IP encapsulant tout le paquet initial (accès distant)."
"Pourquoi éviter une SP en usage facultatif d'IPsec ?","Risque d'attaque par dégradation (downgrade attack) : seuls les flux sécurisés doivent être autorisés."
"Version d'IKE recommandée ?","IKE version 2 (RFC 5996)."
"Mise à la clé manuelle recommandée en production ?","Non : pas de PFS, pas d'authentification crypto, réservée aux tests/diagnostics."
"Authentification IKE à privilégier ?","Mécanisme asymétrique via IGC, plutôt que PSK (réservé aux tests)."
"Entropie minimale d'un PSK si utilisé exceptionnellement ?","Au moins 100 bits."
"Quand la négociation des SP par IKE est-elle utile ?","En situation de mobilité (IP du nomade inconnue a priori) ; sinon préférer une config statique."
"Rôle du NAT-Traversal (NAT-T) ?","Encapsuler IKE puis ESP dans des datagrammes UDP (port 4500) pour compatibilité avec le NAT."
"Comment obtenir la PFS avec IPsec ?","Échange de clé Diffie-Hellman éphémère (ou courbe elliptique) via IKE, jamais en clé manuelle."
"Fréquence de renouvellement de clé recommandée en exemple ?","Toutes les heures et tous les 100 Go de données."
"Fonction de hachage et chiffrement déconseillés ?","MD5 et DES fortement déconseillés ; clés RSA < 2048 bits ou ECDSA < 200 bits aussi."
"Alternatives recommandées à 3DES/SHA-1 ?","AES (128/256), SHA-2 (224/256/384/512), ECDSA ≥ 256 bits."
"Pourquoi ESP compatible NAT, pas AH ?","ESP ne protège en intégrité que le contenu, pas les en-têtes IP modifiés par le NAT."
"Pourquoi IPsec est-il préféré à TLS pour VPN/site-à-site ?","Opérations cryptographiques dans le noyau (moins exposées) et Encrypt-then-MAC plus sûr que MAC-then-Encrypt."
"Groupes Diffie-Hellman à éviter ?","Les groupes 1 et 2 (taille insuffisante) ; préférer groupes 14/15 ou courbes elliptiques ≥ 256 bits."
