"Que faut-il évaluer avant de choisir un CMS ?","Sa compatibilité avec les critères de sécurité définis (ex. WordPress, Wix, Drupal, Joomla)."
"Quel outil vérifie la conformité HTTPS d'un site ?","Le Mozilla Observatory."
"Comment gérer extensions et thèmes d'un CMS ?","Limiter au strict nécessaire, privilégier ceux activement maintenus et validés par l'éditeur."
"Que mettre en place pour les administrateurs fonctionnels du CMS ?","L'authentification multifacteur (+ politique de mots de passe robuste)."
"Que faire du compte utilisateur par défaut d'un CMS ?","Le désactiver (en plus de changer ses valeurs par défaut) — c'est une cible connue."
"Que sauvegarder au-delà du contenu du site ?","La configuration du CMS (ex. export de la base de données et fichiers de config)."
"Quels mécanismes de sécurisation web compléter avec HTTPS ?","HSTS, Content Security Policy, sécurisation des cookies de session."
"Comment gérer les flux d'interconnexion du CMS avec Internet ?","Les identifier et les limiter au strict nécessaire (résilience anti-DDoS)."
"Que faire des journaux d'un CMS ?","Les collecter, analyser et générer des alertes (socle minimal de journalisation)."
"À quels niveaux appliquer le moindre privilège pour durcir un CMS ?","Runtime (ex. PHP), droits base de données (ex. PostgreSQL), configuration système."
"Quels protocoles sécurisés pour l'administration d'un CMS ?","SSH ou TLS, avec comptes dédiés et MCS."
