Quelle version du protocole SSH doit être autorisée ?;Seule la version 1;Seule la version 2;Les deux versions indifféremment;Aucune, SSH est déconseillé;3;La version 1 présente des vulnérabilités structurelles et est obsolète.
Quels protocoles historiques SSH doit-il remplacer pour un accès shell distant ?;DNS et DHCP;HTTP et FTP;SNMP et NTP;TELNET, RSH et RLOGIN;5;Ces serveurs historiques doivent en plus être désinstallés du système.
À quoi la mise en place de tunnels SSH doit-elle être strictement réservée ?;À tous les protocoles réseau sans exception;Aux flux de sauvegarde uniquement;Uniquement au protocole HTTPS;Aux protocoles n'offrant pas de mécanismes de sécurité robustes, comme X11 ou VNC;5;Cette recommandation n'exclut pas l'usage complémentaire d'IPsec.
Quelle taille de clé minimale est recommandée pour RSA avec SSH ?;512 bits;2048 bits;1024 bits;128 bits;3;Les clés DSA, limitées à 1024 bits dans OpenSSH, ne sont pas recommandées.
Quelle taille de clé minimale est recommandée pour ECDSA avec SSH ?;256 bits;64 bits;2048 bits;1024 bits;2;ECDSA doit être préféré à RSA lorsque les deux parties le supportent.
Pourquoi les clés générées sur une machine virtuelle posent-elles un problème d'entropie ?;Les interruptions virtualisées introduisent un déterminisme réduisant l'entropie disponible;Les machines virtuelles ne supportent pas ssh-keygen;Elles génèrent des clés trop grandes;Elles chiffrent automatiquement les clés en 3DES;2;Il est recommandé d'utiliser une machine physique avec plusieurs sources d'entropie indépendantes.
Quel algorithme est recommandé pour protéger une clé privée utilisateur par mot de passe ?;3DES en mode CBC;AES-128 en mode CBC;Aucun chiffrement n'est nécessaire;RC4;3;Les versions antérieures à la 5.3 utilisaient du 3DES, moins robuste.
Quel mode de chiffrement du canal SSH est recommandé pour le trafic une fois authentifié ?;AES en mode CBC;AES en mode CTR;DES en mode ECB;RC4;3;Le mode CTR s'affranchit de vulnérabilités connues du mode CBC utilisé par SSH.
Quelle directive sshd_config permet de chrooter les utilisateurs SFTP ?;ChrootDirectory;PermitRootLogin;AllowTcpForwarding;ListenAddress;2;Elle doit être combinée à la séparation de privilèges pour être efficace.
Quel ordre de préférence est recommandé pour l'authentification utilisateur SSH ?;RSA uniquement, jamais ECDSA;ECDSA, puis RSA, puis Kerberos via GSSAPI, puis PAM, puis mot de passe;PAM uniquement;Mot de passe seul, dans tous les cas;3;Le mot de passe est à proscrire pour un utilisateur à privilèges élevés.
Pourquoi le module pam_krb5 ne doit-il pas être utilisé ?;Il ne supporte pas Kerberos;Il est incompatible avec OpenSSH;Il expose le mot de passe en clair au serveur, contrairement à la GSSAPI directe;Il chiffre les mots de passe en AES-256;4;La GSSAPI exploite directement les tickets Kerberos sans exposer le mot de passe.
Quelle directive interdit l'accès direct au compte root en SSH ?;AllowUsers root;MaxAuthTries 0;PermitRootLogin no;ChrootDirectory root;4;Chaque utilisateur doit disposer de son propre compte unique et incessible.
Que permettent les directives AllowUsers et AllowGroups ?;Restreindre les accès SSH en droits positifs aux utilisateurs ou groupes explicitement autorisés;Désactiver la version 1 du protocole;Activer l'agent forwarding automatiquement;Bloquer tous les accès administrateurs;2;Elles peuvent être combinées à une restriction par adresse IP d'origine.
Quelle directive bloque par défaut l'altération de l'environnement par un client SSH ?;StrictModes no;AllowTcpForwarding no;PermitUserEnvironment no;X11Forwarding no;4;Les variables autorisées à la modification sont ensuite sélectionnées au cas par cas via AcceptEnv.
Que recommande le guide pour le port d'écoute SSH exposé à un réseau non maîtrisé ?;Toujours conserver le port 22;Désactiver complètement l'écoute réseau;Un port supérieur à 65000;Un port différent du port par défaut 22, de préférence inférieur à 1024;5;Cela limite le volume d'attaques par force brute automatisées sur le port par défaut.
La redirection X11 doit-elle être activée par défaut sur un serveur SSH ?;Oui, uniquement pour les comptes root;Oui, mais seulement en mode chiffré renforcé;Non, elle doit être désactivée via X11Forwarding no;Oui, systématiquement;4;Le X Window System présente de nombreuses failles de sécurité connues.
Depuis quelle version OpenSSH propose-t-il une IGC propre pour la gestion des clés ?;La version 1.0;Aucune version, cette fonctionnalité n'existe pas;La version 8.0;La version 5.4;5;Cette IGC n'est pas conforme au format X.509 et ne supporte pas de chaîne de certification.
Quelle est la durée de validité recommandée pour un certificat OpenSSH, hôte ou utilisateur ?;3 ans;10 ans;1 mois;Indéfinie;2;Cette durée suit l'annexe A du RGS pour les certificats électroniques.
À quoi servent les enregistrements DNS SSHFP ?;À publier l'empreinte d'une clé hôte SSH dans le DNS, comme indicateur complémentaire;À remplacer entièrement l'authentification par clé;À bloquer les attaques par force brute;À chiffrer le trafic SSH;2;Sans DNSSEC, ce n'est qu'un indicateur, pas une preuve cryptographique fiable.
Que permet le mécanisme d'agent forwarding lors d'un rebond SSH ?;Se passer entièrement d'authentification;Rediriger les requêtes d'authentification vers l'agent du poste client sans exposer la clé privée;Chiffrer deux fois le canal de communication;Remplacer le besoin d'un hôte de confiance;3;Le serveur hôte relais utilisé pour le rebond doit néanmoins être un hôte de confiance.
