"Que signifie AAA ?","Authentication, Authorization, Accounting (authentification, autorisation, traçabilité)."
"État par défaut d'un port 802.1X ?","Non autorisé (fermé) : seul le trafic EAPoL passe tant que le supplicant n'est pas authentifié."
"Protocole AAA recommandé entre clients et serveur ?","RADIUS (Diameter rarement implémenté dans les clients courants)."
"EAP-TLS : niveau de sécurité ?","Considéré sûr : authentification mutuelle par certificats, mais nécessite une IGC complète."
"EAP-MD5 et EAP-MSCHAPv2 seuls : recommandés ?","Non : méthodes non encapsulées, faibles, à interdire explicitement côté serveur."
"Type de réseau sans fil recommandé ?","WPA2-Enterprise (WPA2-EAP) : clé de protection propre à chaque supplicant."
"Faiblesse d'EAP-TTLS seul ?","Clés dérivées uniquement de l'auth TLS serveur, pas de la méthode interne → vulnérable à l'homme du milieu."
"Où implémenter le serveur RADIUS ?","Machine physique dédiée ou socle virtualisé de même niveau d'exposition/sécurité."
"Nombre de serveurs RADIUS recommandé ?","Au moins 2, pour la disponibilité du service."
"Taille minimale du secret partagé client-serveur ?","22 caractères ASCII imprimables aléatoires (~128 bits d'entropie), distinct par client."
"Le réseau de confiance doit-il porter des flux utilisateurs ?","Non : cloisonné, dédié aux seuls flux de service clients-serveur."
"Affectation de VLAN à privilégier ?","Statique en priorité ; dynamique seulement si le client filtre localement les VLAN attribuables."
"VLAN d'administration en affectation dynamique ?","Jamais : le numéro de VLAN dynamique transite en clair dans le paquet RADIUS."
"Comment limiter le branchement d'un concentrateur non autorisé ?","Une seule adresse MAC autorisée par port."
"Technologie contrant le matériel intercalé (relai EAPoL) mais peu implémentée ?","MACsec (protection crypto de la liaison filaire supplicant-client)."
"Quand le déploiement du 802.1X n'est-il pas indispensable ?","Câblage maîtrisé + aucun accès possible à un attaquant (limiter quand même les adresses MAC/port)."
"Risque des prises brassées en avance non utilisées ?","Apprentissage automatique de la 1re adresse MAC connectée comme autorisée."
"Restriction pour l'authentification automatique d'un équipement ?","Limiter au strict nécessaire les services offerts (ex. séparer ToIP du réseau bureautique)."
"Supplicant le plus répandu sous Linux/Android ?","wpa_supplicant."
"Mesure recommandée contre le piégeage physique d'un accès déjà authentifié ?","Inspection visuelle régulière des câbles réseau (aucune parade technique totale sans MACsec)."
