"Périmètre de ce guide ANSSI ?","Postes Windows 10 en environnement Active Directory d'entreprise (pas les particuliers → guide CNIL)."
"4 niveaux de télémétrie (croissant) ?","Sécurité < de base < amélioré < complet. Sécurité réservé aux éditions Entreprise/Éducation/IoT Core."
"Un niveau bloque-t-il totalement l'envoi de données ?","Non, aucun niveau ne le permet ; niveaux ne concernent que l'OS, pas les logiciels tiers."
"Niveau de télémétrie recommandé pour usage cloud minimal mais supporté ?","Niveau sécurité (réduction max tout en restant supporté par Microsoft)."
"Désactivation totale de la télémétrie : risque ?","Non supportée par Microsoft ; prive de Windows Update for Business et des services d'analytics."
"Rapports MSRT/Windows Defender : quand les désactiver ?","Seulement si solutions de sécurité tierces utilisées, sinon cela dégrade la protection."
"Pourquoi désactiver Cortana en entreprise ?","Pour être efficace, il accède aux données personnelles/appareil/services en ligne → risque de divulgation."
"Windows Desktop Search : recommandation ?","Restreindre à la recherche locale ; navigateur maîtrisé pour Internet."
"Qu'est-ce qu'une application universelle (UWP) ?","Format .AppX, cadre d'exécution contrôlé, installable par utilisateur non privilégié via un magasin."
"Pourquoi désactiver l'identifiant unique de publicité ?","Il permet de corréler des infos utilisateur entre applications (dev/éditeurs/réseaux pub)."
"2 stratégies de maîtrise des applications universelles ?","R9* restreindre liste+accès (moindre privilège) ; R9** désactiver le magasin + désinstaller si usage non nécessaire."
"Compte Microsoft d'ouverture de session : recommandation ?","Le bloquer ; seuls les annuaires internes doivent permettre l'ouverture de session."
"Risque du compte Microsoft d'ouverture de session ?","Expose secrets d'authentification + potentiellement les clés de récupération BitLocker."
"OneDrive : recommandation et exception ?","Désactiver, sauf si l'entité utilise déjà les services Office 365."
"Pourquoi ne pas bloquer par pare-feu les flux de télémétrie sortants ?","IP/DNS des serveurs de collecte changent sans préavis ; mesure seulement en complément (défense en profondeur)."
"Fenêtre de config vie privée (v1703) sur poste AD ?","Non présentée aux utilisateurs gérés par AD → config à porter par GPO côté administrateurs."
"Applications universelles non désinstallables ?","Microsoft Edge, Paramètres, Cortana."
"Commandes de désinstallation d'une app universelle ?","PowerShell : Get-AppxPackage | Remove-AppxPackage ; ou DISM /Remove-ProvisionedAppxPackage."
"Référence pour les particuliers (hors périmètre du guide) ?","Guide CNILW10 de la CNIL."
"Niveau de télémétrie complet : contenu ?","Collecte inévitable de données sensibles et personnelles."
