Quel est l'objectif principal de la Stratégie nationale de lutte contre les manipulations de l'information 2026-2030 ?,"Protéger le débat public, renforcer la résilience démocratique et garantir un environnement informationnel libre, ouvert et sécurisé."
Sous quelle autorité la coordination de la stratégie nationale est-elle assurée ?,"Le Secrétariat général de la défense et de la sécurité nationale (SGDSN), sous l'autorité du Premier ministre."
Quel service technique est chargé de la détection et de la caractérisation des ingérences numériques étrangères en France ?,Le service VIGINUM.
Définissez la « ligne de crête » mentionnée par Emmanuel Macron dans la stratégie.,"Protéger la démocratie sans censurer, défendre sans contraindre et agir sans trahir les libertés fondamentales."
"Selon la stratégie, quel est le premier rempart contre la manipulation de l'information ?","La société elle-même, par son instruction, son discernement et sa confiance dans les institutions."
Quels sont les quatre piliers structurants de la stratégie nationale ?,"Mobiliser la Nation, réguler les plateformes/l'IA, renforcer la capacité opérationnelle et assurer un espace international sécurisé."
Combien d'objectifs stratégiques (OS) composent la stratégie 2026-2030 ?,Quinze objectifs stratégiques.
"Dans le domaine informationnel, la France distingue l'Influence, la Lutte informationnelle et la _____.",Lutte contre la manipulation de l'information.
Quelle est la définition de l'Influence selon la Revue nationale stratégique ?,"Une stratégie proactive, ouverte et assumée visant à agir sur les perceptions étrangères pour favoriser les intérêts nationaux."
Qu'est-ce que la lutte informatique d'influence (LII) ?,Des opérations militaires menées exclusivement hors du territoire national pour agir sur les perceptions et contrer les atteintes aux armées.
Quel événement de 2020 a marqué un tournant dans la création d'un dispositif de réponse pérenne aux haines numériques ?,L'assassinat de Samuel Paty.
Citez les quatre critères cumulatifs définissant une Ingérence Numérique Étrangère (INE).,"Acteur étranger, faits inexacts/trompeurs, diffusion massive/artificielle et atteinte aux intérêts fondamentaux de la Nation."
Quel acronyme international correspond au concept français d'Ingérence Numérique Étrangère (INE) ?,FIMI (Foreign Information Manipulation and Interference).
Quel article de la Déclaration des droits de l'homme et du citoyen de 1789 fonde la liberté d'expression en France ?,L'article 11.
Quel article de la loi de 1881 sanctionne spécifiquement la publication de « nouvelles fausses » de mauvaise foi troublant la paix publique ?,L'article 27.
Quelle autorité de régulation a été renforcée par la loi du 22 décembre 2018 relative à la lutte contre la manipulation de l'information ?,L'ARCOM.
"Quel règlement européen, applicable depuis 2024, impose aux plateformes d'atténuer les « risques systémiques » ?",Le Digital Services Act (DSA).
Quel est l'objectif de l'European Media Freedom Act (EMFA) de 2024 ?,Protéger l'indépendance des rédactions et garantir l'accès des citoyens à une information fiable.
Quelles sont les trois pressions auxquelles le débat public numérique est soumis selon le diagnostic de la stratégie ?,"Les pressions stratégique, systémique et narrative."
Quel mode opératoire informationnel russe usurpe l'identité de médias légitimes pour diffuser des messages ?,RRN/Doppelgänger.
"Quel réseau, probablement lié au renseignement russe, a mené plus de 150 opérations informationnelles audiovisuelles depuis 2023 ?",Storm-1516.
Quel groupe a été créé par l'Azerbaïdjan pour amplifier les mouvements indépendantistes dans les territoires ultramarins français ?,Le BAKU INITIATIVE GRUP (BIG).
