"Deux objectifs du nettoyage d'une politique de filtrage ?","La rendre cohérente/compréhensible, et la restreindre aux seuls flux légitimes."
"Logique first-match ?","La 1re règle correspondante s'applique, sans évaluer la suite de la politique (prérequis de la méthode)."
"Qu'est-ce qu'un objet doublon ?","Nom différent, caractéristiques rigoureusement identiques (ex. srv_bdd / srv_mysql même IP)."
"Qu'est-ce qu'une règle redondante ?","Une règle qui autorise un trafic déjà permis par une règle placée en amont."
"Règles désactivées provisionnées pour un futur projet ?","Les marquer (commentaire daté) pour éviter leur suppression accidentelle."
"Pourquoi activer la journalisation avant nettoyage ?","Sans elle, impossible de déterminer l'usage réel d'une règle via les journaux."
"Risque d'une période d'analyse trop courte ?","Des flux occasionnels (ex. sauvegarde mensuelle) peuvent ne pas apparaître, faussant l'analyse."
"Avant de supprimer une règle jugée inutilisée ?","Contacter les équipes métier concernées pour comprendre l'absence d'usage observée."
"Comment désactiver les règles inutilisées ?","Par petits lots, avec sauvegarde après chaque lot (limite les effets de bord)."
"1re étape de la méthodologie (mise en conformité) ?","Traiter règles désactivées → supprimer objets inutilisés → fusionner doublons → appliquer convention de nommage."
"Sauvegarde requise autour de la suppression de règles redondantes ?","Avant ET après la suppression."
"En quoi consiste la simplification d'une règle ?","Retirer les objets qu'elle contient mais qui n'apparaissent jamais dans ses journaux."
"Principe du processus d'affinage ?","Enrichir la règle amont avec les IP/ports observés dans les journaux de la règle redondante trop ouverte, jusqu'à ce que celle-ci ne produise plus d'événements."
"Que faire d'une règle redondante affinée qui ne produit plus d'événements ?","La désactiver puis la supprimer définitivement."
"Recommandation sur les objets lors de l'enrichissement des règles amont ?","Réutiliser les objets existants au maximum pour éviter les doublons."
"Pourquoi limiter les processus d'affinage en parallèle ?","Pour maîtriser la charge de travail (démarche itérative et manuelle)."
"Fréquence recommandée pour rejouer la méthodologie de nettoyage ?","Régulièrement, par exemple deux fois par an (cycle permanent de MCS)."
"Prérequis avant de débuter un nettoyage ?","Modèle d'organisation + convention de nommage/marquage + sauvegarde/restauration fonctionnelles et maîtrisées."
"Nettoyage de plusieurs pare-feux partageant des règles identiques ?","Le mener de concert pour conserver la cohérence entre les politiques."
"Niveau de précision maximal des règles affinées ?","À fixer selon le contexte : certains besoins métier justifient des flux vers des réseaux entiers, pas seulement des machines."
