Que signifie un modèle de sécurité positif pour une politique de filtrage ?;Toutes les règles sont évaluées avant de prendre une décision;Le pare-feu n'applique aucune règle par défaut;Tout ce qui n'est pas explicitement autorisé est interdit;Tout est autorisé sauf ce qui est explicitement interdit;4;C'est le principe structurant du modèle en six sections proposé par le guide.
Combien de sections rigoureusement ordonnées compose le modèle d'organisation proposé ?;Deux;Dix;Trois;Six;5;De l'autorisation des flux vers le pare-feu jusqu'à l'interdiction finale.
Que contient la section 1 du modèle ?;Les règles d'autorisation des flux à destination du pare-feu (administration, supervision);Les règles antiparasites;Les règles métier de l'entreprise;La règle d'interdiction finale;2;Ces règles doivent être peu nombreuses et précisément définies.
Que contient la section 2 du modèle ?;Les règles antiparasites facultatives;Les règles de protection du pare-feu;Les règles métier organisées par entité;Les règles d'autorisation des flux émis par le pare-feu lui-même;5;Par exemple l'envoi de journaux, les alertes, ou les flux de sauvegarde.
Quelle action utilise la règle de protection du pare-feu (section 3) ?;Rediriger vers une page de blocage HTTP;Interdire en mode drop, sans réponse, avec journalisation systématique;Autoriser tout le trafic vers le pare-feu;Interdire avec envoi d'un message ICMP explicite;3;Le mode drop évite de signaler trop explicitement la présence de la passerelle à un attaquant.
Où se situe la règle de protection du pare-feu par rapport aux règles métiers ?;Avant les règles métiers (section 3, avant la section 4);Uniquement à la toute fin de la politique;Elle n'a pas de position fixe dans la politique;Après toutes les règles métiers;2;Cela verrouille l'accès au pare-feu avant même l'évaluation des règles métiers.
Que se passe-t-il si une règle ultérieure autorise un flux vers le pare-feu après la règle de protection ?;Les deux règles sont fusionnées;Le pare-feu redémarre automatiquement;Elle n'est jamais prise en compte car la règle de protection prévaut;Elle remplace automatiquement la règle de protection;4;Elle peut même être signalée comme incohérente si la solution le permet.
Selon quelle logique les règles métiers (section 4) peuvent-elles être organisées ?;Par entité métier ou par service offert, selon le contexte;Uniquement par ordre alphabétique des objets;Toujours par ordre chronologique de création;Aléatoirement pour éviter les biais;2;Le choix dépend du nombre de règles et du rôle de la passerelle.
À quoi servent les règles antiparasites (section 5) ?;Remplacer la règle d'interdiction finale;Bloquer tout le trafic entrant par défaut;Autoriser des flux de test temporaires;Interdire sans journalisation certains flux peu significatifs pour alléger les journaux exploitables;5;Une trace de ces flux doit néanmoins être conservée ailleurs selon la politique globale de journalisation.
Pourquoi ajouter une règle d'interdiction finale explicite (section 6) même si la solution en applique une implicitement ?;Car la règle implicite bloque uniquement le trafic sortant;Car cela améliore les performances du pare-feu;Ce n'est jamais nécessaire si la solution le fait automatiquement;Car l'interdiction implicite n'est généralement ni journalisée ni visible explicitement;5;Cela garantit l'application visible et tracée du modèle de sécurité positif.
Quels types d'objets composent typiquement une règle de filtrage ?;Uniquement des adresses IP isolées;Machines, réseaux, plages réseau, services et groupes d'objets;Des utilisateurs et des mots de passe;Uniquement des noms de domaine;3;Une convention de nommage rigoureuse doit être définie pour chacun de ces types.
Quel est l'objectif principal d'une convention de nommage des objets ?;Accélérer le traitement des paquets par le pare-feu;Remplacer le besoin de documentation;Faciliter la recherche, la manipulation et l'audit des objets;Réduire la taille du fichier de configuration;4;Deux orientations possibles existent : fonctionnelle ou technique.
Que permet la coloration des objets dans une politique de filtrage ?;Remplacer les commentaires de règles;Chiffrer automatiquement les flux correspondants;Prioriser automatiquement les règles les plus utilisées;Détecter visuellement des incohérences plus rapidement;5;Par exemple une couleur par niveau de confiance de zone ou par rôle fonctionnel.
Que peuvent contenir les commentaires d'une règle de sécurité ?;Uniquement le nom de l'objet source;Le mot de passe de l'administrateur;Le descriptif fonctionnel, la date de modification, la référence de ticket et l'intervenant;Le code source du pare-feu;4;Ces éléments doivent respecter une structure définie et adaptée au contexte.
Pourquoi désactiver les flux implicites d'un pare-feu lorsque c'est possible ?;Pour éviter des règles trop permissives et méconnues des administrateurs;Pour améliorer la vitesse de démarrage de l'équipement;Parce qu'ils sont toujours redondants avec la section 2;Parce qu'ils sont interdits par la réglementation;2;Tout flux légitime doit être défini manuellement et précisément par les administrateurs.
Quel risque existe pendant la séquence de démarrage d'un pare-feu ?;La politique de filtrage est automatiquement réinitialisée;Le pare-feu bloque systématiquement tout le trafic;Le pare-feu peut router les paquets sans aucun contrôle avant l'application de la politique;Aucun risque particulier n'existe à ce moment;4;Il est recommandé de tester ce comportement avant toute opération de maintenance nécessitant un redémarrage.
Que doit-on faire des consignes de gestion d'une politique de filtrage ?;Les documenter et les diffuser à l'ensemble des intervenants;Les intégrer uniquement dans les commentaires des règles;Les garder confidentielles au sein de l'équipe d'origine;Ne jamais les modifier après leur première rédaction;2;Cela garantit leur respect au-delà des personnes qui les ont établies.
Une politique de filtrage doit-elle être testée après son implémentation ?;Uniquement si un incident de sécurité est déjà survenu;Oui, en pratique, à l'aide d'outils d'analyse réseau par exemple;Non, le respect du modèle suffit à garantir son bon fonctionnement;Uniquement lors de la création initiale du pare-feu;3;Le respect du modèle ne prémunit pas contre les erreurs humaines.
À quelle fréquence minimale une politique de filtrage doit-elle être passée en revue ?;Bi-annuelle ou annuelle a minima;Une seule fois, lors de sa création;Tous les cinq ans;Quotidiennement;2;Cela permet de supprimer les règles temporaires obsolètes et de vérifier les ajouts récents.
Quel exemple de solution qualifiée par l'ANSSI illustre le modèle complet dans ce guide ?;Un pare-feu Fortinet;Un pare-feu Cisco ASA;Un pare-feu pfSense;Un pare-feu NetAsq;5;Les flux émis par le pare-feu n'apparaissent pas dans l'illustration car définis implicitement par cette solution.
