"Modèle de sécurité positif ?","Tout ce qui n'est pas explicitement autorisé est interdit."
"Les 6 sections du modèle, dans l'ordre ?","1.Flux vers le pare-feu 2.Flux émis par le pare-feu 3.Protection du pare-feu 4.Flux métiers 5.Antiparasites 6.Interdiction finale."
"Contenu de la section 1 ?","Règles d'accès aux services d'administration/supervision du pare-feu (peu nombreuses, précises)."
"Contenu de la section 2 ?","Flux émis par le pare-feu lui-même : journaux, alertes, sauvegarde."
"Règle de protection du pare-feu (section 3) ?","Interdire tout trafic vers toutes ses interfaces, en mode drop (sans réponse), journalisée."
"Pourquoi le mode drop plutôt que reject ?","Évite de signaler trop explicitement la présence de la passerelle à un attaquant."
"Contenu de la section 4 ?","Les règles métiers, organisées selon une logique établie (par entité ou par service)."
"Règles antiparasites (section 5) ?","Facultatives : interdisent sans journalisation des flux peu significatifs (ex. broadcast NetBIOS), pour garder des journaux exploitables - trace conservée ailleurs."
"Règle d'interdiction finale (section 6) ?","Une seule règle, tout/tout/interdire, journalisée, toujours en dernière position - explicite même si le pare-feu en a déjà une implicite."
"Pourquoi une interdiction finale explicite malgré une implicite ?","L'implicite n'est généralement ni journalisée ni visible."
"Types d'objets composant une règle ?","Machine, réseau, plage réseau, service, groupe d'objets."
"2 orientations de convention de nommage ?","Fonctionnelle (srv_dns-interne) ou technique (srv_appollo, tcp_21000)."
"Utilité de la coloration des objets ?","Détecter visuellement des incohérences (ex. par niveau de confiance ou rôle de zone)."
"Éléments recommandés dans les commentaires de règle ?","Descriptif fonctionnel, date, référence ticket, identifiant de l'intervenant."
"Flux implicites à désactiver si possible ?","Admin (https/ssh), fonctionnement (snmp/ntp/syslog), VPN (IKE/IPsec), DNS, ICMP."
"Risque de la séquence de démarrage d'un pare-feu ?","Le routage peut s'activer avant la politique de filtrage → trafic non contrôlé temporairement."
"Fréquence minimale de revue d'une politique de filtrage ?","Bi-annuelle ou annuelle a minima."
"Objectifs d'une revue de politique ?","Supprimer règles temporaires obsolètes, corriger écarts aux conventions, vérifier cohérence des ajouts récents."
"Une politique doit-elle être testée après implémentation ?","Oui, en pratique (outils d'analyse réseau) - le respect du modèle ne suffit pas contre l'erreur humaine."
"Exemple de pare-feu qualifié ANSSI cité en illustration ?","NetAsq."
