Qui doit être impliqué le plus en amont possible d'un projet de migration selon l'ANSSI ?;Personne, la migration doit être automatique;Uniquement la direction financière;Uniquement le prestataire externe;Les équipes métier, la DSI et la sécurité (RSSI, SOC, experts);5;Cette implication précoce permet de conduire le changement.
Que doit-on maintenir à jour avant, pendant et après la migration ?;Uniquement le budget du projet;La cartographie des SI et leurs inventaires;Uniquement la liste des utilisateurs;Le planning des congés des équipes;3;Cela permet d'identifier les différences d'architecture, de flux et de fonctionnalités.
Que faut-il mettre à jour pour s'assurer que la nouvelle solution respecte les exigences de sécurité ?;Le logo de l'entreprise;Le contrat de travail des employés;L'analyse de risque;Le mobilier de bureau;4;Cela couvre la disponibilité, l'intégrité, la confidentialité et la traçabilité.
Que faut-il étudier en cas d'externalisation d'une migration ?;Le niveau de sécurité contractuel et les conditions de réversibilité;Uniquement la nationalité du prestataire;Uniquement le prix proposé;Rien de particulier;2;Il est recommandé de privilégier des prestataires qualifiés par l'ANSSI.
Comment sécuriser les données sensibles en transit lors d'une migration ?;En les chiffrant, avec une attention particulière aux exports massifs;En les laissant en clair pour simplifier le transfert;En les envoyant par email personnel;En les imprimant sur papier;2;Les exports massifs de données présentent un risque particulier de fuite.
Que faut-il anticiper concernant les sauvegardes pendant une migration ?;La suppression immédiate de toutes les sauvegardes;Le délai d'expiration des sauvegardes impactées et la conservation des infrastructures de restauration;Rien, les sauvegardes ne sont jamais concernées;Le changement de format sans vérification;3;Il faut pouvoir restaurer les anciennes sauvegardes jusqu'à leur expiration.
Que doit-on vérifier concernant les moyens d'administration et de déploiement avant la migration ?;Qu'ils sont récents de moins d'un mois;Qu'ils sont de confiance, intègres et exempts de compromission;Qu'ils sont les moins chers du marché;Qu'ils sont accessibles sans authentification;3;Il faut ensuite vérifier que les socles de la cible sont eux aussi de confiance.
Quand ne faut-il réaliser aucune modification impactante du SI ?;Pendant la phase critique de migration elle-même;À aucun moment, jamais;Uniquement pendant les vacances;Uniquement le week-end;2;Les modifications doivent être faites strictement en amont ou en aval de l'opération.
Que faut-il faire concernant le SOC avant une migration ?;Le désactiver totalement pendant la migration;Le remplacer définitivement;Ne rien lui communiquer pour tester sa réactivité;Identifier les impacts sur sa couverture et sa supervision, et communiquer le planning;5;Cela évite de générer des alertes de sécurité de type faux positif.
Que faut-il contrôler avant et après la migration concernant les équipements de sécurité ?;Le nombre de licences Office;Uniquement la couleur des câbles réseau;Le bon fonctionnement de l'EDR, du pare-feu et de l'antivirus;La température de la salle serveur;4;Ces contrôles garantissent la continuité de la protection du SI.
Quelles procédures doivent être mises à jour et testées avant le lancement d'une migration ?;Les procédures opérationnelles et de sécurité, y compris en heures non ouvrées;Aucune procédure n'est nécessaire;Uniquement le trombinoscope de l'équipe;Uniquement le règlement intérieur;2;La migration ne doit être lancée qu'une fois ces procédures définies et testées.
Que faut-il conduire après une migration pour identifier les problèmes de sécurité résiduels ?;Un sondage de satisfaction des utilisateurs;Une simple réunion de clôture sans vérification technique;Rien, la migration est considérée comme terminée;Un audit post-migration, renouvelé régulièrement;5;Les contre-mesures adaptées doivent être opposées aux problèmes identifiés.
Sur quoi doit s'appuyer le décommissionnement des anciens comptes, données et infrastructures ?;Leur sensibilité et les textes de loi en vigueur sur la destruction des informations;Uniquement l'espace disque disponible;Le hasard, sans méthode particulière;La date d'achat du matériel uniquement;2;L'instruction interministérielle n°901 et l'arrêté du 20 août 2024 sont notamment cités.
