Pourquoi la sauvegarde est-elle devenue indispensable face aux rançongiciels ?;Car les rançongiciels n'affectent jamais les sauvegardes;Car la sauvegarde n'a aucun lien avec la sécurité informatique;Car un attaquant tente souvent de chiffrer ou détruire l'infrastructure de sauvegarde pour forcer le paiement d'une rançon;Car les rançongiciels ne concernent que les grandes entreprises;4;La sauvegarde était initialement utile pour les seuls incidents opérationnels comme les pannes matérielles.
Que désigne la PDMA (perte de données maximale admissible) ?;La durée maximale de données pouvant être perdues lors d'un incident (RPO);La durée de vie maximale d'un disque dur;Le nombre maximal d'utilisateurs d'un système;Le prix maximal d'une solution de sauvegarde;2;Elle est définie pour l'ensemble des valeurs métier du SI.
Que désigne la DMIA (durée maximale d'interruption admissible) ?;La durée de garantie du matériel de sauvegarde;La durée maximale d'indisponibilité tolérée avant restauration (RTO);La durée de conservation légale des factures;La durée de formation des opérateurs de sauvegarde;3;Elle doit être prise en compte pour définir la stratégie et l'ordre de restauration.
Quels sont les composants essentiels d'une infrastructure de sauvegarde ?;Uniquement un simple disque dur externe;Uniquement une connexion Internet haut débit;Le catalogue/index, l'agent logiciel, le serveur de sauvegarde, le support de sauvegarde;Uniquement un mot de passe administrateur;4;Le support peut être un disque, une bande magnétique ou un disque USB externe.
Comment doit être considéré l'opérateur de sauvegarde selon l'ANSSI ?;Comme un compte anonyme sans traçabilité;Comme un administrateur à hauts privilèges sur le SI;Comme un prestataire externe sans lien avec le SI;Comme un simple utilisateur sans droit particulier;3;Il faut donc être vigilant sur le niveau de confiance accordé, notamment en sous-traitance.
Où doivent être positionnés les serveurs de sauvegarde selon la recommandation R1 ?;Sur le poste de l'utilisateur final;Dans le SI d'administration ou une zone réseau distincte de la production;Directement dans la zone de production, mélangés aux serveurs sauvegardés;Sur Internet, en accès public;3;Les flux de sauvegarde doivent en outre transiter dans un VLAN dédié.
Les serveurs hébergeant l'infrastructure de sauvegarde doivent-ils faire partie du domaine Active Directory de production ?;Cela n'a aucune importance particulière;Oui, mais uniquement pour les petites entités;Oui, systématiquement pour simplifier l'administration;Non, ils doivent disposer d'un système d'authentification indépendant;5;Cela évite qu'une compromission de l'AD de production ne compromette aussi les sauvegardes.
Dans quel sens les flux de sauvegarde doivent-ils être initiés selon R8 ?;À l'initiative de n'importe quel poste vers le serveur de sauvegarde;À l'initiative exclusive de l'utilisateur final;Dans les deux sens indifféremment, sans règle particulière;À l'initiative du serveur de sauvegarde vers les clients sauvegardés;5;Cela limite les risques si un client sauvegardé est compromis.
Qu'est-ce que la règle 3-2-1 recommandée pour les sauvegardes ?;3 copies des données, sur 2 supports différents, dont 1 hors ligne;Aucune règle numérique n'est recommandée;3 ans de conservation, 2 copies, 1 seul site;3 sauvegardes par jour, 2 employés dédiés, 1 seul fournisseur;2;Une sauvegarde hors ligne est indispensable même si moins fréquente que les sauvegardes en ligne.
Pourquoi ne pas autoriser les utilisateurs à exécuter eux-mêmes une sauvegarde ou restauration ?;Risque d'accès illégitime aux données et d'élévation de privilèges;Aucune raison particulière, c'est une simple habitude;Cela coûte plus cher en licences logicielles;Cela ralentit toujours le système de production;2;L'exemple donné est la restauration ciblée d'un fichier de mots de passe système.
Qu'est-ce que la restauration croisée, qui doit être désactivée par défaut ?;Un simple export au format PDF des sauvegardes;La capacité d'une instance de sauvegarde à restaurer depuis un support d'une autre instance;La restauration simultanée sur deux systèmes d'exploitation différents;Le partage de sauvegardes entre deux entités partenaires;3;Cette désactivation limite la propagation d'une compromission entre instances.
Que doit faire l'opérateur de sauvegarde en cas d'incident de sécurité, en mesure prioritaire ?;Contacter uniquement la presse avant toute action technique;Isoler l'infrastructure de sauvegarde du reste du SI (mode bouton rouge);Continuer les sauvegardes normalement sans aucune précaution;Supprimer immédiatement toutes les sauvegardes existantes;3;Cela peut passer par un script automatisé ou la déconnexion physique d'un commutateur.
Pourquoi les sauvegardes restaurées après un incident peuvent-elles rester dangereuses ?;Elles perdent automatiquement toute valeur juridique;Elles peuvent contenir des implants de l'attaquant (code malveillant, porte dérobée);Elles sont toujours corrompues techniquement après un incident;Elles ne peuvent techniquement plus être lues;3;Il faut donc réinstaller depuis des images officielles et scanner les données avant import.
Comment protéger les flux de sauvegarde selon R28 ?;En les envoyant uniquement par clé USB physique;Sans aucune protection particulière, ce n'est pas nécessaire;Par chiffrement et authentification mutuelle à l'état de l'art (ex. TLS);En les laissant en clair pour simplifier le débogage;4;Le niveau de robustesse doit être aligné avec celui du SI de production.
Que faire lors de la mise au rebut d'un support de sauvegarde ?;Le jeter simplement à la poubelle;Le donner à un collègue sans vérification;Le revendre directement sans aucune précaution;Un effacement sécurisé (zéroïsation) ou une destruction physique;5;Cela inclut aussi la suppression des clés de chiffrement associées.
Pour la sauvegarde de machines virtuelles, quel avantage présente la sauvegarde de l'image disque par rapport à un agent intégré ?;L'opérateur de sauvegarde n'a pas accès au contenu si la VM est chiffrée;Elle ne nécessite jamais aucun espace de stockage;Elle est toujours plus rapide sans exception;Elle élimine tout risque de sécurité sans aucune limite;2;En contrepartie, la restauration peut poser problème pour certaines applications comme les bases de données.
Quel est l'inconvénient principal d'un agent de sauvegarde installé au sein d'une machine virtuelle ?;Il empêche systématiquement toute restauration;Il augmente la surface d'attaque et peut donner accès aux données en clair;Il ne fonctionne que sur les systèmes Windows;Il est toujours interdit par la loi française;3;Il offre en contrepartie une meilleure granularité de restauration de fichiers.
Que faut-il vérifier concernant la localisation des sauvegardes dans un environnement cloud externalisé ?;Qu'elles restent localisées sur le territoire de l'Union européenne;Que leur localisation n'a aucune importance;Qu'elles sont hébergées uniquement en dehors de l'Europe;Qu'elles sont toujours stockées sur le même serveur que la production;2;Il faut aussi chiffrer les sauvegardes par un moyen propre à l'entité avant envoi chez l'hébergeur.
Entre une solution WORM en ligne et une sauvegarde hors ligne déconnectée, laquelle est jugée la plus robuste par l'ANSSI ?;Les deux sont strictement équivalentes en toute circonstance;La sauvegarde hors ligne déconnectée;La solution WORM en ligne, toujours supérieure;Aucune des deux n'est recommandée par l'ANSSI;3;Un compromis possible combine sauvegardes WORM régulières et sauvegardes hors ligne moins fréquentes.
