Comment les niveaux de durcissement de ce guide (minimal, intermédiaire, renforcé, élevé) s'appliquent-ils ?;De façon cumulative, le minimal étant systématique sur tout système;Indépendamment les uns des autres, au choix de l'administrateur;Ils sont incompatibles entre eux et s'excluent mutuellement;Seul le niveau élevé doit être appliqué sur tout système;2;Les niveaux renforcé et élevé ne sont pertinents que pour des besoins de sécurité importants.
Pourquoi les recommandations de niveau élevé ne sont-elles pas à appliquer systématiquement ?;Elles ne concernent que les systèmes embarqués;Elles nécessitent une licence commerciale spécifique;Elles peuvent devenir contre-productives sans personnel qualifié pour leur maintien régulier;Elles sont incompatibles avec les distributions GNU/Linux récentes;4;Elles peuvent cependant apporter un gain de sécurité important dans certains contextes.
Quels sont les trois objectifs classés des menaces contre un système Linux ?;Disponibilité, confidentialité et intégrité;Authentification, chiffrement et journalisation;Réseau, mémoire et stockage uniquement;Performance, coût et disponibilité;2;Certaines menaces, comme les rançongiciels, combinent plusieurs de ces objectifs.
Que vise le principe de minimisation ?;Minimiser le nombre d'administrateurs du système;Réduire la surface d'attaque en évitant toute complexité inutile;Limiter le nombre de mises à jour appliquées;Réduire uniquement la consommation électrique du serveur;3;Il facilite aussi la mise à jour et la surveillance du système.
Que garantit le principe de moindre privilège ?;Que les mots de passe sont changés automatiquement chaque semaine;Que seul root peut exécuter des commandes sur le système;Que tous les utilisateurs disposent des mêmes droits par défaut;Qu'un objet ou une entité ne dispose que des droits strictement nécessaires à son exécution;5;Cela limite les conséquences d'une vulnérabilité aux privilèges octroyés.
Qu'apporte le principe de défense en profondeur ?;Un chiffrement unique appliqué à toutes les données;Plusieurs couches de sécurité indépendantes, retardant l'attaquant et facilitant la détection;La suppression de tout besoin d'authentification;Une seule couche de sécurité mais très robuste;3;La mise en défaut d'une couche génère des signaux facilitant la remédiation.
Pourquoi le compte root ne doit-il pas être utilisé directement pour l'administration courante ?;Il est automatiquement désactivé par le système après installation;Il ne peut exécuter aucune commande privilégiée par défaut;Il donne plein pouvoir et nuit à l'imputabilité lors d'un incident;Il est réservé exclusivement aux comptes de service;4;Des comptes nominatifs dédiés combinés à sudo sont recommandés à la place.
Quelle commande verrouille un compte utilisateur sous Linux selon ce guide ?;passwd -d <compte>;usermod -L -e 1 <compte>;rm -rf /home/<compte>;systemctl disable <compte>;3;Cela doit être combiné à la désactivation du shell de login vers /bin/false.
Pourquoi désactiver le shell de login des comptes de service ?;Cela permet d'économiser de la mémoire vive;C'est une exigence obligatoire du noyau Linux;La plupart des services n'ont pas besoin d'ouvrir de session pour fonctionner;Cela améliore les performances réseau du service;4;Cela évite une connexion illégitime à ce compte.
Pourquoi plusieurs services partageant le compte générique nobody posent-ils un problème de sécurité ?;Le compte nobody est automatiquement supprimé après le premier usage;Ils se retrouvent avec les mêmes privilèges et peuvent s'altérer mutuellement;Le compte nobody nécessite un mot de passe partagé publiquement;Cela ralentit considérablement le démarrage du système;3;Chaque service métier doit posséder son propre compte système dédié et exclusif.
Que permet la journalisation de la création de tout processus avec auditd ?;Bloquer instantanément toute commande non autorisée;Reconstituer l'enchaînement des opérations effectuées sur le système par un administrateur identifié;Chiffrer automatiquement tous les fichiers journaux;Remplacer entièrement le besoin d'un service syslog;3;Le volume de journaux généré peut être important et nécessite un export régulier.
Sur quoi repose la configuration d'AppArmor ?;Une base de données SQL de permissions utilisateur;Des spécifications de droits s'appuyant sur des chemins du système de fichiers, par exécutable;Un annuaire LDAP centralisé obligatoire;Des labels de sécurité attachés à chaque flux réseau;3;C'est un LSM utilisé par défaut sur SUSE et Ubuntu notamment.
En quel mode les profils AppArmor doivent-ils être activés selon la recommandation R45 ?;En mode désactivé pour éviter les faux positifs;En mode audit passif sans blocage;En mode enforce par défaut;En mode complaining uniquement;4;En mode complaining, les actions bloquées sont seulement enregistrées, pas réellement empêchées.
Quelle commande permet de vérifier l'état d'activation d'AppArmor sur un système ?;auditctl -s;systemctl status apparmor.service uniquement;selinuxenabled;aa-status;5;Elle indique notamment le nombre de profils chargés et en mode enforce.
Avec quelle politique SELinux doit-il être activé selon ce guide ?;La politique strict uniquement;Aucune politique, SELinux seul suffit;La politique permissive en permanence;La politique targeted;5;Les utilisateurs interactifs non privilégiés doivent également être confinés.
Quelle est la principale faiblesse historique de chroot pour le cloisonnement ?;Il ne permet pas d'empêcher root de sortir de sa cage et ne bloque pas les accès réseau ou aux autres processus;Il chiffre automatiquement les données, ce qui ralentit le système;Il est incompatible avec tous les systèmes de fichiers modernes;Il nécessite une distribution GNU/Linux spécifique;2;Des mécanismes plus récents comme les espaces de noms, seccomp et les cgroups le complètent.
Que permettent les Linux namespaces dans le cadre du cloisonnement ?;Partitionner les ressources du noyau dans des espaces abstraits;Chiffrer les communications réseau entre processus;Remplacer entièrement le système de fichiers;Gérer les mises à jour automatiques des paquets;2;Ils constituent, avec seccomp et les cgroups, les mécanismes modernes de cloisonnement du noyau Linux.
Que se passe-t-il si le noyau ou l'hyperviseur sous-jacent à des conteneurs ou VM est compromis ?;Rien, le cloisonnement empêche toute propagation par conception;Seul le conteneur directement ciblé est affecté, les autres restent protégés;Le système redémarre automatiquement en mode sécurisé;L'ensemble des environnements cloisonnés qu'il héberge est compromis;5;C'est pourquoi tout composant support de cloisonnement doit lui-même être durci.
Où doivent être stockés les journaux d'activité de chaque service selon ce guide ?;Uniquement sur un support amovible externe;Directement dans la mémoire vive du serveur syslog sans persistance;Dans un journal dédié, accessible uniquement par le serveur syslog, non modifiable par le service lui-même;Dans un fichier partagé unique accessible à tous les services;4;Cela évite qu'un service compromis puisse altérer ou effacer ses propres traces.
Que peut surveiller le service auditd sur un système GNU/Linux ?;Uniquement l'utilisation du processeur et de la mémoire;Les appels système, les accès à des fichiers particuliers et les insertions de modules;Uniquement les modifications de mots de passe utilisateur;Uniquement les connexions réseau entrantes;3;Un second service, audispd, se charge ensuite du traitement des événements déclenchés.
