Que désigne EBGP dans ce guide ?;Le protocole utilisé exclusivement dans un point d'échange;Les sessions BGP établies entre des AS distincts;Un mécanisme de chiffrement interne à BGP;Une extension IPv6 uniquement de BGP;3;Les éléments de configuration présentés s'appliquent spécifiquement à ces sessions.
BGP version 4 définit-il un mécanisme natif de protection des sessions ?;Non, les sessions s'appuient sur TCP et peuvent être interrompues par un paquet TCP RST;Oui, via l'authentification Kerberos;Oui, un chiffrement AES est intégré nativement;Non, mais TLS est utilisé par défaut;2;TCP MD5 constitue un élément de défense en profondeur complémentaire face à ce manque.
TCP MD5 est-il conforme aux recommandations cryptographiques du RGS ?;Cela dépend uniquement du fournisseur du routeur;Non, il n'est pas conforme mais reste utile en l'absence d'alternative disponible;Oui, car il utilise SHA-256 en interne;Oui, il est pleinement conforme au RGS;3;L'Authentication Option de TCP (RFC 5925) n'est pas encore implémentée par les équipements testés.
Dans quel cas TCP MD5 doit-il être systématiquement utilisé selon ce guide ?;Jamais, il est totalement déconseillé;Uniquement pour les sessions IPv6;Uniquement sur les liens directs point à point dédiés;En interconnexion multi-hop ou via un équipement partagé comme un commutateur de point d'échange;5;Un secret différent et fort doit être utilisé pour chaque interconnexion.
Qu'est-ce qu'un « martian » en BGP ?;Un AS non enregistré auprès d'un RIR;Un préfixe réservé, comme les blocs d'adresses privées, qui ne devrait jamais être annoncé sur Internet;Un type d'attaque par déni de service spécifique à BGP;Une route apprise via un tunnel IPv6;3;Ces préfixes doivent être filtrés aussi bien en entrée qu'en sortie.
Quelle est la longueur de masque maximale recommandée pour un préfixe annoncé en IPv4 ?;32 bits;16 bits;24 bits;8 bits;4;Pour IPv6, la limite recommandée est de 48 bits.
Une route par défaut doit-elle être annoncée à un pair BGP ?;Oui, uniquement pour les sessions multi-hop;Oui, systématiquement pour simplifier le routage;Non, sauf demande explicite d'un client souhaitant y accéder;Non, elle est techniquement impossible à annoncer en BGP;4;Cela évite de devenir involontairement un AS de transit avec surcharge de bande passante.
Que doit-on faire des numéros d'AS privés dans les annonces publiques ?;Les conserver pour faciliter le débogage;Ils ne posent aucun problème s'ils sont annoncés;Les remplacer automatiquement par un numéro IPv6;Les supprimer systématiquement en bordure;5;Ils peuvent être utilisés simultanément par plusieurs AS différents, ce qui les rend ambigus sur Internet.
Pourquoi un filtre sur le nombre maximal de préfixes annoncés par un pair est-il recommandé côté transitaire ?;Parce que c'est une obligation légale internationale;Pour se prémunir d'une réannonce accidentelle de la table de routage globale par un client;Pour économiser de la mémoire sur le routeur uniquement;Pour accélérer la convergence du protocole OSPF;3;Des incidents réels de ce type sont déjà survenus, provoquant l'indisponibilité de préfixes.
Que vérifie le filtrage sur l'AS_PATH des routes annoncées par les pairs ?;Que l'AS_PATH est toujours vide;Que l'AS_PATH ne contient jamais plus de trois numéros d'AS;Que l'AS_PATH utilise exclusivement des numéros d'AS privés;Que le premier numéro d'AS de l'AS_PATH correspond bien à celui du pair émetteur;5;Ce filtrage est activé par défaut sur certaines implémentations comme Cisco (bgp enforce-first-as).
Les changements d'état de session BGP sont-ils journalisés par défaut sur tous les routeurs ?;Oui, systématiquement sur toutes les implémentations;Non, ils ne le sont pas par défaut sur Cisco et Juniper, contrairement à Alcatel-Lucent et OpenBGPD;Non, aucune implémentation ne les journalise par défaut;Oui, mais uniquement pour les sessions IPv6;3;Ces événements doivent être activés et remontés pour la supervision.
