Que faire face à un fait inhabituel sur le site ?;En parler sur les réseaux sociaux;Le signaler immédiatement au responsable sûreté ou sécurité;L'ignorer s'il semble anodin;Attendre qu'un collègue le signale;3;La DRSD rappelle de ne jamais sous-estimer un fait inhabituel.
Quel comportement adopter face à un visiteur non accompagné qui cherche son chemin ?;Le laisser circuler librement;Ne pas hésiter à le questionner;Lui indiquer les zones sensibles;Lui prêter son badge;3;Un visiteur ne doit jamais circuler seul sur un site sensible.
Lequel de ces faits est un fait inhabituel à signaler ?;Un drone en vol stationnaire au-dessus du site;Une réunion d'équipe planifiée;Un collègue qui badge à l'entrée;Une livraison attendue aux heures d'ouverture;2;Photographies, repérages, véhicules stationnés longtemps et drones font partie des signaux.
Quel numéro permet d'alerter les secours par SMS ?;Le 17;Le 18;Le 114;Le 15;4;Le 112 est le numéro d'urgence européen.
Pourquoi faut-il retirer son badge en sortant du site ?;Pour éviter de l'abîmer;Parce qu'il facilite l'identification et expose à des sollicitations;Parce que la loi interdit de le porter dans la rue;Parce qu'il se démagnétise à l'extérieur;3;Sur le site au contraire il doit être porté de manière apparente.
Que faire en cas de perte de son badge ?;Ne rien dire;La signaler immédiatement;Emprunter celui d'un collègue;Attendre de le retrouver;3;Un badge perdu peut être utilisé pour une intrusion.
Que rappelle l'affiche Le couloir n'est pas une salle de réunion ?;Ne pas manger dans les couloirs;Ne pas courir dans les couloirs;Réserver les salles de réunion à l'avance;Ne pas évoquer de sujets professionnels sensibles dans les couloirs;5;La discrétion vaut aussi devant la machine à café.
Où laisser son téléphone portable lors d'une réunion sensible ?;Branché sur le poste de la salle;Sur la table en mode silencieux;Dans sa poche;Hors de la salle de réunion;5;Les murs ont des oreilles, les téléphones aussi.
Comment répondre à une question intrusive ?;Par une réponse détaillée pour rester poli;Par une réponse évasive, puis signaler la situation;En transmettant la question par courriel;En donnant un faux renseignement précis;3;Il faut ensuite prévenir le responsable sûreté.
Que rappelle l'affiche Une viennoiserie offerte pour une session ouverte ?;Partager son poste en pause;Offrir le petit-déjeuner aux collègues;Laisser son bureau ouvert;Verrouiller sa session à chaque absence;5;Même pour une absence courte, la session doit être verrouillée.
