"Défis n°1 ?","Revue 2013 du département sécurité économique de l'INHESJ (devenu IHEMI) consacrée à la cybersécurité."
"Intelligence économique ?","Veille et anticipation, sécurité économique, influence ; dérive de l'intelligence stratégique."
"D2IE ?","Délégation interministérielle à l'IE (Claude Revel, 2013), ancêtre du SISSE."
"Cybersécurité (2011) ?","Un état à atteindre : SSI + lutte contre la cybercriminalité + cyberdéfense."
"3 menaces de la cyberdéfense ?","Espionnage, déstabilisation, sabotage."
"ANSSI en 2013 ?","Créée en 2009 ; de 100 à 350 ingénieurs ; directeur Patrick Pailloux."
"Rapport Bockel ?","18/07/2012 : la cyberdéfense priorité nationale."
"LPM 2014-2019 ?","L'ANSSI peut analyser un malware et accéder au serveur d'attaque ; obligations des OIV."
"APT1 ?","Cyberespionnage attribué à l'unité chinoise 61398."
"Spécificités de la cybersécurité ?","Asymétrie, information > puissance, droit inadapté, géants du web, inertie des organisations."
"Gendarmerie cyber ?","IRCGN, STRJD/DLCC, PICyAN (2012), réseau N-TECH (≈ 1 000 enquêteurs)."
"Constats de la BEFTI ?","Intrusions pour voler des données, piratage de standards, fraudes internes ; 80 % des infractions par des utilisateurs."
"Outils d'enquête ?","Infiltration, cyberpatrouille (4 mois renouvelables), captation à distance (LOPPSI 2)."
"Lois fondatrices ?","Informatique et libertés (1978), Godfrain (1988)."
"Coopération internationale ?","Convention de Budapest (2001), Europol-EC3 (2013), Eurojust, Interpol, OCLCTIC."
"Nationalité du prestataire ?","Soumis au droit de son pays (Patriot Act) ; chiffrer chez soi ou héberger en Europe."
"Transfert hors UE sans garanties ?","5 ans et 1,5 M€ d'amende."
"CIGREF ?","Sécurité au niveau des COMEX ; 8 familles de risques (gravité, occurrence, périmètre)."
"Yalta numérique ?","Accord sino-américain de 2013 sur le cyberespionnage, sans l'Europe."
"Faille principale ?","Entre la chaise et le clavier."
