Combien d'AC racine et d'AC intermédiaire au minimum une IGC doit-elle comporter ?;Une seule AC sans hiérarchie;Aucune AC intermédiaire n'est nécessaire;Au moins une AC racine et une AC intermédiaire par AC racine;Dix AC racines minimum;4;Chaque AC intermédiaire est dédiée à un ou plusieurs gabarits de certificat.
Quels documents définissent les règles et pratiques d'une IGC selon le RGS ?;Le catalogue produit de l'entité;Le plan de formation interne;Le contrat de travail des administrateurs;La politique de certification (PC) et la déclaration des pratiques de certification (DPC);5;Ces définitions figurent à l'annexe A2 du Référentiel général de sécurité.
Qu'est-ce qu'un gabarit de certificat ?;Un mot de passe administrateur;Un modèle définissant le type de certificat émis, avec des extensions limitées aux besoins;Un protocole réseau;Une sauvegarde chiffrée de la clé privée;3;Les champs d'extension X.509 doivent être limités aux stricts besoins du gabarit.
Où stocker les clés privées d'une AC racine selon l'ANSSI ?;Hors ligne, idéalement dans un HSM;En ligne sur un serveur web public;Sur une clé USB non chiffrée;Dans un fichier texte partagé;2;Les AC intermédiaires, elles, stockent leurs clés privées en ligne mais dans un HSM.
Que faut-il faire d'une copie des clés privées des certificats dédiés au chiffrement ?;La publier sur un site web public;La séquestrer hors ligne;Ne rien faire de particulier;La détruire immédiatement après création;3;Cette séquestration permet de retrouver des données chiffrées en cas de perte de la clé.
Quels algorithmes et tailles de clé recommande l'ANSSI pour une AC racine ?;RSA 512 bits;Aucun algorithme spécifique n'est requis;RSA 4096 bits ou ECDSA avec la courbe P-384;DES avec une clé de 56 bits;4;Pour une AC intermédiaire ou un certificat d'entité finale, RSA 3072 bits ou ECDSA P-256 sont recommandés.
Quelle est la durée de validité typique recommandée pour un certificat d'entité finale ?;Quelques mois;Cinquante ans;Une dizaine d'années;Une durée illimitée;2;Une AC racine peut avoir une durée de validité de l'ordre d'une dizaine d'années, une AC intermédiaire de quelques années.
Peut-on réutiliser une bi-clé pour un usage différent de celui prévu par son certificat ?;Cela n'a aucune importance;Oui, systématiquement pour économiser des ressources;Non, cela ne doit jamais être fait;Oui, mais uniquement pour les AC racines;4;Chaque bi-clé est liée à l'usage défini par son certificat associé.
Quels mécanismes de révocation des certificats l'ANSSI recommande-t-elle ?;La CRL et/ou l'OCSP, idéalement les deux pour la redondance;Le retrait physique du serveur uniquement;Aucun mécanisme n'est nécessaire;Un simple email d'annulation;2;Combiner les deux mécanismes assure une redondance en cas de panne de l'un d'eux.
Que faut-il anticiper concernant l'évolution cryptographique d'une IGC ?;L'abandon de toute cryptographie;Le passage à des mots de passe plus courts;La migration vers la cryptographie post-quantique, notamment via l'hybridation;Rien, les IGC sont figées définitivement;4;L'ANSSI renvoie à son avis sur la migration vers la cryptographie post-quantique.
Comment configurer les magasins de certificats des navigateurs ou produits ?;Uniquement avec les AC strictement nécessaires;Avec une seule AC par défaut, jamais mise à jour;Sans aucune AC installée;Avec toutes les AC disponibles sur Internet;2;Cela réduit la surface d'attaque en limitant les autorités de confiance reconnues.
Que doivent vérifier les équipements et logiciels utilisant des certificats lors de leur validation ?;Uniquement le nom de l'émetteur;L'intégralité de la chaîne de certification, signature, révocation et validité;Uniquement la date d'expiration;Rien, la simple présence du certificat suffit;3;Chaque certificat de la chaîne doit être vérifié individuellement.
Quand faut-il anticiper le renouvellement d'un certificat d'AC racine ?;Uniquement après son expiration complète;Le jour même de son expiration;Jamais, une AC racine ne se renouvelle pas;Dès l'atteinte des deux tiers de sa durée de vie;5;Les processus de renouvellement doivent aussi être testés régulièrement.
Que faut-il faire de la bi-clé lors du renouvellement d'un certificat ?;La conserver identique indéfiniment;La partager avec d'autres certificats;La supprimer sans la remplacer;La renouveler systématiquement;5;Réutiliser l'ancienne bi-clé annulerait le bénéfice sécuritaire du renouvellement.
Quel protocole permet d'automatiser la génération et le renouvellement de certificats ?;ACME;FTP;SNMP;NTP;2;Le guide Les Fondamentaux sur l'automatisation avec ACME détaille sa mise en œuvre sécurisée.
