Quel est l'objectif principal de la méthode EBIOS Risk Manager ?;Apprécier et traiter les risques numériques;Gérer uniquement la conformité RGPD;Développer des logiciels sécurisés;Auditer les comptes financiers;2;EBIOS Risk Manager est une méthode d'appréciation et de traitement du risque numérique publiée par l'ANSSI.
Combien d'ateliers composent la démarche EBIOS Risk Manager ?;3 ateliers;4 ateliers;5 ateliers;6 ateliers;4;La démarche s'articule autour de cinq ateliers itératifs allant du cadrage au traitement du risque.
Quelles sont les deux approches combinées par EBIOS Risk Manager ?;L'approche par conformité et l'approche par scénarios;L'approche quantitative et qualitative;L'approche financière et juridique;L'approche technique et organisationnelle;2;La méthode combine une approche par conformité (socle de sécurité) et une approche par scénarios (risques ciblés).
Dans quel atelier définit-on le périmètre métier et technique de l'étude ?;Atelier 1;Atelier 2;Atelier 3;Atelier 5;2;L'atelier 1 (Cadrage et socle de sécurité) vise à identifier l'objet de l'étude les missions les valeurs métier et les biens supports.
Qu'est-ce qu'une "valeur métier" selon EBIOS Risk Manager ?;Un composant technique du système;Une composante importante pour l'organisation dans l'accomplissement de sa mission;Une mesure de sécurité financière;Un logiciel antivirus;3;Une valeur métier est un élément à protéger (information processus ou service) important pour la mission de l'organisation.
Qu'est-ce qu'un "bien support" ?;Une valeur financière de l'entreprise;Une composante du système d'information sur laquelle repose une valeur métier;Une partie prenante externe;Un événement redouté;3;Un bien support est un composant technique ou physique (serveur local personne) sur lequel reposent les valeurs métier.
Comment nomme-t-on les deux cycles temporels de la méthode ?;Cycle court et cycle long;Cycle stratégique et cycle opérationnel;Cycle annuel et cycle mensuel;Cycle de veille et cycle d'action;3;La méthode distingue le cycle stratégique (environ 3 ans) et le cycle opérationnel (environ 1 an).
Quel est l'objectif principal de l'Atelier 2 ?;Identifier les sources de risque et leurs objectifs visés;Définir le socle de sécurité;Construire des graphes d'attaque techniques;Calculer le budget de sécurité;2;L'atelier 2 vise à identifier et caractériser les sources de risque (SR) et leurs objectifs visés (OV).
Dans la méthode EBIOS RM que signifie l'acronyme OV ?;Organisation Virtuelle;Objectif Visé;Ordinateur Vérolé;Opération Validée;3;L'Objectif Visé correspond à la finalité poursuivie par une source de risque selon ses motivations.
Quelle notion est au cœur de l'Atelier 3 ?;Le socle de sécurité;L'écosystème numérique;Les vulnérabilités logicielles;Le plan de reprise d'activité;3;L'atelier 3 se concentre sur les scénarios stratégiques et la cartographie de la menace numérique de l'écosystème.
Sur quels critères évalue-t-on la menace d'une partie prenante dans l'Atelier 3 ?;Taille et Chiffre d'affaires;Exposition et Fiabilité cyber;Localisation et Langue;Rapidité et Coût;3;Le niveau de menace est évalué selon des critères d'exposition (dépendance pénétration) et de fiabilité cyber (maturité confiance).
