"Sur quoi repose la défense en profondeur ?","Le déploiement de barrières complémentaires, chacune constituée de mesures, pour s'opposer à chaque étape d'un attaquant."
"Qu'est-ce qu'une barrière ?","Un objectif de sécurité répondant à une étape d'un scénario de risque (protection, défense ou résilience)."
"Quels sont les trois axes de mise en œuvre d'une barrière ?","Le rôle (quoi), le placement (où), l'implémentation (comment)."
"Quels sont les trois temps du rôle d'une barrière ?","Protection (avant), défense (pendant), résilience (après)."
"Sur quels composants du SI s'applique le placement d'une barrière ?","Utilisateurs, locaux, identités, réseaux, équipements, applications, données."
"Quels sont les trois critères d'efficacité de la défense en profondeur ?","Multiplicité, indépendance, robustesse."
"Pourquoi l'indépendance entre barrières est-elle cruciale ?","Une défaillance de protection du SI de production ne doit pas compromettre la supervision ni la résilience."
"Qu'est-ce qu'une sandbox appliquée aux courriels ?","Un environnement isolé pour analyser dynamiquement un fichier ou courriel suspect."
"Qu'est-ce que le principe du moindre privilège ?","Ne pas donner de droits d'administration inutiles aux utilisateurs, pour limiter l'installation d'outils malveillants."
"Qu'est-ce qu'un EDR ?","Un outil d'analyse comportementale sur les postes utilisateurs, détectant et bloquant les logiciels malveillants."
"Comment limiter un canal de commande et contrôle vers Internet ?","Un serveur mandataire et un résolveur DNS en DMZ, non contournables, avec des règles de filtrage à jour."
"Comment limiter la latéralisation via un compte à privilèges ?","Des comptes d'administration dédiés aux postes utilisateur et des audits réguliers de l'annuaire."
"Comment pallier la perte de données (barrière de résilience) ?","Une sauvegarde avec au moins une copie hors ligne, testée régulièrement en restauration."
"Quel exemple illustre l'indépendance d'une authentification multi-facteur ?","Un jeton physique indépendant du poste d'accès au SI."
"Comment assurer la robustesse d'un site de repli à froid ?","Tester régulièrement les procédures de repli et le maintenir en condition de sécurité."
