À quel contexte ce guide de l'ANSSI sur Windows 10 est-il destiné en priorité ?;Aux serveurs Windows Server exclusivement;Aux équipements mobiles Android;Aux particuliers et utilisateurs finaux uniquement;Aux postes de travail en environnement Active Directory d'entreprise;5;Les particuliers sont invités à consulter le guide de la CNIL.
Comment les recommandations de ce guide doivent-elles être appliquées ?;Adaptées pour obtenir un compromis entre besoins métier et besoins en confidentialité;Appliquées identiquement sur tous les postes sans distinction;Ignorées si l'entité utilise Office 365;Réservées exclusivement aux postes du service RSSI;2;Une analyse de risque doit idéalement guider cette décision au plus haut niveau.
Quels sont, par quantité croissante de données collectées, les quatre niveaux de télémétrie ?;Sécurité, de base, amélioré, complet;Local, régional, national, mondial;Minimal, standard, avancé, total;Bas, moyen, haut, critique;2;Le niveau sécurité n'est disponible que sur les éditions Entreprise, Éducation et IoT Core.
Un niveau de télémétrie permet-il de bloquer complètement l'envoi d'informations à Microsoft ?;Oui, mais uniquement sur l'édition Éducation;Non, aucun niveau ne le permet;Oui, le niveau sécurité le permet totalement;Oui, à condition de désactiver Cortana au préalable;3;Les niveaux de collecte ne concernent en outre que le système d'exploitation lui-même.
Quel niveau de télémétrie le guide recommande-t-il pour réduire la collecte tout en restant supporté par Microsoft ?;La désactivation totale du service;Le niveau amélioré;Le niveau sécurité;Le niveau complet;4;Ce niveau est réservé aux éditions Entreprise, Éducation et IoT Core.
Dans quel cas le guide recommande-t-il de désactiver l'envoi de rapports par MSRT et Windows Defender ?;Uniquement si le service de télémétrie est au niveau complet;Systématiquement, quel que soit l'antivirus utilisé;Si l'entité repose sur des solutions de sécurité tierces concurrentes;Jamais, ces rapports sont indispensables dans tous les cas;4;Les désactiver alors que ces outils intégrés sont utilisés dégraderait le niveau de sécurité apporté.
Pourquoi Cortana doit-il être désactivé en environnement professionnel ?;Parce qu'il empêche l'utilisation de Windows Desktop Search;Parce qu'il ralentit systématiquement le démarrage du système;Pour éviter la divulgation d'informations sensibles ou personnelles, l'agent devant accéder à des données personnelles pour être efficace;Parce qu'il n'est pas compatible avec les éditions Entreprise de Windows;4;Le composant Windows Desktop Search doit lui être restreint à la recherche locale.
Quelles données peuvent typiquement figurer parmi les paramètres de personnalisation de l'expérience utilisateur à désactiver ?;Uniquement les mots de passe Wi-Fi enregistrés;Les saisies clavier ou manuscrites, coordonnées et carnets d'adresses;Uniquement les journaux d'événements système;Les seules données de facturation Microsoft;3;Ces données sont envoyées par défaut à des fins de personnalisation et d'amélioration de l'expérience.
Que permet une application universelle au format .AppX comparée à une application de bureau classique ?;Un cadre d'exécution contrôlé présentant moins de risques de sécurité pour le système;Une absence totale d'accès aux ressources du système;Un accès systématique aux privilèges d'administration du poste;Une installation impossible sans compte administrateur;2;Elle est installable par un simple utilisateur non privilégié via un magasin d'applications.
Pourquoi l'identifiant unique de publicité doit-il être désactivé ?;Il permet de partager et corréler des informations collectées sur l'utilisateur entre applications;Il est requis pour l'authentification par compte Microsoft;Il ralentit le démarrage des applications universelles;Il empêche la désinstallation des applications préinstallées;2;Développeurs, éditeurs et réseaux publicitaires peuvent l'utiliser à cette fin.
Quelle stratégie est recommandée si l'usage des applications universelles n'est pas nécessaire en contexte professionnel ?;Désactiver complètement le magasin d'applications et désinstaller les applications préinstallées;Les autoriser sans restriction, car elles présentent peu de risques;Les laisser actives mais bloquer uniquement leur accès à Internet;Les convertir automatiquement en applications de bureau classiques;2;Des règles de restriction logicielle peuvent compléter cette mesure en défense en profondeur.
