"Combien d'AC minimum comporte une IGC hiérarchique ?","Au moins une AC racine et une AC intermédiaire par AC racine."
"Quels documents définissent les règles d'une IGC (annexe A2 du RGS) ?","La politique de certification (PC) et la déclaration des pratiques de certification (DPC)."
"Qu'est-ce qu'un gabarit de certificat ?","Un modèle définissant le type de certificat émis, avec des extensions X.509 limitées aux besoins."
"Où stocker les clés privées d'une AC racine ?","Hors ligne, idéalement dans un HSM."
"Où stocker les clés privées d'une AC intermédiaire ?","En ligne, mais dans un équipement sécurisé de type HSM."
"Que faire d'une copie des clés privées de chiffrement ?","La séquestrer hors ligne."
"Quels algorithmes/tailles pour une AC racine ?","RSA 4096 bits ou ECDSA courbe P-384 (FIPS 186-4)."
"Quels algorithmes/tailles pour une AC intermédiaire ou un certificat final ?","RSA 3072 bits ou ECDSA courbe P-256."
"Quelle durée de validité typique pour un certificat d'entité finale ?","Quelques mois (vs ~10 ans pour une AC racine, quelques années pour une AC intermédiaire)."
"Peut-on réutiliser une bi-clé pour un autre usage que celui prévu ?","Non, jamais."
"Quels mécanismes de révocation des certificats recommande l'ANSSI ?","CRL et/ou OCSP, idéalement les deux pour la redondance."
"Que faut-il anticiper pour l'avenir cryptographique d'une IGC ?","La migration vers la cryptographie post-quantique (hybridation, impacts de performance)."
"Comment configurer les magasins de certificats ?","Uniquement avec les AC strictement nécessaires."
"Que vérifier lors de la validation d'un certificat ?","Toute la chaîne de certification : signature, statut de révocation, période de validité."
"Quand anticiper le renouvellement d'une AC racine ?","Dès l'atteinte des deux tiers de sa durée de vie, avec tests réguliers du processus."
"Que faire de la bi-clé lors d'un renouvellement de certificat ?","La renouveler systématiquement, jamais la réutiliser."
"Quel protocole automatise la gestion des certificats ?","ACME (Automatic Certificate Management Environment)."
