Forcer le protocole SSH version 2;Configurez le serveur sshd pour n'autoriser que la version 2 du protocole SSH.;Ajouter la ligne Protocol 2 dans /etc/ssh/sshd_config puis redémarrer le service avec systemctl restart sshd.
Désinstaller les serveurs historiques non sécurisés;Un serveur expose encore telnetd et rsh-server en plus de sshd. Sécurisez la machine.;Désinstaller les paquets avec apt remove telnetd rsh-server (ou yum remove selon la distribution), puis vérifier qu'aucun service n'écoute plus sur les ports 23 et 514 avec ss -tlnp.
Générer une clé RSA conforme;Générez une paire de clés RSA respectant la taille minimale recommandée par l'ANSSI pour SSH.;ssh-keygen -t rsa -b 2048 -f ~/.ssh/id_rsa_admin puis renseigner une passphrase robuste lorsque demandé.
Générer une clé ECDSA préférée à RSA;Générez une paire de clés ECDSA, algorithme préféré à RSA quand il est supporté par les deux parties.;ssh-keygen -t ecdsa -b 256 -f ~/.ssh/id_ecdsa_admin.
Supprimer l'usage de clés DSA sur un serveur;Un serveur sshd charge encore une clé hôte DSA, jugée trop faible. Retirez-la de la configuration.;Commenter ou supprimer la ligne HostKey /etc/ssh/ssh_host_dsa_key dans /etc/ssh/sshd_config, puis supprimer les fichiers ssh_host_dsa_key et ssh_host_dsa_key.pub, et redémarrer sshd.
Restreindre les algorithmes de chiffrement et d'intégrité du canal;Configurez sshd pour n'accepter que des algorithmes de chiffrement et d'intégrité conformes aux recommandations ANSSI.;Ajouter dans /etc/ssh/sshd_config les lignes Ciphers aes256-ctr,aes192-ctr,aes128-ctr et MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com puis redémarrer sshd.
Interdire les mots de passe vides et limiter les tentatives;Durcissez l'authentification pour interdire les comptes sans mot de passe et limiter les tentatives de connexion.;Ajouter dans sshd_config les lignes PermitEmptyPasswords no, MaxAuthTries 2 et LoginGraceTime 30, puis redémarrer sshd.
Interdire la connexion directe au compte root;Empêchez toute connexion SSH directe sur le compte root d'un serveur.;Ajouter la ligne PermitRootLogin no dans /etc/ssh/sshd_config puis redémarrer sshd, les administrateurs devront se connecter avec leur compte nominatif puis utiliser sudo.
Restreindre l'accès SSH à un groupe d'administrateurs depuis un réseau donné;Limitez l'accès SSH du serveur aux membres du groupe wheel connectés depuis le réseau 192.168.17.0/24.;Ajouter la ligne AllowGroups wheel@192.168.17/24 dans /etc/ssh/sshd_config puis redémarrer sshd.
Mettre en place un chroot SFTP pour un groupe d'utilisateurs;Des utilisateurs du groupe sftp-users ne doivent avoir accès qu'à SFTP, confinés dans /sftp-home/leur_login.;Ajouter dans sshd_config le bloc Match group sftp-users suivi de ForceCommand internal-sftp et ChrootDirectory /sftp-home/%u, s'assurer que les utilisateurs appartiennent au groupe sftp-users, puis redémarrer sshd.
Changer le port d'écoute SSH sur un serveur exposé;Le serveur SSH est exposé à Internet et subit des attaques par force brute sur le port par défaut. Changez son port d'écoute.;Ajouter la ligne ListenAddress A.B.C.D:26 (en remplaçant par l'adresse et le port souhaités, de préférence < 1024) dans sshd_config, redémarrer sshd, puis adapter la règle de pare-feu correspondante.
Désactiver les redirections de flux non nécessaires;Un serveur SSH n'a aucun besoin de redirection de flux ni d'affichage graphique distant. Désactivez ces fonctionnalités.;Ajouter les lignes AllowTcpForwarding no et X11Forwarding no dans /etc/ssh/sshd_config, puis redémarrer sshd.
Forcer l'exécution d'une commande unique pour un compte de monitoring;Un compte monproc ne doit exécuter qu'une commande de supervision des processus, sans accès shell.;Ajouter dans sshd_config le bloc Match user monproc suivi de ForceCommand /bin/ps -elf, puis redémarrer sshd.
Créer une autorité de certification OpenSSH pour les hôtes;Mettez en place une autorité de certification OpenSSH dédiée à la signature des certificats hôtes.;Générer une biclé dédiée avec ssh-keygen -t ecdsa -b 256 -f /etc/ssh/ca_host_key, protéger la clé privée par une passphrase robuste, puis diffuser la clé publique aux clients via le marqueur @cert-authority dans leur fichier known_hosts.
Signer un certificat hôte avec l'autorité de certification;Signez la clé publique d'un serveur web avec l'autorité de certification hôte créée précédemment, pour une validité de trois ans.;ssh-keygen -s /etc/ssh/ca_host_key -I web01 -h -n web01.example.org -V +156w /etc/ssh/ssh_host_ecdsa_key.pub, puis déclarer le fichier -cert.pub obtenu via l'attribut HostCertificate de sshd_config.
Révoquer une clé utilisateur compromise;La clé privée d'un utilisateur a potentiellement été compromise. Révoquez son usage côté serveur.;Ajouter l'empreinte ou la clé publique de l'utilisateur dans le fichier pointé par l'attribut RevokedKeys de sshd_config, puis redémarrer sshd.
Publier l'empreinte d'un hôte via DNS SSHFP;Générez l'enregistrement DNS SSHFP correspondant à la clé publique hôte d'un serveur.;ssh-keygen -r serveur.example.org -f /etc/ssh/ssh_host_ecdsa_key.pub, puis publier l'enregistrement obtenu dans la zone DNS et activer VerifyHostKeyDNS ask côté client dans ssh_config.
Exercice de synthèse 1;Vous devez sécuriser un serveur SSH d'administration exposé sur Internet pour une petite équipe d'administrateurs identifiés par leurs clés ECDSA. Décrivez la configuration complète à appliquer.;Désactiver la version 1 (Protocol 2), interdire root (PermitRootLogin no), générer des clés ECDSA 256 bits pour chaque administrateur (ssh-keygen -t ecdsa -b 256), restreindre l'accès avec AllowUsers ou AllowGroups filtré par IP, changer le port d'écoute par défaut, désactiver AllowTcpForwarding et X11Forwarding, imposer Ciphers en AES-CTR et MACs en hmac-sha2 etm, interdire PermitEmptyPasswords et limiter MaxAuthTries, puis redémarrer sshd et vérifier la configuration avec sshd -t.
Exercice de synthèse 2;Un prestataire doit pouvoir se connecter en SFTP à un serveur pour déposer des fichiers, sans jamais obtenir d'accès shell ni voir le reste du système de fichiers. Mettez en place cette configuration de bout en bout.;Créer un groupe dédié sftp-only et y ajouter le compte du prestataire, générer pour lui une clé ECDSA ou RSA conforme, configurer le bloc Match group sftp-only avec ForceCommand internal-sftp et ChrootDirectory /sftp-home/%u, s'assurer que le répertoire chroot appartient à root avec des droits restreints, monter si possible la partition associée en nodev,noexec,nosuid, vérifier que la séparation de privilèges (UsePrivilegeSeparation sandbox) est active, puis redémarrer sshd et tester la connexion avec sftp.
