"Faut-il un score parfait pour retenir un projet open source ?","Non, l'objectif est un choix éclairé conscient des enjeux, pas un score parfait."
"Que peut indiquer une faible activité d'un projet ?","Soit une grande maturité/stabilité, soit un manque de ressources — à croiser avec d'autres critères."
"Qu'est-ce que le MCO d'un logiciel libre ?","Le maintien fonctionnel : mainteneurs désignés, commits/versions récentes, correction des bugs."
"Qu'est-ce que le MCS d'un logiciel libre ?","Le maintien en sécurité : point de contact sécurité, procédure de gestion des vulnérabilités, délai de correction."
"Qu'est-ce qu'un SBOM ?","La liste des dépendances d'un projet (format SPDX ou CycloneDX)."
"Que vérifier sur les dépendances d'un projet open source ?","Qu'elles sont à jour et exemptes de vulnérabilités connues."
"Quelle analyse tierce peut objectiver la sécurité d'un projet open source ?","Un visa de sécurité ANSSI ou des rapports d'évaluation de la communauté."
"Qu'atteste un bon socle technique ?","Documentation utilisateur/admin, config sécurisée par défaut, standards ouverts éprouvés."
"Quelles règles ANSSI de développement sécurisé sont citées ?","Programmation sécurisée en langage C et en Rust."
"Que faut-il auditer régulièrement pour éviter le code illégitime ?","L'évolution des contributions (analyse manuelle + outillée)."
"Que s'est-il passé avec XZ Utils ?","Un contributeur malveillant y a inséré une porte dérobée permettant la prise de contrôle des postes."
"Que révèle un appel explicite d'un projet à du soutien ?","L'état de santé du projet ; cela permet aussi de l'aider et d'assurer sa continuité."
"Que permet un contrat de support (communauté ou commercial) ?","Stabilité financière et pérennité du projet, tout en rassurant l'entité qui le déploie."
