Qu'est-ce que les SRP, Software Restriction Policies ?;Une extension récente exclusive à Windows 10;Un protocole réseau de filtrage périmétrique;Le mécanisme historique de restrictions logicielles introduit à partir de Windows XP;Un service de mise à jour automatique des pilotes;4;Leurs règles s'appliquent indifféremment à tous les utilisateurs d'une machine.
Quelle différence fondamentale distingue AppLocker des SRP ?;AppLocker ne peut jamais être combiné avec des règles de type Refuser;AppLocker permet de cibler un utilisateur ou un groupe précis d'une machine ou d'un domaine;AppLocker ne fonctionne que sur les éditions Famille de Windows;AppLocker est incompatible avec toute stratégie de groupe;3;Avec SRP, tous les utilisateurs sont affectés indifféremment par les règles.
Que se passe-t-il si une stratégie configure simultanément des règles SRP et AppLocker ?;Seules les règles SRP sont prises en compte;Seules les règles AppLocker sont prises en compte;Le système refuse de démarrer;Les deux jeux de règles s'appliquent de façon cumulative;3;C'est un argument supplémentaire en faveur de l'usage exclusif d'AppLocker.
Dans quel ordre AppLocker évalue-t-il les règles ?;Dans un ordre aléatoire déterminé à chaque exécution;D'abord les règles Autoriser, puis les règles Refuser;Uniquement les règles Autoriser, les règles Refuser étant ignorées;D'abord les règles Refuser, puis les règles Autoriser;5;Un programme sans règle Autoriser applicable est bloqué par refus implicite.
Que recommande le guide concernant le type de règles à utiliser en priorité ?;Privilégier exclusivement les règles de type Refuser;Combiner systématiquement SRP et AppLocker;N'utiliser que des règles basées sur le chemin d'accès;Privilégier les règles de type Autoriser, avec des exceptions si nécessaire;5;Cela améliore la lisibilité du comportement global d'AppLocker.
Quel type de règle AppLocker offre le meilleur niveau de sécurité, au prix d'une maintenance plus lourde ?;Les règles basées sur le chemin d'accès;Les règles basées sur la date de création du fichier;Les règles basées sur l'empreinte cryptographique SHA-256;Les règles basées sur la taille du fichier;4;Une mise à jour du logiciel oblige alors le plus souvent à modifier la règle.
À quoi sert la fonctionnalité d'audit d'AppLocker ?;Chiffrer les journaux d'événements générés;Bloquer immédiatement tous les programmes non signés;Simuler l'application d'une politique sans bloquer l'exécution des programmes;Supprimer automatiquement les applications non autorisées;4;Elle permet d'inventorier les applications utilisées lorsqu'aucun inventaire exhaustif n'existe.
Quel service doit être configuré en démarrage automatique pour qu'AppLocker fonctionne ?;Le service Spouleur d'impression;Le service Journal d'événements Windows;Le service Windows Update;Le service AppIdSvc, Identité de l'application;5;Sans ce service démarré, AppLocker ne peut appliquer ses règles.
Avec quel type de compte les systèmes protégés par AppLocker doivent-ils être utilisés ?;Des comptes de service partagés entre plusieurs postes;Peu importe, AppLocker neutralise les privilèges d'administration;Des comptes utilisateurs non privilégiés, sans droits d'administration;Des comptes administrateurs locaux exclusivement;4;Les utilisateurs ne doivent en aucun cas disposer de privilèges d'administration locaux ou distants.
Pourquoi la règle par défaut créée pour C:\Windows est-elle problématique ?;Elle autorise de fait l'exécution depuis des sous-répertoires accessibles en écriture aux utilisateurs standard;Elle bloque systématiquement le démarrage du système;Elle empêche toute mise à jour Windows Update;Elle ne s'applique qu'aux comptes administrateurs;2;Un utilisateur standard peut ainsi copier un programme dans un tel répertoire pour contourner la règle.
