Quel est l'objet de régulation principal du RGPD (Règlement Général sur la Protection des Données) ?,Le RGPD se focalise sur le traitement des données personnelles.
Quel est l'objet de régulation principal de l'AI Act (ou RIA) ?,L'AI Act régule les systèmes d'intelligence artificielle en fonction de leur niveau de risque.
Qui est considéré comme responsable de traitement au titre du RGPD lors de la phase de développement d'un système d'IA ?,Le fournisseur du système d'IA est généralement considéré comme responsable de traitement.
Qui endosse la responsabilité de traitement au titre du RGPD lors du déploiement d'un système d'IA traitant des données personnelles ?,L'utilisateur du système d'IA qui traite des données personnelles endosse cette responsabilité.
"À partir de quelle date les pratiques d'IA présentant un risque inacceptable, comme la notation sociale, sont-elles interdites par l'AI Act ?",Ces pratiques sont interdites dès le 2 février 2025.
"Quelle entité européenne, rattachée à la Commission, assure la supervision des modèles d'IA à usage général (GPAI) ?",Le Bureau de l'IA (AI Office) assure cette supervision.
La directive _____ remplace la directive initiale de 2016 pour répondre à l'intensification des cybermenaces.,"(UE) 2022/2555, ou NIS2"
"Combien de secteurs d'activité la directive NIS2 couvre-t-elle, par rapport à la directive précédente ?","NIS2 couvre dix-huit secteurs d'activité, contre sept auparavant."
Quelles sont les deux catégories d'entités régulées distinguées par la directive NIS2 ?,Les Entités Essentielles (EE) et les Entités Importantes (EI).
"Selon NIS2, quels sont les seuils de taille pour une entreprise être considérée comme une Entité Essentielle (EE) ?",Elle doit être une grande entreprise (>250 employés ou >50M€ de chiffre d'affaires).
Quel type de surveillance s'applique aux Entités Essentielles (EE) sous NIS2 ?,Une surveillance ex ante (audits réguliers) et ex post.
Quel est le montant maximal des sanctions pour une Entité Essentielle (EE) en cas de non-conformité à NIS2 ?,Le maximum est de 10 millions d'euros ou 2% du chiffre d'affaires mondial.
Quel type de surveillance s'applique aux Entités Importantes (EI) sous NIS2 ?,Une surveillance ex post (uniquement en cas de preuve de non-conformité).
Quel est le montant maximal des sanctions pour une Entité Importante (EI) en cas de non-conformité à NIS2 ?,"Le maximum est de 7 millions d'euros ou 1,4% du chiffre d'affaires mondial."
