À quelle couche du modèle OSI IPsec opère-t-il ?;La couche 2, liaison;La couche 4, transport;La couche 3, réseau;La couche 7, application;4;IPsec protège les flux par encapsulation au niveau de la couche Internet de TCP/IP.
Quel protocole IPsec assure la confidentialité, l'intégrité et l'authentification des paquets ?;AH, Authentication Header;ESP, Encapsulation Security Payload;NAT-T;IKE;3;AH n'assure pas la confidentialité, contrairement à ESP.
Le protocole AH est-il recommandé par ce guide ?;Oui, il est obligatoire;Non, il est interdit par la RFC;Non, son usage est déconseillé au profit d'ESP;Oui, il remplace ESP dans tous les cas;4;Face à ESP, AH est considéré comme obsolète et d'un faible apport en sécurité.
Le service de confidentialité d'ESP peut-il être utilisé sans contrôle d'intégrité ?;Oui, dans le mode transport uniquement;Non, il ne doit jamais être employé sans le mécanisme de contrôle d'intégrité;Oui, si le lien est chiffré par ailleurs;Oui, systématiquement pour la performance;3;Cet usage obsolescent expose à des attaques connues et réalistes.
Quelle est la différence principale entre le mode transport et le mode tunnel ?;Le mode transport double la taille des paquets;Le mode tunnel n'utilise jamais ESP;Le mode tunnel génère un nouveau paquet IP encapsulant le paquet initial complet;Le mode transport chiffre systématiquement les en-têtes IP;4;Le mode tunnel se prête bien à l'accès distant en masquant l'adressage interne.
Pourquoi une Security Policy en usage facultatif d'IPsec est-elle déconseillée ?;Elle nécessite obligatoirement une IGC;Elle ne garantit pas la sécurité et expose à une attaque par dégradation (downgrade attack);Elle est incompatible avec IKE version 2;Elle consomme plus de bande passante;3;Seuls les flux sécurisés doivent être autorisés dès lors qu'un besoin de sécurité existe.
Quelle version d'IKE est recommandée ?;La version 1 en mode agressif;La version 1 en mode principal;La version 2;Aucune version, IKE est déconseillé;4;Elle est normalisée par la RFC 5996.
La mise à la clé manuelle est-elle recommandée pour un système en production ?;Oui, elle est la méthode standard;Oui, elle est obligatoire avec ESP;Oui, elle est plus sûre qu'IKE;Non, elle est fortement déconseillée, sauf pour des tests ou diagnostics;5;Elle ne permet ni la PFS ni l'authentification cryptographique.
Quel mécanisme d'authentification IKE est privilégié en production ?;Aucune authentification n'est nécessaire;Le mot de passe en clair;Le PSK, Pre-Shared Key, systématiquement;Les mécanismes asymétriques, idéalement via une IGC;5;Une IGC facilite la révocation rapide d'une clé compromise, par exemple en cas de vol de poste.
Quelle entropie minimale est jugée nécessaire si un PSK doit exceptionnellement être utilisé ?;10 bits;1000 bits;Au moins 100 bits;Aucune entropie minimale n'est mentionnée;4;En dessous, une attaque par recherche exhaustive devient un choix risqué à considérer.
Quand la négociation des Security Policy par IKE présente-t-elle un intérêt réel ?;Uniquement en mode AH;Jamais, elle doit toujours être évitée;Uniquement pour les liaisons fixes entre deux sites;Dans les situations de mobilité, où l'adresse IP du client nomade n'est pas connue à l'avance;5;Dans les autres cas, une configuration statique des SP est préférable.
Que faut-il activer pour utiliser IPsec avec un système de traduction d'adresses (NAT) ?;Le mécanisme NAT-Traversal (NAT-T);La mise à la clé manuelle;Le protocole AH exclusivement;Le mode transport exclusivement;2;NAT-T encapsule IKE puis ESP dans des datagrammes UDP sur le port 4500.
Comment la propriété de PFS est-elle obtenue avec IPsec ?;Par un échange de clé Diffie-Hellman éphémère ou sa variante sur courbe elliptique;Par l'utilisation exclusive du mode transport;Par la mise à la clé manuelle;Par le protocole AH seul;2;Cette propriété n'est vérifiée qu'avec IKE, pas avec la mise à la clé manuelle.
Quelle fréquence de renouvellement des clés est donnée en exemple pour limiter l'impact d'une compromission ?;Toutes les 5 minutes;Toutes les heures et tous les 100 Go de données;Une fois par an;Jamais, les clés sont valables à vie;3;Le premier quota atteint, temps ou volume, provoque le renouvellement.
Quelle fonction de hachage est fortement déconseillée par ce guide ?;SHA-256;MD5;SHA-384;SHA-512;3;Le chiffrement DES et les clés RSA de moins de 2048 bits sont également déconseillés.
Quelle taille minimale de clé RSA est recommandée ?;512 bits;2048 bits;128 bits;64 bits;3;Les clés ECDSA de moins de 200 bits sont également fortement déconseillées.
Pourquoi ESP est-il compatible avec le NAT alors qu'AH ne l'est pas ?;ESP ne protège en intégrité que le contenu du paquet, pas les en-têtes IP;AH utilise un port TCP fixe incompatible avec NAT;ESP ne chiffre jamais les données;ESP utilise uniquement le mode transport;2;AH protège aussi les en-têtes IP, invalidés par la modification des adresses lors du NAT.
Pour quel cas d'usage IPsec est-il jugé préférable à TLS selon ce guide ?;Le chiffrement de fichiers au repos;Les liaisons de site à site et l'accès distant en nomadisme;La sécurisation exclusive de HTTPS;La signature électronique de documents;3;TLS reste néanmoins adapté et complémentaire pour sécuriser un protocole applicatif particulier.
Pourquoi les opérations IPsec sont-elles jugées mieux protégées que celles de TLS ?;Elles ne transitent jamais sur Internet;Elles s'exécutent dans le noyau plutôt qu'en espace utilisateur;Elles ne nécessitent aucune authentification;Elles utilisent des clés plus longues;3;Cela réduit l'exposition aux attaques par rapport aux opérations en espace utilisateur.
Quels groupes Diffie-Hellman ne sont plus considérés comme de taille acceptable ?;Le groupe basé sur ecp256;Le groupe basé sur ecp384bp;Les groupes 1 et 2;Les groupes 14 et 15;4;Il faut leur préférer des groupes plus grands ou des courbes elliptiques d'au moins 256 bits.
