Qu'est-ce que la VBS ?;Un service de sauvegarde automatique du registre;Un antivirus intégré à Windows Defender;L'ensemble des fonctionnalités de sécurité de Windows 10 reposant sur la virtualisation;Un protocole de chiffrement de disque dur;4;Elle est réservée aux éditions Windows 10 Entreprise et Éducation.
Sur quoi le VSM s'appuie-t-il pour isoler ses processus du système d'exploitation traditionnel ?;Un pare-feu logiciel dédié;Un chiffrement systématique du disque dur;Une machine virtuelle Java isolée;Un hyperviseur exploitant les jeux d'instructions de virtualisation matérielle;5;Intel-VT, AMD-V et le SLAT permettent d'isoler deux systèmes invités l'un de l'autre.
Qu'est-ce qu'un Trustlet ?;Un pilote générique fourni par un constructeur tiers;Un certificat racine installé par défaut sur Windows;Un compte utilisateur à privilèges de l'Active Directory;Un processus de confiance du VSM, uniquement édité par Microsoft et signé numériquement;5;Il communique avec l'environnement Windows standard uniquement par RPC.
Pourquoi intégrer la compatibilité VSM et VBS dans le processus d'achat de matériel ?;Pour disposer à court ou moyen terme des spécifications minimales nécessaires à ces fonctionnalités;Uniquement pour réduire le coût des licences Windows;Uniquement si l'entité utilise déjà Credential Guard;Cela n'a aucun impact sur les futurs déploiements de sécurité;2;Certains prérequis matériels optionnels comme l'IOMMU sont également recommandés.
Que faut-il faire si la chaîne de démarrage d'un équipement est compromise ?;Seul le système d'exploitation standard est concerné, jamais le VSM;Comprendre que l'hyperviseur et tout ce qu'il exécute peuvent alors également être compromis;Cela ne concerne que les postes sans démarrage sécurisé UEFI;Cela n'affecte jamais le VSM ni l'hyperviseur;3;D'où la nécessité de protéger l'UEFI par mot de passe et de le maintenir à jour.
Que recommande le guide concernant l'activation du démarrage sécurisé UEFI ?;Ne l'activer que sur les postes équipés de Credential Guard;L'activer systématiquement, que la VBS soit utilisée ou non;Il est déconseillé de l'activer sur les postes récents;Il n'a aucun effet sur le niveau de sécurité de la VBS;3;Sans démarrage sécurisé, la VBS présente un gain de sécurité bien moindre.
Que permet l'hyperviseur une fois la VBS activée sur le noyau Windows standard ?;Faire respecter des permissions d'écriture ou d'exécution exclusives sur la mémoire vive;Bloquer tout accès réseau sortant du poste;Chiffrer intégralement le disque dur du poste;Supprimer automatiquement les comptes locaux inactifs;2;Cela limite les effets d'un programme malveillant ayant compromis le noyau standard.
Quelles sont les deux fonctionnalités regroupées sous le terme Device Guard ?;Credential Guard et BitLocker;L'intégrité du code protégée par l'hyperviseur, HVCI, et l'intégrité du code configurable, CCI;Applocker et Windows Defender;Le pare-feu Windows et le contrôle de compte utilisateur;3;Credential Guard est souvent mentionné à tort comme une fonctionnalité de Device Guard alors qu'il en est indépendant.
Quel avantage la stratégie d'intégrité du code configurable offre-t-elle par rapport à Applocker ?;Une mise en œuvre plus simple et sans aucun risque de blocage;Une granularité plus importante, avec contrôle du code en mode noyau;Un fonctionnement indépendant de toute signature numérique;Une compatibilité totale avec toutes les versions de Windows;3;KMCI et UMCI sont implémentés plus profondément dans le système que ne l'est Applocker.
Que permet le déploiement d'une stratégie CCI en mode audit ?;Bloquer immédiatement tout code non signé sur les postes concernés;Chiffrer automatiquement les journaux d'événements Windows;Désactiver Credential Guard sur les postes ciblés;Constituer une base de connaissance du code exécuté sans bloquer les utilisateurs;5;Le journal d'événements liste alors les codes qui auraient été bloqués en mode enforced.
Que renforce la fonctionnalité HVCI ?;La confiance dans les mécanismes KMCI et UMCI en déportant des vérifications dans un Trustlet;La vitesse de démarrage du système d'exploitation;La compatibilité avec les solutions de virtualisation tierces;La capacité de stockage des journaux locaux;2;Il est recommandé de vérifier au préalable la compatibilité des pilotes de périphériques.
Que permet le verrouillage UEFI d'une fonctionnalité de sécurité comme HVCI ou Credential Guard ?;Empêcher sa désactivation logicielle, quel que soit le niveau de privilèges de l'utilisateur;Remplacer la nécessité d'un mot de passe UEFI;Accélérer le démarrage du système d'exploitation;Chiffrer automatiquement les journaux système;2;Sa désactivation nécessite alors une intervention physique avant le chargement du système.
Que fait Credential Guard pour protéger les secrets d'authentification ?;Les supprime totalement de la mémoire vive du poste;Les déporte dans le Trustlet isolé LSAIso.exe, ne laissant que des blobs chiffrés dans LSASS.exe;Les chiffre avec le même algorithme que BitLocker;Les stocke en clair sur un serveur distant sécurisé;3;LSASS.exe ne mémorise alors plus que des blobs chiffrés et éphémères.
Que désignent les techniques Pass-the-Hash et Pass-the-Ticket ?;Une attaque par force brute sur les mots de passe Active Directory;Une attaque de déni de service contre un contrôleur de domaine;La réutilisation d'un condensat NTLM ou d'un ticket Kerberos extrait de la mémoire à la place du mot de passe;Une méthode légitime d'authentification multifacteur;4;Elles sont détaillées dans un document de Microsoft cité en référence.
Sur quel périmètre la mise en œuvre de Credential Guard est-elle prioritaire ?;L'ensemble des équipements réseau, indépendamment de Windows;Uniquement les postes de travail des utilisateurs finaux sans droits particuliers;Les postes de travail sur lesquels sont manipulés des comptes à privilèges de l'AD, Tiers 0 et éventuellement Tiers 1;Uniquement les serveurs de fichiers du système d'information;4;Un déploiement généralisé reste un atout supplémentaire en défense en profondeur.
Que ne protège pas Credential Guard ?;Les secrets d'authentification stockés dans LSAIso.exe;Les secrets des comptes locaux et des programmes n'utilisant pas LSASS.exe;Les tickets Kerberos TGT des comptes de domaine;Les condensats NTLM des comptes de domaine;3;Il ne protège pas non plus contre les enregistreurs de frappe ni les attaques physiques.
Que recommande le guide en complément de Credential Guard pour les comptes administrateurs locaux ?;Partager un mot de passe unique entre tous les postes pour simplifier la gestion;Désactiver totalement les comptes administrateurs locaux intégrés;Ne prendre aucune mesure supplémentaire, Credential Guard suffit;Mettre en œuvre une solution de gestion dédiée, avec mot de passe unique par système;5;Microsoft LAPS est cité comme exemple de solution de ce type.
Comment Credential Guard doit-il être activé sur les postes de travail ?;Avec verrouillage UEFI, accompagné d'une sensibilisation des utilisateurs;Uniquement en mode audit, jamais en mode enforced;Uniquement sur les serveurs, jamais sur les postes clients;Sans verrouillage UEFI, pour simplifier son éventuelle désactivation;2;Les utilisateurs doivent refuser toute demande de désactivation et alerter leur référent SSI.
Quel outil Microsoft permet de vérifier la compatibilité des pilotes avant un déploiement de HVCI ?;Le Microsoft Baseline Security Analyzer;Le Windows System Assessment Tool;Le Windows Memory Diagnostic;Le Device Guard and Credential Guard hardware readiness tool;5;Il permet d'anticiper les risques de blocage au démarrage liés à des pilotes incompatibles.
Quel usage de l'option HvciOptions le guide déconseille-t-il fortement ?;Son utilisation en mode Strict, non supporté par Microsoft;Son activation combinée avec le démarrage sécurisé UEFI;Son utilisation en mode par défaut sur les postes compatibles;Sa désactivation complète sur tous les postes de travail;2;Ce mode risque très probablement d'empêcher le démarrage du système d'exploitation.
