"Versions TLS à proscrire ?","SSLv2, SSLv3, TLS 1.0 et TLS 1.1 : primitives cryptographiques non conformes à l'état de l'art."
"Version à privilégier ?","TLS 1.3, avec TLS 1.2 acceptable sous conditions."
"Qu'est-ce que la PFS ?","Perfect Forward Secrecy : la compromission de la clé privée du serveur ne compromet pas les sessions passées, via Diffie-Hellman éphémère."
"Échange de clé recommandé ?","ECDHE (courbes secp256r1/384r1/521r1), DHE toléré avec groupes ≥ 2048 bits."
"Chiffrement symétrique recommandé ?","AES à privilégier, ChaCha20 en alternative acceptable ; RC4, DES et Triple DES proscrits."
"Fonctions de hachage recommandées ?","Famille SHA-2 uniquement ; MD5 et SHA-1 proscrits."
"Mode de chiffrement à privilégier ?","Un mode combiné (intègre) comme GCM ou CCM ; CBC+HMAC toléré seulement avec encrypt_then_mac."
"Rôle de l'extension renegotiation_info ?","Protéger contre l'injection de données lors d'une fausse renégociation ; toujours à activer."
"Compression TLS recommandée ?","Non, à proscrire : risque de compromission de cookies de session (longueur des messages)."
"Durée de vie max d'un ticket de session ?","24 heures."
"Données 0-RTT (TLS 1.3) recommandées ?","Non : pas de protection anti-rejeu, vulnérables à des messages rejoués."
"Durée de validité max d'un certificat TLS ?","3 ans, ramenée à 825 jours après le 1er mars 2018."
"Taille de clé minimale recommandée ?","RSA : 2048 bits. ECDSA : 256 bits (jusqu'en 2030)."
"Contenu attendu de Key Usage côté serveur ?","digitalSignature et/ou keyEncipherment, extension marquée critique."
"Un certificat peut-il servir à plusieurs terminaisons TLS ?","Non : mutualise les risques (clé privée dupliquée). Un certificat par terminaison."
"Comportement recommandé en l'absence d'info de révocation ?","Hard-fail (refuser la connexion), pas soft-fail."
"Qu'est-ce que l'agrafage OCSP ?","Le serveur fournit directement une réponse OCSP en cache dans les extensions TLS (perf + vie privée)."
"Ordre de transmission de la chaîne de certificats ?","Ordonnée et complète, du certificat terminal à l'intermédiaire signé racine (racine non transmise)."
"Attaque DROWN ?","La simple prise en charge de SSLv2 par un serveur peut compromettre des sessions ultérieures."
"Nombre d'allers-retours du handshake TLS 1.3 ?","Un seul (contre deux pour les versions antérieures)."
"Rôle du programme Certificate Transparency ?","Registres publics de certificats X509, vérifiés via des SCT, pour détecter les émissions illégitimes."
"Exemple de suite TLS 1.3 recommandée ?","TLS_AES_256_GCM_SHA384 (code 0x1302)."
