"Version SSH à autoriser ?","Uniquement SSH version 2 (SSHv1 obsolète et vulnérable) : Protocol 2 dans sshd_config."
"Protocoles historiques à remplacer par SSH/SCP/SFTP ?","TELNET, RSH, RLOGIN, RCP, FTP - à désinstaller du système."
"Réserve d'usage des tunnels SSH ?","Protocoles sans mécanisme de sécurité robuste (X11, VNC), en complément possible d'IPsec."
"Taille de clé minimale RSA / ECDSA ?","RSA : 2048 bits. ECDSA : 256 bits (préférée à RSA si supportée par les deux parties)."
"Clés DSA recommandées ?","Non, limitées à 1024 bits dans OpenSSH, taille insuffisante."
"Pourquoi éviter de générer des clés SSH sur une VM ?","Interruptions virtualisées = déterminisme = entropie réduite ; préférer une machine physique."
"Chiffrement recommandé pour une clé privée utilisateur ?","AES-128 mode CBC (pas 3DES, obsolète depuis OpenSSH 5.3)."
"Algo de chiffrement du canal SSH recommandé ?","AES 128/192/256 en mode CTR (pas CBC, vulnérable)."
"Algo d'intégrité recommandé et préférence de construction ?","HMAC SHA-1/256/512, en encrypt-then-mac (depuis OpenSSH 6.3) plutôt que mac-then-encrypt."
"Directive pour chrooter les utilisateurs SFTP ?","ChrootDirectory (+ séparation de privilèges indispensable à son efficacité)."
"Ordre de préférence des mécanismes d'authentification utilisateur ?","ECDSA > RSA > Kerberos (GSSAPI) > PAM sans exposition du mot de passe > mot de passe classique."
"Pourquoi pam_krb5 est-il déconseillé ?","Il expose le mot de passe en clair au serveur, contrairement à la GSSAPI directe."
"Directive interdisant l'accès direct à root ?","PermitRootLogin no - chaque utilisateur doit avoir un compte propre et incessible."
"Rôle d'AllowUsers / AllowGroups ?","Restreindre l'accès SSH en droits positifs, éventuellement filtré par IP."
"Directive bloquant l'altération de l'environnement client ?","PermitUserEnvironment no (variables autorisées via AcceptEnv au cas par cas)."
"Recommandation sur le port d'écoute si exposé à un réseau non maîtrisé ?","Port différent de 22, de préférence < 1024, pour limiter le bruit des attaques par force brute."
"Redirection X11 recommandée ?","Non, à désactiver (X11Forwarding no) : nombreuses failles connues du X Window System."
"Depuis quelle version OpenSSH propose une IGC propre ?","Depuis la version 5.4 (non conforme X.509, pas de chaîne de certification)."
"Durée de validité d'un certificat OpenSSH ?","3 ans (hôte ou utilisateur), conformément à l'annexe A du RGS."
"Fiabilité des enregistrements DNS SSHFP ?","Indicateur complémentaire seulement (DNS non sécurisé sans DNSSEC), jamais une preuve suffisante seule."
"Principe de l'agent forwarding lors d'un rebond SSH ?","L'agent du poste client répond aux requêtes d'authentification sans jamais exposer la clé privée à l'hôte relais (qui doit être de confiance)."
