Qu'est-ce que le cœur de confiance d'un système d'information ?;L'ensemble des ressources dont la compromission pourrait mener à la prise de contrôle étendue du SI;La sauvegarde la plus récente;Le site web public de l'entité;Le pare-feu principal uniquement;2;Ce périmètre est identifié et affiné par une méthodologie itérative.
Qu'est-ce qu'un chemin de contrôle ?;Le fait qu'une ressource A gère légitimement une ressource B;Un protocole de chiffrement;Une attaque par déni de service;Une sauvegarde chiffrée;2;C'est par exemple le cas d'un serveur qui administre un autre serveur.
Qu'est-ce qu'un chemin d'attaque ?;Une procédure d'authentification forte;Un itinéraire physique vers le datacenter;Le fait que la compromission de A entraîne la compromission vraisemblable de B, du fait de vulnérabilités;Un plan de sauvegarde;4;Cela dépend de la sensibilité du SI et du profil d'attaquant déterminé par l'entité.
Quel est le point de départ de la méthodologie d'identification du cœur de confiance ?;La liste complète de tous les serveurs de l'entité;L'inventaire du matériel de bureau;Le budget cybersécurité de l'année;Le périmètre initial, comme les contrôleurs de domaine Active Directory;5;Ce périmètre initial n'est pas exhaustif, c'est un point de départ.
Comment évolue le périmètre du cœur de confiance dans le temps ?;Il ne concerne que le cloud;Il diminue automatiquement chaque année;Il grandit avec les chemins identifiés et réduit avec les sécurisations, de façon itérative;Il est figé une fois pour toutes;4;Chaque évolution du périmètre nécessite de réanalyser les chemins de contrôle et d'attaque.
À quel niveau du modèle de tiering de Microsoft le cœur de confiance peut-il être assimilé ?;Au Tier 1 uniquement;Au Tier 0;À aucun tiering particulier;Au Tier 3;3;Ce tiering structure la séparation des niveaux d'administration Windows.
Quels outils en sources ouvertes permettent d'analyser les chemins de contrôle d'un annuaire Active Directory ?;VLC et OBS Studio;Metasploit et Burp Suite;BloodHound et PingCastle;Wireshark et Nmap;4;OSAKA est l'équivalent pour une infrastructure Kubernetes.
Qui peut accéder aux services d'audit automatisé de l'ANSSI concernant l'Active Directory ?;Les opérateurs régulés et les entités publiques;Le grand public sans restriction;Uniquement les éditeurs de logiciels;Uniquement les entreprises étrangères;2;Ce service fait partie des aides à l'identification du cœur de confiance.
Quels éléments composent souvent le cœur de confiance d'un SI reposant sur Active Directory ?;Les contrôleurs de domaine, les serveurs WSUS, les infrastructures de gestion de clés;Uniquement les postes de travail utilisateurs;Uniquement les imprimantes réseau;Uniquement le site web de l'entité;2;S'ajoutent les hyperviseurs hébergeant des VM du cœur de confiance et les agents de gestion centralisée.
Quels éléments composent souvent le cœur de confiance d'un système industriel ?;Uniquement les écrans de supervision;Uniquement les automates non connectés;Uniquement les capteurs de température;Les serveurs SCADA centraux et les serveurs MES;5;Le cœur de confiance industriel doit aussi inclure celui de l'environnement Active Directory associé, si applicable.
Que faut-il analyser en cas d'extension du SI dans le cloud ?;Les chemins de contrôle spécifiques à chaque éditeur, comme les comptes d'administration des tenants;Le nombre d'utilisateurs connectés;La météo du datacenter;Uniquement la facture du fournisseur cloud;2;Chaque éditeur cloud présente des chemins de contrôle qui lui sont propres.
Comment sécuriser l'administration du cœur de confiance ?;En donnant les droits d'administration à tous les employés;En supprimant toute authentification pour simplifier l'accès;En partageant les mots de passe entre équipes;Par une délégation fine des droits, avec peu d'administrateurs et un réseau dédié;5;Les comptes d'administration doivent être dédiés et opérer depuis un VLAN finement filtré.
De quoi dépend la sécurité du cœur de confiance en cas de sous-traitance de sa gestion ?;De la localisation géographique du prestataire uniquement;Du prix payé au prestataire;Uniquement du contrat commercial signé;De la sécurité des systèmes d'information des prestataires;5;Il faut donc maîtriser les risques spécifiques liés à cette sous-traitance.
