Désactiver un compte utilisateur inutilisé;Un ancien compte nommé jdupont n'est plus utilisé sur le serveur. Désactivez-le sans le supprimer.;usermod -L -e 1 jdupont pour verrouiller le mot de passe et fixer une date d'expiration passée, puis usermod -s /usr/sbin/nologin jdupont pour interdire toute ouverture de session interactive.
Désactiver le compte root pour l'administration directe;Conformément au principe d'imputabilité, interdisez toute connexion directe au compte root, l'administration devant passer par sudo.;usermod -L root pour verrouiller son mot de passe et usermod -s /usr/sbin/nologin root pour désactiver son shell de login, tout en rappelant que cela n'empêche pas sudo bash : une règle organisationnelle doit compléter cette mesure technique.
Créer un compte de service dédié et non interactif;Vous installez un serveur applicatif nommé monapp qui ne doit jamais permettre de connexion interactive. Créez son compte système dédié.;useradd --system --no-create-home --shell /usr/sbin/nologin monapp, afin que le service dispose de son propre compte système exclusif, distinct de nobody.
Restreindre les accès au dossier /boot;Empêchez les utilisateurs non privilégiés d'accéder au contenu du répertoire /boot.;chmod 700 /boot et vérifier que seul root en est propriétaire (chown root:root /boot), afin de restreindre la lecture des images noyau et de l'initramfs.
Vérifier et modifier la valeur du umask par défaut;Le umask par défaut du système est 022, ce qui rend les nouveaux fichiers lisibles par tous. Renforcez-le à 027.;Vérifier la valeur actuelle avec umask, puis l'ajouter/modifier dans /etc/login.defs (UMASK 027) et dans /etc/profile ou /etc/bash.bashrc pour l'appliquer à toutes les nouvelles sessions.
Activer le sticky bit sur un répertoire partagé en écriture;Le répertoire /srv/partage est inscriptible par plusieurs utilisateurs. Empêchez qu'un utilisateur puisse supprimer les fichiers d'un autre.;chmod +t /srv/partage (ou chmod 1777 /srv/partage), le sticky bit limitant la suppression d'un fichier à son propriétaire, au propriétaire du répertoire et à root.
Vérifier l'état d'activation d'AppArmor;Contrôlez que le module AppArmor est chargé et que les profils installés fonctionnent en mode enforce.;aa-status, puis vérifier dans la sortie le nombre de profils en mode enforce contre le nombre en mode complain, et utiliser aa-enforce /etc/apparmor.d/<profil> pour faire basculer un profil en mode enforce si nécessaire.
Vérifier l'état de SELinux et sa politique;Vérifiez que SELinux est actif avec la politique targeted sur un système Red Hat.;getenforce pour connaître le mode courant (Enforcing/Permissive/Disabled), et sestatus pour afficher la politique chargée (Policy from config file: targeted), en corrigeant dans /etc/selinux/config si nécessaire (SELINUX=enforcing, SELINUXTYPE=targeted).
Créer un groupe dédié à sudo et y ajouter un administrateur;Créez un groupe spécifique pour les administrateurs autorisés à utiliser sudo, distinct du groupe wheel par défaut, et ajoutez-y l'utilisateur mdupuis.;groupadd admins-sudo, puis usermod -aG admins-sudo mdupuis, et déclarer %admins-sudo ALL=(ALL) ALL dans /etc/sudoers via visudo.
Éditer la configuration sudo de façon sécurisée;Vous devez modifier les droits sudo d'un administrateur sans risquer de corrompre le fichier de configuration.;Toujours utiliser visudo (ou visudo -f /etc/sudoers.d/<fichier>) plutôt qu'un éditeur classique, car il valide la syntaxe avant d'enregistrer et empêche de verrouiller l'accès sudo du système en cas d'erreur.
Journaliser la création de tout processus avec auditd;Mettez en place une règle auditd journalisant chaque exécution de processus (execve) sur une architecture 64 bits.;Ajouter -a exit,always -F arch=b64 -S execve,execveat dans /etc/audit/rules.d/audit.rules, puis recharger les règles avec augenrules --load ou service auditd restart.
Surveiller les modifications du répertoire /etc avec auditd;Détectez toute modification de fichier de configuration système dans /etc.;Ajouter la règle -w /etc/ -p wa -k modif_etc dans les règles auditd, puis consulter les événements avec ausearch -k modif_etc.
Surveiller le chargement de modules noyau avec auditd;Générez une alerte à chaque insertion ou suppression de module noyau.;Ajouter les règles -w /sbin/insmod -p x -k modules, -w /sbin/rmmod -p x -k modules et -w /sbin/modprobe -p x -k modules dans audit.rules.
