Quelle est la période couverte par la nouvelle stratégie nationale de cybersécurité présentée dans ce document ?;2024-2028;2025-2029;2026-2030;2030-2035;4;La stratégie nationale de cybersécurité fixe le cap de la France pour la période 2026-2030 afin d'atteindre une résilience de premier rang.
Quelle rupture technologique est spécifiquement citée comme une menace potentielle pour les mécanismes actuels de sécurité cryptographique ?;L'ordinateur quantique;La blockchain;La 5G;Le métavers;2;L'émergence potentielle d'un ordinateur quantique capable de mettre en défaut les mécanismes actuels de sécurité cryptographique amplifie les risques cyber.
Quel est l'objectif principal du Pilier 1 de la stratégie ?;Créer une armée de robots autonomes;Faire de la France le plus grand vivier de talents cyber d'Europe;Nationaliser toutes les entreprises de cybersécurité;Interdire l'usage d'internet aux moins de 16 ans;3;Le Pilier 1 vise à investir massivement dans la formation et l'attractivité pour combler la pénurie de main-d'œuvre et faire de la France le premier vivier de talents européen.
Comment la stratégie définit-elle la « résilience » ?;La capacité à contre-attaquer immédiatement;La volonté et la capacité à résister aux conséquences d'une agression puis à rétablir un fonctionnement normal;L'imperméabilité totale à toute forme d'attaque informatique;Le stockage de toutes les données sur des serveurs hors ligne;3;La résilience est définie comme la capacité à résister aux conséquences d'une agression ou catastrophe majeure puis à rétablir rapidement le fonctionnement normal.
Quelle nouvelle plateforme servira de guichet unique grand public pour les victimes de cybermalveillance ?;FranceConnect;CyberGouv;17Cyber;SosNumérique;4;La plateforme 17Cyber constituera le guichet grand public pour les individus et entités victimes et sera intégrée au portail national unique.
À quoi servira le « filtre de cybersécurité » mentionné dans le Pilier 3 ?;À censurer les opinions politiques divergentes;À ralentir la connexion internet en cas de crise;À prévenir l'accès aux sites web malveillants pour le grand public;À analyser les emails privés des citoyens;4;La France déploiera un filtre de cybersécurité à destination du grand public visant à prévenir l'accès aux sites web malveillants.
Quel est le rôle de l'initiative « Processus de Pall Mall » soutenue par la France ?;Réguler l'intelligence artificielle générative;Lutter contre la prolifération et l'usage irresponsable des capacités d'intrusion cyber;Créer une cryptomonnaie européenne;Standardiser les câbles sous-marins;3;Le Processus de Pall Mall est une initiative franco-britannique visant à lutter contre la prolifération des outils cyber-intrusifs commerciaux.
Quelle directive européenne est citée comme référence pour l'extension des obligations de cybersécurité ?;RGPD;DMA;NIS2;DSA;4;La France déploiera des obligations proportionnées en cohérence avec les exigences prévues par la directive européenne NIS2.
Qu'est-ce que l'InterCERT France ?;Un nouveau service de renseignement;La première communauté de centres de réponse à incident en France;Une certification pour les logiciels antivirus;Un tribunal spécialisé dans le numérique;3;L'InterCERT France est la première communauté de centres de réponse à incident qui joue un rôle fédérateur dans le partage d'informations techniques.
Quelle option politique, proposée par le C4, est explicitement mentionnée comme faisant partie de la réponse aux attaques ?;La déconnexion du réseau mondial;L'attribution publique de l'attaque;La saisie des biens de l'attaquant;Le bannissement numérique;3;Le Centre de coordination des crises cyber (C4) pourra proposer à l'autorité politique des options de réponse incluant l'attribution publique de l'attaque.
