"Pourquoi la sauvegarde est-elle vitale face aux rançongiciels ?","Les attaquants ciblent souvent l'infrastructure de sauvegarde pour forcer le paiement d'une rançon."
"Qu'est-ce que la PDMA (RPO) ?","La durée maximale de données pouvant être perdues lors d'un incident."
"Qu'est-ce que la DMIA (RTO) ?","La durée maximale d'indisponibilité tolérée avant restauration complète."
"Quels sont les composants essentiels d'une infrastructure de sauvegarde ?","Catalogue/index, agent logiciel, serveur de sauvegarde, support de sauvegarde."
"Comment considérer l'opérateur de sauvegarde ?","Comme un administrateur à hauts privilèges sur le SI."
"Où positionner les serveurs de sauvegarde (R1-R3) ?","Dans le SI d'administration ou une zone réseau distincte, via un VLAN dédié."
"Les serveurs de sauvegarde doivent-ils être dans l'AD de production (R5) ?","Non, ils doivent avoir un système d'authentification indépendant."
"Dans quel sens initier les flux de sauvegarde (R8) ?","À l'initiative du serveur de sauvegarde vers les clients sauvegardés."
"Qu'est-ce que la règle 3-2-1 (R11) ?","3 copies des données, 2 supports différents, dont 1 hors ligne."
"Pourquoi interdire aux utilisateurs de lancer eux-mêmes sauvegarde/restauration (R18) ?","Risque d'accès illégitime et d'élévation de privilèges (ex. restaurer /etc/shadow)."
"Qu'est-ce que la restauration croisée, à désactiver (R19) ?","La capacité d'une instance à restaurer depuis le support d'une autre instance."
"Quelle mesure prioritaire en cas d'incident de sécurité (R24) ?","Isoler l'infrastructure de sauvegarde du reste du SI (mode bouton rouge)."
"Pourquoi les sauvegardes restaurées peuvent-elles rester dangereuses (R27) ?","Elles peuvent contenir des implants de l'attaquant — réinstaller depuis des sources de confiance."
"Comment protéger les flux de sauvegarde (R28) ?","Chiffrement et authentification mutuelle à l'état de l'art (ex. TLS)."
"Que faire à la mise au rebut d'un support de sauvegarde (R32) ?","Effacement sécurisé (zéroïsation) ou destruction physique."
"Avantage de sauvegarder l'image disque d'une VM plutôt qu'un agent intégré ?","L'opérateur n'accède pas au contenu si la VM est chiffrée."
"Inconvénient d'un agent de sauvegarde intégré à une VM ?","Augmente la surface d'attaque, accès possible aux données en clair."
"Que vérifier pour des sauvegardes en cloud externalisé ?","Localisation UE et chiffrement propre à l'entité avant envoi."
"WORM en ligne vs sauvegarde hors ligne : laquelle est la plus robuste ?","La sauvegarde hors ligne déconnectée reste jugée plus robuste."
