Qui le SGDSN assiste-t-il ?;Le ministre de la Justice;Le président du Sénat;Le maire de Paris;Le Premier ministre;5;Il assure aussi le secrétariat du CDSN.
Qui préside le conseil de défense et de sécurité nationale ?;Le SGDSN;Le chef d'état-major des armées;Le Président de la République;Le Premier ministre;4;Ses participants sont tenus au secret de la défense.
Quels services opérationnels dépendent du SGDSN ?;DGSI, DGSE et DRSD;CNIL, Arcom et ANFR;Police, gendarmerie et douane;ANSSI, OSIIC et Viginum;5;Cyber, communications sécurisées et manipulations de l'information.
Quand la Revue nationale stratégique actualisée a-t-elle été publiée ?;Le 14 juillet 2025;Le 8 mai 2026;Le 11 novembre 2024;Le 1er janvier 2020;2;Elle a été préparée en moins de six mois.
Combien d'objectifs stratégiques fixe la RNS 2025 ?;Cinq;Vingt;Onze;Trois;4;Le premier est la dissuasion nucléaire.
Quel est le premier objectif stratégique de la RNS ?;Le service militaire obligatoire;Une dissuasion nucléaire crédible, indépendante et souveraine;La conquête spatiale;La baisse des impôts;3;Elle est la clé de voûte de la défense.
Quel objectif est présenté comme une évolution majeure de la RNS 2025 ?;La sortie de l'OTAN;La fin de la dissuasion;La réduction des armées;L'excellence académique, scientifique et technologique;5;C'est le onzième objectif.
Que prévoit le scénario central ?;Une guerre civile;Une guerre de haute intensité dans le voisinage de l'Europe avec des actions hybrides sur notre sol;Une invasion du territoire hexagonal;La fin de tous les conflits;3;Une guerre conventionnelle sur le territoire hexagonal n'est pas jugée crédible.
Pourquoi parle-t-on de scénario central ?;Parce qu'il est le plus probable;Parce qu'y être prêt, c'est être prêt à presque tout;Parce qu'il est au centre de l'Europe;Parce qu'il concerne Paris;3;C'est un dimensionnement, pas une prédiction.
Quels sont les cinq champs hybrides prioritaires ?;Air, terre, mer, espace, feu;Aucun;Sport, culture, tourisme, mode, cuisine;Cyberespace, information, économie, droit et opérations militaires;5;Ils sont cités par la direction AIST.
Qu'est-ce qu'une stratégie hybride ?;Une alliance officielle;Une combinaison ambiguë d'actions militaires et non militaires difficilement attribuables;Une voiture électrique;Une stratégie uniquement militaire;3;Elle joue avec les seuils de riposte.
Quelles sont les deux priorités de la stratégie nationale de résilience recentrée ?;La continuité de la vie économique et la mobilisation des citoyens;L'export et l'import;La baisse des prix et la hausse des salaires;La culture et le sport;2;Elle comporte onze actions.
Quand le guide Tous responsables a-t-il été publié ?;Le 20 novembre 2025;Le 1er avril 2026;Le 14 juillet 2025;En 2018;2;Il explique les gestes et le kit d'urgence.
Combien de typologies de menaces distingue la DGI n°320 ?;Dix;Deux;Une;Cinq;5;Et trois typologies de risques.
Quelles sont les trois typologies de risques de la DGI n°320 ?;Naturels, technologiques et sanitaires;Financiers, juridiques et fiscaux;Aucune;Cyber, hybrides et terroristes;2;Les menaces comprennent cyber et hybrides.
Combien de niveaux compte le Plan de défense et de sécurité nationale ?;Deux;Un seul;Dix;Cinq niveaux de défense et de sécurité nationale;5;Sur le modèle de Vigipirate.
Combien de niveaux compte le plan Vigipirate ?;Sept;Un;Trois;Cinq;4;Il combine vigilance, prévention et protection.
Que permet l'état d'alerte de sécurité nationale ?;De fermer les frontières définitivement;De dissoudre le Parlement;De déroger temporairement à certaines règles et de renforcer la protection des infrastructures;De suspendre les élections;4;Il est prévu par l'actualisation de la LPM en 2026.
Quel exercice majeur a testé ces dispositifs en 2026 ?;Golden Isles;Orion 2026;Hydros;REMPAR25;3;Il associait les armées et tous les ministères.
Quels sont les trois viviers de réserves ?;Aucun;Armée, police, pompiers;Réserve de sécurité nationale, missions de continuité de la Nation, volontariats du quotidien;Jeunes, adultes, seniors;4;La refonte des réserves est en cours.
