Quelle pratique d'IA est interdite dès le 2 février 2025 par l'AI Act ?;La reconnaissance faciale dans les aéroports;La notation sociale (social scoring);L'assistance chirurgicale robotisée;Le tri automatique de CV;3;L'AI Act classe la notation sociale comme un risque inacceptable, interdisant son usage dès février 2025.
Combien de secteurs d'activité sont couverts par la directive NIS2 ?;7 secteurs;12 secteurs;18 secteurs;25 secteurs;4;La directive NIS2 élargit le champ d'application de la cybersécurité européenne à dix-huit secteurs contre sept auparavant.
Quelle est la sanction maximale pour une Entité Essentielle (EE) ne respectant pas la directive NIS2 ?;20M€ ou 4% du CA mondial;10M€ ou 2% du CA mondial;7M€ ou 1,4% du CA mondial;500 000 euros forfaitaires;3;Les Entités Essentielles encourent des sanctions allant jusqu'à 10 millions d'euros ou 2 % du chiffre d'affaires mondial.
Quel est l'objectif principal du Cyber Resilience Act (CRA) ?;Réguler les contenus sur les réseaux sociaux;Sécuriser les produits comportant des éléments numériques;Interdire l'usage des cryptomonnaies;Créer une armée cyber européenne;3;Le CRA impose des exigences de sécurité pour tout le cycle de vie des produits matériels et logiciels connectés.
À partir de quand les obligations principales du Cyber Resilience Act seront-elles applicables ?;Décembre 2025;Janvier 2026;Juillet 2026;Décembre 2027;5;Bien qu'entré en vigueur fin 2024, les obligations principales du CRA s'appliqueront à partir de décembre 2027.
Quel référentiel impose l'homologation de sécurité pour les services numériques administratifs ?;Le RGI;Le RGAA;Le RGS;Le RGESN;4;Le Référentiel Général de Sécurité (RGS) structure la sécurité par une démarche d'homologation validant les fonctions cryptographiques.
Quel est le montant maximum de l'amende administrative par an et par service pour non-respect du RGAA ?;10 000 euros;25 000 euros;50 000 euros;100 000 euros;3;Le non-respect du Référentiel Général d'Accessibilité pour les Administrations expose à une sanction de 25 000 euros par an et par service.
Quelle loi est à l'origine du Référentiel Général d'Écoconception de Services Numériques (RGESN) ?;La loi LOPMI;La loi Informatique et Libertés;La loi REEN;La loi Pacte;4;La loi REEN du 15 novembre 2021 vise à réduire l'empreinte environnementale du numérique et a instauré le RGESN.
Quel est le délai strict pour l'avertissement précoce d'un incident significatif sous NIS2 ?;12 heures;24 heures;48 heures;72 heures;3;Les entités doivent soumettre un avertissement précoce à l'ANSSI dans les 24 heures suivant la détection de l'incident.
Quelle entité assure la sécurité des communications du Président de la République ?;L'ANSSI;Le SGDSN;L'OSIIC;La DGSE;4;L'OSIIC (Opérateur des Systèmes d'Information Interministériels Classifiés) garantit les communications sécurisées de l'exécutif.
Quel réseau classifié est utilisé pour le partage de documents interministériels ?;HORUS;OSIRIS;ISIS;RAMSES;4;ISIS est le réseau intranet sécurisé interministériel pour le partage de documents classifiés jusqu'au niveau Secret.
Quelle est la particularité principale du label SecNumCloud version 3.2 ?;Il est gratuit pour les administrations;Il garantit l'immunité face aux lois extraterritoriales;Il est obligatoire pour tous les sites web;Il ne concerne que les données de santé;3;Le référentiel SecNumCloud impose une protection juridique contre les lois extraterritoriales comme le Cloud Act américain.
Quel est le surcoût estimé de l'exploitation d'une infrastructure SecNumCloud par rapport au cloud traditionnel ?;Entre 5 % et 10 %;Entre 10 % et 20 %;Entre 25 % et 40 %;Aucun surcoût;4;La souveraineté a un prix, le surcoût est estimé entre 25 % et 40 % pour garantir la protection des données sensibles.
En quoi consiste la mesure de "criblage" du plan anticorruption 2025-2029 ?;Vérifier les antécédents des agents sur des postes sensibles;Auditer les comptes bancaires des ministres;Filtrer les emails entrants des administrations;Scanner les ports informatiques ouverts;2;Le criblage permet de vérifier que le passé pénal ou le comportement d'un agent est compatible avec une fonction sensible.
Quel organisme supervise les modèles d'IA à usage général au niveau européen ?;L'ENISA;Le Bureau de l'IA (AI Office);L'ANSSI;La CNIL;3;Le Bureau de l'IA est rattaché à la Commission européenne pour centraliser la surveillance des modèles d'IA.
Quel outil l'ANSSI met-elle à disposition pour l'auto-évaluation NIS2 ?;MonBilanCyber;MonEspaceNIS2;CyberDiag;SecNumAcademie;3;Le simulateur MonEspaceNIS2 permet aux entités de savoir si elles sont concernées par la directive et dans quelle catégorie.
Quel est le seuil de chiffre d'affaires définissant une Entité Essentielle (EE) sous NIS2 (hors critères spécifiques) ?;Plus de 10 M€;Plus de 25 M€;Plus de 50 M€;Plus de 100 M€;4;Les grandes entreprises avec plus de 50 M€ de chiffre d'affaires (ou > 250 employés) sont généralement classées comme Entités Essentielles.
Quelle année est fixée comme horizon pour généraliser les exercices de crise cyber à tous les secteurs ?;2025;2026;2027;2030;4;La stratégie nationale prévoit la généralisation des exercices de crise cyber pour assurer la résilience de la Nation d'ici 2027.
Que signifie l'acronyme RGI ?;Règlement Général d'Identification;Référentiel Général d'Interopérabilité;Registre Gouvernemental Informatique;Réseau de Gestion des Incidents;3;Le RGI recommande des standards ouverts pour faciliter les échanges entre administrations et éviter l'enfermement propriétaire.
Quel service est chargé de la lutte contre les ingérences numériques étrangères sous la supervision du SGDSN ?;TRACFIN;VIGINUM;L'AFA;L'OSIIC;3;VIGINUM est le service de vigilance et de protection contre les ingérences numériques étrangères rattaché au SGDSN.
