"OIDC repose sur quel protocole ?","OAuth2.0, complété par l'ID Token et la normalisation de la récupération d'infos utilisateur."
"Cinématique recommandée pour les apps Web ?","authorization code (protège l'access token, permet l'authentification client-Token Endpoint)."
"Client confidentiel vs public ?","Confidentiel : environnement maîtrisé, secrets protégeables. Public (mobile) : secrets non protégeables de façon fiable."
"Vérification TLS recommandée côté fournisseur de service ?","Correspondance domaine/SubjectAltName du certificat + certificate pinning."
"Rôle du paramètre state ?","Protection contre le CSRF ; valeur aléatoire, entropie ≥128 bits, stockée en cookie de session."
"Rôle du paramètre nonce ?","Protection contre le rejeu ; valeur aléatoire, entropie ≥128 bits, vérifiée dans l'ID Token."
"Protection contre les redirections ouvertes ?","Vérifier redirect_uri contre une liste blanche associée au client OIDC, fixée à l'enrôlement."
"Durée de vie recommandée d'un authorization code ?","Quelques minutes ; désactivé/supprimé après usage (usage unique)."
"Stockage recommandé des authorization code / access token en base ?","Sous forme d'empreinte (ex. SHA256), jamais en clair."
"Canal de transmission de l'access token ?","Entête Authorization (jamais dans l'URL ni les journaux)."
"Access token dans les logs applicatifs ?","Jamais : information sensible équivalente à une usurpation si volée."
"Pourquoi un secret distinct du client_secret pour le HMAC de l'ID Token ?","Pour pouvoir stocker le client_secret haché+salé (double usage l'en empêcherait)."
"Vérification acr recommandée ?","Comparer le champ acr de l'ID Token à la valeur acr_values demandée (niveau d'authentification)."
"Entropie minimale recommandée (state, nonce, code, token, secrets) ?","128 bits (ex. 22 caractères ASCII aléatoires)."
"Piège du champ alg d'un JWS ?","Manipulable par l'attaquant (y compris valeur 'none') ; l'algorithme doit être fixé hors bande à l'enrôlement."
"Vérification croisée UserInfo / ID Token ?","Le sub (identifiant unique) doit être identique dans les deux."
"Pourquoi désactiver découverte et enrôlement automatisés ?","Facilitent l'attaque IdP Mix-Up (usurpation d'un fournisseur d'identité)."
"Guide ANSSI à appliquer pour l'appli Web OIDC elle-même ?","Guide sur la sécurité des applications Web (failles OWASP Top Ten)."
"Authentification client OIDC la plus sûre au Token Endpoint ?","JWS protégé par signature électronique (non-répudiation, mieux qu'un HMAC)."
"Exigence à l'enrôlement d'un fournisseur de service ?","Vérifier son identité, niveau adapté à la sensibilité des données accessibles."
