"Pourquoi les hyperviseurs sont-ils des cibles privilégiées ?","Leur compromission donne accès à toutes les données/traitements hébergés (menace étatique + cybercriminelle)."
"Comment se nomme le cluster d'administration VMware ?","Le Management domain (vs Workload domain pour la production)."
"Qu'est-ce qu'un rôle dans vSphere ?","Un ensemble de privilèges spécifiant les actions autorisées sur un objet VMware."
"Qu'apportent les dvSwitch par rapport aux vSwitch ?","Gestion centralisée et fonctions avancées (PVLAN, capture de trafic)."
"Qu'est-ce qu'un adaptateur VMKernel ?","Le composant IP assurant la connectivité entre l'ESXi et les autres composants (vCenter, NSX, stockage...)."
"Micro-segmentation par agent interne vs composants hyperviseur : lequel est le plus sûr ?","Les composants au niveau de l'hyperviseur — l'agent interne est exposé si la VM est compromise."
"Quelle solution apporte la micro-segmentation sous vSphere ?","NSX (manager, controllers, module kernel, edges)."
"Pourquoi les infrastructures de virtualisation sont-elles ciblées par les rançongiciels ?","Concentration de nombreuses VM sur une même infrastructure."
"Le port d'admin d'une VM peut-il être mutualisé avec le plan de contrôle du socle ?","Non — cloisonnement minimum par VLAN dédié."
"Comment répartir les clusters de production selon la sensibilité ?","Des clusters dédiés par zone de sensibilité/confiance, chacun avec son vCenter."
"L'annuaire d'admin VMware doit-il être partagé avec l'AD de production ?","Non, indépendant, avec vérification régulière des chemins de contrôle (double sens)."
"Pourquoi éviter l'hyperviseur comme source de temps pour un AD virtualisé ?","Risque de désynchronisation lors d'un redémarrage/snapshot, impactant les réplications AD."
"Que filtrer via le proxy dédié aux mises à jour VMware ?","Les URLs VMware par liste d'autorisations."
"Quelle authentification pour les administrateurs vSphere/vCenter ?","Authentification multifacteur + principe de moindre privilège."
"Que désactiver sur les ESXi (avec accès d'urgence prévu) ?","Les accès SSH, en activant le lockdown mode (compte bris de glace)."
"Où configurer le tagging VLAN des VM ?","Au niveau de l'hyperviseur ESX, jamais dans la VM elle-même."
"Que peut indiquer un arrêt massif de VM en supervision ?","Une suspicion de chiffrement des vmdk par un rançongiciel."
"Où déployer le NSX manager et les NSX controllers ?","Exclusivement sur un cluster d'administration, jamais en production."
"Sur quels critères ne jamais baser le filtrage de micro-segmentation ?","Des critères modifiables par la VM elle-même (hostname, adresse MAC)."
"Que doit contenir la sauvegarde de l'infrastructure VMware elle-même ?","Binaires d'installation minimaliste et procédures d'import des configurations, testées régulièrement."
